capture_index,commit,acquired_at_utc,acquired_at_local,valid_votes_zweit,reported_precincts,total_precincts,source_url,source_git_url,AfD_votes,AfD_percent,CDU_votes,CDU_percent,Die Linke_votes,Die Linke_percent,GRÜNE_votes,GRÜNE_percent,SPD_votes,SPD_percent,frame_start,frame_count,movie_start_seconds,movie_duration_seconds,image
21,5fd757a833dc935aaa19a800dc01bc42d9be6a17,2026-09-20T18:33:04.706284+00:00,2026-09-20T20:33:04.706284+02:00,1046010,2488,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/5fd757a833dc935aaa19a800dc01bc42d9be6a17/data/2026-be/latest,178265,17.04238009196853,192877,18.439307463599775,271886,25.99267693425493,144356,13.800632881138803,123810,11.836406917715891,493,19,19.72,0.76,frames/capture-021.png
22,8700edb14ccb6c557a90c5f5f6226c57220e6780,2026-09-20T18:35:35.115009+00:00,2026-09-20T20:35:35.115009+02:00,1081794,2569,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/8700edb14ccb6c557a90c5f5f6226c57220e6780/data/2026-be/latest,183440,16.95701769468124,200805,18.562221642937565,279905,25.87414979191972,149525,13.821947616644204,128518,11.88008068079505,512,18,20.48,0.72,frames/capture-022.png
23,9a6b19c7157d8d7e34729fd280ce19b4a5b7ccb0,2026-09-20T18:38:04.341717+00:00,2026-09-20T20:38:04.341717+02:00,1109176,2629,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/9a6b19c7157d8d7e34729fd280ce19b4a5b7ccb0/data/2026-be/latest,187034,16.862427603914977,205953,18.5681082172712,287218,25.89471824128903,153911,13.876156714534032,131932,11.89459562774528,530,18,21.2,0.72,frames/capture-023.png
24,27bc512850c6548b55da31344458a11662ffb7ed,2026-09-20T18:40:34.307492+00:00,2026-09-20T20:40:34.307492+02:00,1139206,2701,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/27bc512850c6548b55da31344458a11662ffb7ed/data/2026-be/latest,191533,16.81285035366738,211663,18.579870541412177,294988,25.894175416913182,158685,13.929438573883916,135443,11.889245667596555,548,19,21.92,0.76,frames/capture-024.png
25,9e9ad95864d49004cccf10333d6c4fb772b01708,2026-09-20T18:43:04.317682+00:00,2026-09-20T20:43:04.317682+02:00,1175515,2773,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/9e9ad95864d49004cccf10333d6c4fb772b01708/data/2026-be/latest,197151,16.77145761644896,219144,18.64238227500287,303743,25.839142843774855,163778,13.932446629775034,140085,11.916904505684743,567,18,22.68,0.72,frames/capture-025.png
26,803f92d4abf7c7f63d5c89bd8ef5167cce1987d7,2026-09-20T18:45:34.650496+00:00,2026-09-20T20:45:34.650496+02:00,1207717,2844,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/803f92d4abf7c7f63d5c89bd8ef5167cce1987d7/data/2026-be/latest,201311,16.668722887895093,225864,18.701732276684023,311836,25.820287368646795,168554,13.956415286031413,144358,11.952965802418944,585,22,23.4,0.88,frames/capture-026.png
27,07fad3f417e9d919fd5ec6c767014fd0c596359e,2026-09-20T18:48:34.983165+00:00,2026-09-20T20:48:34.983165+02:00,1244417,2923,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/07fad3f417e9d919fd5ec6c767014fd0c596359e/data/2026-be/latest,207267,16.65575124737126,232941,18.718886032575895,320897,25.786934765436346,173729,13.96067395414881,149042,11.976853418106632,607,19,24.28,0.76,frames/capture-027.png
28,552dcca980af647472f75ff5e7dc3746ee1362eb,2026-09-20T18:51:06.017705+00:00,2026-09-20T20:51:06.017705+02:00,1272705,2986,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/552dcca980af647472f75ff5e7dc3746ee1362eb/data/2026-be/latest,211509,16.61885511567881,238680,18.75375676217191,327918,25.76543660942638,177710,13.963172926954794,152581,11.988716945403688,626,22,25.04,0.88,frames/capture-028.png
29,b3c019933fd73dfd9793e4fdb640567e9f923fbf,2026-09-20T18:54:04.488487+00:00,2026-09-20T20:54:04.488487+02:00,1299319,3045,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/b3c019933fd73dfd9793e4fdb640567e9f923fbf/data/2026-be/latest,215951,16.620321876305972,243635,18.750976473060117,334811,25.768190875373946,181238,13.948691583821986,155930,12.00090201097652,648,22,25.92,0.88,frames/capture-029.png
30,df3b58c11ad7553070390b6e58c413f8e68fc32a,2026-09-20T18:57:06.343548+00:00,2026-09-20T20:57:06.343548+02:00,1329349,3114,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/df3b58c11ad7553070390b6e58c413f8e68fc32a/data/2026-be/latest,219898,16.541780977004535,249251,18.749854251968443,343136,25.812333706197546,185927,13.986319619603279,159625,12.007757180394313,670,22,26.8,0.88,frames/capture-030.png
31,52933d0aa13ab7293b0c2fc9f26606143d54b3ba,2026-09-20T19:00:05.583937+00:00,2026-09-20T21:00:05.583937+02:00,1352091,3161,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/52933d0aa13ab7293b0c2fc9f26606143d54b3ba/data/2026-be/latest,222873,16.48357987738991,253300,18.733946161907742,349557,25.853067581989674,189595,14.022355004211995,162344,12.00688415202823,692,23,27.68,0.92,frames/capture-031.png
32,c142b43afee9e3fb73260b717b2e8ac88eb8276a,2026-09-20T19:03:12.619078+00:00,2026-09-20T21:03:12.619078+02:00,1380463,3223,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/c142b43afee9e3fb73260b717b2e8ac88eb8276a/data/2026-be/latest,227934,16.511416821747485,258407,18.718864612814688,356995,25.86052650451334,193482,14.01573240282427,165505,11.989093514277457,715,21,28.6,0.84,frames/capture-032.png
33,8209444d123161fd3303d49207ec62a57fee28d1,2026-09-20T19:06:05.262268+00:00,2026-09-20T21:06:05.262268+02:00,1405952,3275,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/8209444d123161fd3303d49207ec62a57fee28d1/data/2026-be/latest,231636,16.47538465040058,263768,18.760811179898035,362473,25.78132112618354,197505,14.047776880007284,168996,12.020040513474145,736,22,29.44,0.88,frames/capture-033.png
34,1209bc074e3a5444b4151d21d8b870155e69b238,2026-09-20T19:09:04.957762+00:00,2026-09-20T21:09:04.957762+02:00,1459855,3386,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/1209bc074e3a5444b4151d21d8b870155e69b238/data/2026-be/latest,239520,16.407108925201477,274692,18.816389298937224,375609,25.729199132790587,205670,14.088385490339794,175804,12.042565871268037,758,22,30.32,0.88,frames/capture-034.png
35,25bd81b19d71a44b8f9e9febd2ea0ba8fce27e99,2026-09-20T19:12:04.431592+00:00,2026-09-20T21:12:04.431592+02:00,1479592,3424,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/25bd81b19d71a44b8f9e9febd2ea0ba8fce27e99/data/2026-be/latest,242686,16.40222439699593,278378,18.8145110273643,380563,25.72080681701442,208487,14.090843962389632,178390,12.056702117881146,780,19,31.2,0.76,frames/capture-035.png
36,fbcf1c513fdebe3f8e25c1ab38df7b092e0b32af,2026-09-20T19:14:35.696271+00:00,2026-09-20T21:14:35.696271+02:00,1497509,3460,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/fbcf1c513fdebe3f8e25c1ab38df7b092e0b32af/data/2026-be/latest,245135,16.369517645636854,282075,18.836280783621334,384817,25.697141052240756,211449,14.120048694198164,180718,12.067907438285847,799,22,31.96,0.88,frames/capture-036.png
37,c012c2fd6330e3521cc38c117b9aa1dabe9b2bfe,2026-09-20T19:17:34.967682+00:00,2026-09-20T21:17:34.967682+02:00,1515634,3498,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/c012c2fd6330e3521cc38c117b9aa1dabe9b2bfe/data/2026-be/latest,247753,16.346492622889166,285040,18.80665120998869,389944,25.728111140288487,214321,14.140683040892458,182918,12.068744828896687,821,22,32.84,0.88,frames/capture-037.png
38,5873362e5c4ed8be9bc25f57e785358ded56c946,2026-09-20T19:20:35.281491+00:00,2026-09-20T21:20:35.281491+02:00,1535120,3537,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/5873362e5c4ed8be9bc25f57e785358ded56c946/data/2026-be/latest,250340,16.30751993329512,288457,18.790518005107092,395290,25.749778518943145,217347,14.158306842461828,185438,12.079707123873053,843,22,33.72,0.88,frames/capture-038.png
