# (c) Statistisches Landesamt Baden-Württemberg, Fellbach 2025;;;;;;
# ;;;;;;
# Wahlkreise und zugeordnete Stadt- und Landkreise sowie Gemeinden bei der Wahl zum 18. Landtag von Baden-Württemberg am 08. März 2026;;;;;;
# ;;;;;;
# Stand: 30.04.2025;;;;;;
# ;;;;;;
;;;;;;
Wahlkreisnummer;Wahlkreisname;Kreis-Kennziffer;Kreisname;Gemeindekennziffer;Gemeindename;Stadtbezirke, -teile
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118078;Freiberg am Neckar, Stadt;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118079;Bietigheim-Bissingen, Stadt;
15;Waiblingen;8119;Rems-Murr-Kreis;8119020;Fellbach, Stadt;
15;Waiblingen;8119;Rems-Murr-Kreis;8119041;Korb;
15;Waiblingen;8119;Rems-Murr-Kreis;8119042;Leutenbach;
15;Waiblingen;8119;Rems-Murr-Kreis;8119068;Schwaikheim;
15;Waiblingen;8119;Rems-Murr-Kreis;8119079;Waiblingen, Stadt;
15;Waiblingen;8119;Rems-Murr-Kreis;8119085;Winnenden, Stadt;
16;Schorndorf;8119;Rems-Murr-Kreis;8119055;Plüderhausen;
16;Schorndorf;8119;Rems-Murr-Kreis;8119061;Rudersberg;
16;Schorndorf;8119;Rems-Murr-Kreis;8119067;Schorndorf, Stadt;
16;Schorndorf;8119;Rems-Murr-Kreis;8119076;Urbach;
16;Schorndorf;8119;Rems-Murr-Kreis;8119086;Winterbach;
16;Schorndorf;8119;Rems-Murr-Kreis;8119090;Remshalden;
16;Schorndorf;8119;Rems-Murr-Kreis;8119091;Weinstadt, Stadt;
16;Schorndorf;8119;Rems-Murr-Kreis;8119093;Kernen im Remstal;
17;Backnang;8119;Rems-Murr-Kreis;8119001;Alfdorf;
17;Backnang;8119;Rems-Murr-Kreis;8119003;Allmersbach im Tal;
17;Backnang;8119;Rems-Murr-Kreis;8119004;Althütte;
17;Backnang;8119;Rems-Murr-Kreis;8119006;Auenwald;
17;Backnang;8119;Rems-Murr-Kreis;8119008;Backnang, Stadt;
17;Backnang;8119;Rems-Murr-Kreis;8119018;Burgstetten;
17;Backnang;8119;Rems-Murr-Kreis;8119024;Großerlach;
17;Backnang;8119;Rems-Murr-Kreis;8119037;Kaisersbach;
17;Backnang;8119;Rems-Murr-Kreis;8119038;Kirchberg an der Murr;
17;Backnang;8119;Rems-Murr-Kreis;8119044;Murrhardt, Stadt;
17;Backnang;8119;Rems-Murr-Kreis;8119053;Oppenweiler;
17;Backnang;8119;Rems-Murr-Kreis;8119069;Spiegelberg;
17;Backnang;8119;Rems-Murr-Kreis;8119075;Sulzbach an der Murr;
17;Backnang;8119;Rems-Murr-Kreis;8119083;Weissach im Tal;
17;Backnang;8119;Rems-Murr-Kreis;8119084;Welzheim, Stadt;
17;Backnang;8119;Rems-Murr-Kreis;8119087;Aspach;
17;Backnang;8119;Rems-Murr-Kreis;8119089;Berglen;
18;Heilbronn;8121;Stadtkreis Heilbronn;8121000;Heilbronn, Universitätsstadt;
18;Heilbronn;8125;Heilbronn;8125030;Flein;
18;Heilbronn;8125;Heilbronn;8125058;Leingarten, Stadt;
18;Heilbronn;8125;Heilbronn;8125074;Nordheim;
18;Heilbronn;8125;Heilbronn;8125094;Talheim;
19;Eppingen;8125;Heilbronn;8125001;Abstatt;
19;Eppingen;8125;Heilbronn;8125006;Bad Rappenau, Stadt;
19;Eppingen;8125;Heilbronn;8125008;Beilstein, Stadt;
19;Eppingen;8125;Heilbronn;8125013;Brackenheim, Stadt;
19;Eppingen;8125;Heilbronn;8125017;Cleebronn;
19;Eppingen;8125;Heilbronn;8125026;Eppingen, Stadt;
19;Eppingen;8125;Heilbronn;8125034;Gemmingen;
19;Eppingen;8125;Heilbronn;8125038;Güglingen, Stadt;
19;Eppingen;8125;Heilbronn;8125046;Ilsfeld;
19;Eppingen;8125;Heilbronn;8125047;Ittlingen;
19;Eppingen;8125;Heilbronn;8125049;Kirchardt;
19;Eppingen;8125;Heilbronn;8125056;Lauffen am Neckar, Stadt;
19;Eppingen;8125;Heilbronn;8125061;Massenbachhausen;
19;Eppingen;8125;Heilbronn;8125066;Neckarwestheim;
19;Eppingen;8125;Heilbronn;8125081;Pfaffenhofen;
19;Eppingen;8125;Heilbronn;8125086;Schwaigern, Stadt;
19;Eppingen;8125;Heilbronn;8125087;Siegelsbach;
19;Eppingen;8125;Heilbronn;8125098;Untergruppenbach;
19;Eppingen;8125;Heilbronn;8125108;Zaberfeld;
20;Neckarsulm;8125;Heilbronn;8125005;Bad Friedrichshall, Stadt;
20;Neckarsulm;8125;Heilbronn;8125007;Bad Wimpfen, Stadt;
20;Neckarsulm;8125;Heilbronn;8125021;Eberstadt;
20;Neckarsulm;8125;Heilbronn;8125024;Ellhofen;
20;Neckarsulm;8125;Heilbronn;8125027;Erlenbach;
20;Neckarsulm;8125;Heilbronn;8125039;Gundelsheim, Stadt;
20;Neckarsulm;8125;Heilbronn;8125048;Jagsthausen;
20;Neckarsulm;8125;Heilbronn;8125057;Lehrensteinsfeld;
20;Neckarsulm;8125;Heilbronn;8125059;Löwenstein, Stadt;
20;Neckarsulm;8125;Heilbronn;8125063;Möckmühl, Stadt;
20;Neckarsulm;8125;Heilbronn;8125065;Neckarsulm, Stadt;
20;Neckarsulm;8125;Heilbronn;8125068;Neudenau, Stadt;
20;Neckarsulm;8125;Heilbronn;8125069;Neuenstadt am Kocher, Stadt;
20;Neckarsulm;8125;Heilbronn;8125078;Oedheim;
20;Neckarsulm;8125;Heilbronn;8125079;Offenau;
20;Neckarsulm;8125;Heilbronn;8125084;Roigheim;
20;Neckarsulm;8125;Heilbronn;8125096;Untereisesheim;
20;Neckarsulm;8125;Heilbronn;8125102;Weinsberg, Stadt;
20;Neckarsulm;8125;Heilbronn;8125103;Widdern, Stadt;
20;Neckarsulm;8125;Heilbronn;8125107;Wüstenrot;
20;Neckarsulm;8125;Heilbronn;8125110;Obersulm;
20;Neckarsulm;8125;Heilbronn;8125111;Hardthausen am Kocher;
20;Neckarsulm;8125;Heilbronn;8125113;Langenbrettach;
21;Hohenlohe;8126;Hohenlohekreis;8126011;Bretzfeld;
21;Hohenlohe;8126;Hohenlohekreis;8126020;Dörzbach;
21;Hohenlohe;8126;Hohenlohekreis;8126028;Forchtenberg, Stadt;
21;Hohenlohe;8126;Hohenlohekreis;8126039;Ingelfingen, Stadt;
21;Hohenlohe;8126;Hohenlohekreis;8126045;Krautheim, Stadt;
21;Hohenlohe;8126;Hohenlohekreis;8126046;Künzelsau, Stadt;
21;Hohenlohe;8126;Hohenlohekreis;8126047;Kupferzell;
21;Hohenlohe;8126;Hohenlohekreis;8126056;Mulfingen;
21;Hohenlohe;8126;Hohenlohekreis;8126058;Neuenstein, Stadt;
21;Hohenlohe;8126;Hohenlohekreis;8126060;Niedernhall, Stadt;
21;Hohenlohe;8126;Hohenlohekreis;8126066;Öhringen, Stadt;
21;Hohenlohe;8126;Hohenlohekreis;8126069;Pfedelbach;
21;Hohenlohe;8126;Hohenlohekreis;8126072;Schöntal;
21;Hohenlohe;8126;Hohenlohekreis;8126085;Waldenburg, Stadt;
21;Hohenlohe;8126;Hohenlohekreis;8126086;Weißbach;
21;Hohenlohe;8126;Hohenlohekreis;8126094;Zweiflingen;
21;Hohenlohe;8127;Schwäbisch Hall;8127008;Blaufelden;
21;Hohenlohe;8127;Schwäbisch Hall;8127009;Braunsbach;
21;Hohenlohe;8127;Schwäbisch Hall;8127032;Gerabronn, Stadt;
21;Hohenlohe;8127;Schwäbisch Hall;8127047;Langenburg, Stadt;
21;Hohenlohe;8127;Schwäbisch Hall;8127075;Schrozberg, Stadt;
21;Hohenlohe;8127;Schwäbisch Hall;8127086;Untermünkheim;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127012;Bühlertann;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127013;Bühlerzell;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127014;Crailsheim, Stadt;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127023;Fichtenberg;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127025;Gaildorf, Stadt;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127043;Ilshofen, Stadt;
22;Schwäbisch Hall;8127;Schwäbisch Hall;8127046;Kirchberg an der Jagst, Stadt;
