Berichtszeitpunkt,_RS,Name,Regionalebene,0_Insgesamt_,GESCHLECHT__1,GESCHLECHT__2,Staatsange_kurz__1,Staatsange_kurz__2,Alter_infr__01,Alter_infr__02,Alter_infr__03,Alter_infr__04,Alter_infr__05,Alter_infr__06,Alter_infr__07,Alter_infr__08,Alter_infr__09,Alter_infr__10,Alter_infr__11,FAMSTND_KURZ__1,FAMSTND_KURZ__2,FAMSTND_KURZ__3,FAMSTND_KURZ__4,FAMSTND_KURZ__5,Einwanderungserf_ausf__2,Einwanderungserf_ausf__21,Einwanderungserf_ausf__22,Einwanderungserf_ausf__3,Einwanderungserf_ausf__1,geo_id
20220515,130715164,Woldegk,Gemeindeverband,6202,3107,3095,6101,103,134,160,202,340,142,187,822,1841,929,674,764,2298,2839,580,481,4,298,292,6,12,5892,130715164
20220515,130720006006,"Bad Doberan, Stadt",Gemeinde,13012,6110,6900,12189,820,317,350,510,743,341,566,1973,3501,1366,1449,1897,5048,5450,1231,1155,129,1444,1313,133,54,11510,13072006
20220515,130720029029,Dummerstorf,Gemeinde,7399,3818,3581,7189,209,183,242,342,414,189,220,1242,2316,939,701,604,2913,3469,425,558,33,365,345,18,35,7001,13072029
20220515,130720036036,"Graal-Müritz, Ostseeheilbad",Gemeinde,4054,1816,2235,3920,136,45,46,97,161,101,96,358,964,585,611,990,1103,1972,532,434,14,389,380,12,16,3648,13072036
20220515,130720043043,"Güstrow, Barlachstadt",Gemeinde,28623,13854,14767,26722,1900,617,731,965,1469,767,1489,4670,7285,3379,2932,4322,11814,11086,2716,2755,247,3030,2735,293,140,25452,13072043
20220515,130720058058,"Kröpelin, Stadt",Gemeinde,4830,2454,2377,4708,123,118,156,188,247,132,193,766,1385,588,525,532,1998,2041,385,403,–,288,263,26,24,4520,13072058
20220515,130720060060,"Kühlungsborn, Ostseebad, Stadt",Gemeinde,8010,3688,4322,7455,555,118,156,199,355,165,307,954,2024,1049,1197,1482,2587,3815,798,709,99,943,877,64,27,7044,13072060
20220515,130720074074,"Neubukow, Schliemannstadt",Gemeinde,3959,1937,2020,3757,200,94,105,143,235,97,173,603,1035,568,493,408,1595,1702,333,321,7,346,318,25,22,3590,13072074
20220515,130720091091,Sanitz,Gemeinde,6326,3086,3244,6225,102,203,228,307,377,150,204,1083,1773,749,624,623,2358,3062,421,463,24,275,258,16,43,6012,13072091
20220515,130720093093,Satow,Gemeinde,6142,3051,3091,5993,150,187,238,312,389,166,229,1007,1815,719,610,468,2453,2936,388,363,–,325,307,21,32,5784,13072093
