Berichtszeitpunkt,_RS,Name,Regionalebene,BERUFABS_AUSF_STP,BERUFABS_AUSF_STP__M,BERUFABS_AUSF_STP__W,BERUFABS_AUSF_STP__1,BERUFABS_AUSF_STP__1_M,BERUFABS_AUSF_STP__1_W,BERUFABS_AUSF_STP__11,BERUFABS_AUSF_STP__11_M,BERUFABS_AUSF_STP__11_W,BERUFABS_AUSF_STP__12,BERUFABS_AUSF_STP__12_M,BERUFABS_AUSF_STP__12_W,BERUFABS_AUSF_STP__13,BERUFABS_AUSF_STP__13_M,BERUFABS_AUSF_STP__13_W,BERUFABS_AUSF_STP__14,BERUFABS_AUSF_STP__14_M,BERUFABS_AUSF_STP__14_W,BERUFABS_AUSF_STP__15,BERUFABS_AUSF_STP__15_M,BERUFABS_AUSF_STP__15_W,BERUFABS_AUSF_STP__16,BERUFABS_AUSF_STP__16_M,BERUFABS_AUSF_STP__16_W,BERUFABS_AUSF_STP__17,BERUFABS_AUSF_STP__17_M,BERUFABS_AUSF_STP__17_W,BERUFABS_AUSF_STP__2,BERUFABS_AUSF_STP__2_M,BERUFABS_AUSF_STP__2_W,geo_id
20220515,130715163,Treptower Tollensewinkel,Gemeindeverband,11110,5500,5610,9300,4730,4560,5960,3120,2840,1390,750,640,620,/,480,/,/,/,/,/,/,1010,540,470,/,/,/,1810,770,1040,130715163
20220515,130715164,Woldegk,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130715164
20220515,130720006006,"Bad Doberan, Stadt",Gemeinde,10840,5020,5820,8890,4130,4760,4570,2120,2450,1360,610,750,980,350,630,310,/,/,/,/,/,1340,670,670,230,/,/,1950,890,1070,13072006
20220515,130720029029,Dummerstorf,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13072029
20220515,130720036036,"Graal-Müritz, Ostseeheilbad",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13072036
20220515,130720043043,"Güstrow, Barlachstadt",Gemeinde,24160,11590,12570,18960,9180,9780,11560,5880,5680,2250,920,1320,1940,780,1160,600,350,240,230,/,/,2150,980,1170,230,/,/,5200,2410,2790,13072043
20220515,130720058058,"Kröpelin, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13072058
20220515,130720060060,"Kühlungsborn, Ostseebad, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13072060
20220515,130720074074,"Neubukow, Schliemannstadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13072074
20220515,130720091091,Sanitz,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13072091
20220515,130720093093,Satow,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13072093
20220515,130720106106,"Teterow, Bergringstadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13072106
20220515,130725251,Bad Doberan-Land,Gemeindeverband,10470,5090,5370,9060,4430,4630,4630,2340,2280,1330,560,780,740,220,520,360,/,/,/,/,/,1520,820,700,290,230,/,1410,660,740,130725251
20220515,130725252,Bützow-Land,Gemeindeverband,13320,6430,6890,10640,5190,5450,6050,3260,2790,1460,470,990,1370,670,710,230,/,/,/,/,/,1210,530,680,/,/,/,2680,1240,1440,130725252
20220515,130725253,Carbäk,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725253
20220515,130725254,Gnoien,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725254
20220515,130725255,Güstrow-Land,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725255
20220515,130725256,Krakow am See,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725256
20220515,130725257,Laage,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725257
20220515,130725258,Mecklenburgische Schweiz,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725258
20220515,130725259,Neubukow-Salzhaff,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725259
20220515,130725260,Rostocker Heide,Gemeindeverband,8450,4280,4170,6990,3470,3520,3480,1830,1650,960,500,450,740,250,490,/,/,/,/,/,/,1390,680,710,/,/,/,1460,820,650,130725260
20220515,130725261,Schwaan,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725261
20220515,130725262,Tessin,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725262
20220515,130725263,Warnow-West,Gemeindeverband,14690,7200,7490,12650,6150,6490,5470,2900,2570,1520,770,740,1560,500,1070,570,300,270,260,/,/,2600,1200,1410,660,350,310,2040,1050,1000,130725263
20220515,130730011011,"Binz, Ostseebad",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073011
20220515,130730035035,"Grimmen, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073035
20220515,130730055055,"Marlow, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073055
20220515,130730070070,"Putbus, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073070
20220515,130730080080,"Sassnitz, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073080
20220515,130730088088,"Stralsund, Hansestadt",Gemeinde,45720,21820,23900,36710,17460,19240,20860,10160,10700,5300,2380,2910,3090,1250,1840,1150,580,570,450,280,/,5290,2420,2870,570,390,/,9020,4360,4660,13073088
20220515,130730089089,Süderholz,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073089
20220515,130730105105,"Zingst, Ostseeheilbad",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073105
20220515,130735351,Altenpleen,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735351
20220515,130735352,Barth,Gemeindeverband,12360,5920,6430,10340,5020,5320,6850,3450,3410,1220,520,700,870,310,550,/,/,/,/,/,/,1130,630,510,/,/,/,2020,900,1110,130735352
20220515,130735353,Bergen auf Rügen,Gemeindeverband,17680,8580,9100,14250,7000,7240,8950,4500,4450,1500,690,810,1330,540,790,210,/,/,/,/,/,1980,1020,960,/,/,/,3430,1580,1850,130735353
20220515,130735354,Darß/Fischland,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735354
20220515,130735355,Franzburg-Richtenberg,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735355
