ags,wahlkreis,wahlbezirk,gemeinde,name,wahlart,linke,spd,gruene,summe,gueltige_zweitstimmen,anteil_prozent,mehr_als_50_prozent
15081030,001,000016,"Arendsee (Altmark), Stadt","16 Arendsee, Rademin",U,7,6,5,18,80,22.5,False
15081030,001,000017,"Arendsee (Altmark), Stadt","17 Arendsee, Briefwahl",B,143,129,75,347,971,35.736354273944386,False
15081045,001,000004,Beetzendorf,Beetzendorf,U,51,62,43,156,671,23.248882265275707,False
15081045,001,000005,Beetzendorf,"Beetzendorf, Hohentramm",U,12,3,8,23,90,25.555555555555557,False
15081045,001,000006,Beetzendorf,"Beetzendorf, Bandau",U,41,10,61,112,234,47.863247863247864,False
15081045,001,000007,Beetzendorf,"Beetzendorf, Jeeben",U,6,14,7,27,113,23.893805309734514,False
15081045,001,000008,Beetzendorf,"Beetzendorf, Mellin",U,8,6,4,18,88,20.454545454545453,False
15081045,001,000009,Beetzendorf,"Beetzendorf, Tangeln",U,7,13,11,31,159,19.49685534591195,False
15081045,001,000027,Beetzendorf,Briefwahl Beetzendorf,B,63,80,84,227,520,43.65384615384615,False
15081095,001,000010,Dähre,Dähre,U,37,38,38,113,394,28.68020304568528,False
15081095,001,000011,Dähre,"Dähre, Bonese",U,25,22,25,72,316,22.78481012658228,False
15081095,001,000028,Dähre,Briefwahl Dähre,B,23,33,14,70,181,38.67403314917127,False
15081105,001,000012,"Diesdorf, Flecken",Diesdorf,U,74,108,76,258,1036,24.903474903474905,False
15081105,001,000029,"Diesdorf, Flecken",Briefwahl Diesdorf,B,50,48,45,143,406,35.22167487684729,False
15081225,001,000013,Jübar,Jübar,U,18,18,16,52,276,18.840579710144926,False
15081225,001,000014,Jübar,"Jübar, Bornsen",U,12,11,2,25,159,15.723270440251572,False
15081225,001,000015,Jübar,"Jübar, Hanum",U,7,8,5,20,94,21.27659574468085,False
15081225,001,000016,Jübar,"Jübar, Lüdelsen",U,6,5,12,23,147,15.646258503401361,False
15081225,001,000017,Jübar,"Jübar, Nettgau",U,14,18,12,44,170,25.88235294117647,False
15081225,001,000030,Jübar,Briefwahl Jübar,B,21,20,21,62,191,32.460732984293195,False
15081290,001,000018,Kuhfelde,Kuhfelde,U,15,15,12,42,242,17.355371900826448,False
15081290,001,000019,Kuhfelde,"Kuhfelde, Siedenlangenbeck",U,18,14,24,56,274,20.437956204379564,False
15081290,001,000020,Kuhfelde,"Kuhfelde, Valfitz",U,7,7,6,20,84,23.80952380952381,False
15081290,001,000031,Kuhfelde,Briefwahl Kuhfelde,B,11,10,15,36,100,36.0,False
15081440,001,000021,Rohrberg,Rohrberg,U,18,15,20,53,289,18.33910034602076,False
15081440,001,000022,Rohrberg,"Rohrberg, Ahlum",U,11,17,15,43,217,19.81566820276498,False
15081440,001,000023,Rohrberg,"Rohrberg, Bierstedt",U,5,9,10,24,81,29.62962962962963,False
15081440,001,000032,Rohrberg,Briefwahl Rohrberg,B,10,8,14,32,92,34.78260869565217,False
15081455,001,000001,"Salzwedel, Hansestadt",Bürgercenter,U,113,62,74,249,780,31.923076923076923,False
15081455,001,000002,"Salzwedel, Hansestadt",Kulturhaus SAW,U,75,62,51,188,656,28.658536585365855,False
15081455,001,000003,"Salzwedel, Hansestadt",Kinder-Eltern-Zentrum Siebeneichen,U,74,76,40,190,873,21.764032073310425,False
15081455,001,000004,"Salzwedel, Hansestadt","Hort ""Pedro und Janina""",U,83,53,35,171,625,27.36,False
15081455,001,000005,"Salzwedel, Hansestadt",Comenius-Schule,U,117,98,79,294,871,33.75430539609644,False
15081455,001,000006,"Salzwedel, Hansestadt","Hort ""Jenny-Marx""",U,115,85,63,263,772,34.067357512953365,False
15081455,001,000007,"Salzwedel, Hansestadt",Jenny-Marx-Grundschule,U,92,73,37,202,694,29.10662824207493,False
15081455,001,000008,"Salzwedel, Hansestadt",Jahn-Gymnasium,U,116,78,76,270,750,36.0,False
15081455,001,000009,"Salzwedel, Hansestadt","Kita ""Max und Moritz""",U,74,66,26,166,605,27.43801652892562,False
15081455,001,000010,"Salzwedel, Hansestadt",Dorfgemeinschaftshaus Chüttlitz,U,33,61,36,130,456,28.50877192982456,False
15081455,001,000011,"Salzwedel, Hansestadt",Dorfgemeinschaftshaus Dambeck,U,16,7,7,30,154,19.48051948051948,False
15081455,001,000012,"Salzwedel, Hansestadt",Dorfgemeinschaftshaus Mahlsdorf,U,29,31,25,85,352,24.147727272727273,False
15081455,001,000013,"Salzwedel, Hansestadt",Feuerwehr Henningen,U,26,26,19,71,290,24.482758620689655,False
15081455,001,000014,"Salzwedel, Hansestadt",Dorfgemeinschaftshaus Osterwohle,U,22,19,19,60,231,25.974025974025974,False
15081455,001,000015,"Salzwedel, Hansestadt",Mehrzweckgebäude Stappenbeck,U,17,16,6,39,171,22.80701754385965,False
15081455,001,000016,"Salzwedel, Hansestadt",Dorfgemeinschaftshaus Pretzier,U,57,58,42,157,650,24.153846153846153,False
15081455,001,000017,"Salzwedel, Hansestadt",Feuerwehrhaus Seeben,U,28,26,24,78,294,26.53061224489796,False
15081455,001,000018,"Salzwedel, Hansestadt",FFW Kemnitz,U,25,28,21,74,252,29.365079365079364,False
15081455,001,000019,"Salzwedel, Hansestadt",Dorfgemeinschaftshaus Eversdorf,U,16,9,9,34,149,22.818791946308725,False
15081455,001,000020,"Salzwedel, Hansestadt",Kulturhaus Langenapel,U,5,11,8,24,125,19.2,False
15081455,001,000021,"Salzwedel, Hansestadt",Dorfgemeinschaftshaus Ritze,U,54,24,46,124,376,32.97872340425532,False
15081455,001,000022,"Salzwedel, Hansestadt","Salzwedel, Briefwahlbezirk I",B,137,135,108,380,950,40.0,False
15081455,001,000023,"Salzwedel, Hansestadt","Salzwedel, Briefwahlbezirk II",B,104,117,82,303,817,37.086903304773564,False
15081455,001,000024,"Salzwedel, Hansestadt","Salzwedel, Briefwahlbezirk III",B,113,141,84,338,908,37.22466960352423,False
15081455,001,000025,"Salzwedel, Hansestadt","Salzwedel, Briefwahlbezirk IV",B,98,120,92,310,705,43.97163120567376,False
15081545,001,000024,Wallstawe,Wallstawe,U,20,16,8,44,259,16.98841698841699,False
15081545,001,000025,Wallstawe,"Wallstawe, Ellenberg",U,12,19,26,57,179,31.843575418994412,False
15081545,001,000033,Wallstawe,Briefwahl Wallstawe,B,6,11,28,45,127,35.43307086614173,False
15081135,002,000001,"Gardelegen, Hansestadt","01 Gardelegen, Sporthalle Willi Friedrichs",U,54,77,34,165,704,23.4375,False
15081135,002,000002,"Gardelegen, Hansestadt","02 Gardelegen, Bibliothek",U,32,63,57,152,570,26.666666666666668,False
15081135,002,000003,"Gardelegen, Hansestadt","03 Gardelegen, Außenstelle Hansestadt Gardelegen",U,89,62,45,196,773,25.35575679172057,False
15081135,002,000004,"Gardelegen, Hansestadt","04 Gardelegen, Grundschule """"J-W.-v.-Goethe""""",U,69,52,52,173,702,24.643874643874643,False
15081135,002,000005,"Gardelegen, Hansestadt","05 Gardelegen, Kindertagesstätte Krümelkiste",U,82,82,62,226,737,30.664857530529172,False
15081135,002,000006,"Gardelegen, Hansestadt","06 Gardelegen, Hort Grundschule Otto Reutter",U,53,43,27,123,525,23.428571428571427,False
15081135,002,000007,"Gardelegen, Hansestadt","07 Gardelegen, FFW Gerätehaus",U,62,49,34,145,594,24.410774410774412,False
15081135,002,000008,"Gardelegen, Hansestadt","08 Gardelegen, Seethen",U,8,14,8,30,88,34.09090909090909,False
15081135,002,000009,"Gardelegen, Hansestadt","09 Gardelegen, Berge",U,13,23,7,43,198,21.717171717171716,False
15081135,002,000010,"Gardelegen, Hansestadt","10 Gardelegen, Lindstedt",U,15,23,15,53,261,20.306513409961685,False
15081135,002,000011,"Gardelegen, Hansestadt","11 Gardelegen, Hemstedt",U,13,15,3,31,170,18.235294117647058,False
15081135,002,000012,"Gardelegen, Hansestadt","12 Gardelegen, Kloster Neuendorf",U,24,13,18,55,239,23.01255230125523,False
15081135,002,000013,"Gardelegen, Hansestadt","13 Gardelegen, Algenstedt",U,7,14,2,23,115,20.0,False
15081135,002,000014,"Gardelegen, Hansestadt","14 Gardelegen, Schenkenhorst",U,6,13,5,24,92,26.08695652173913,False
15081135,002,000015,"Gardelegen, Hansestadt","15 Gardelegen, Jeseritz",U,8,21,13,42,129,32.55813953488372,False
15081135,002,000016,"Gardelegen, Hansestadt","16 Gardelegen, Potzehne",U,11,13,10,34,136,25.0,False
15081135,002,000017,"Gardelegen, Hansestadt","17 Gardelegen, Roxförde",U,13,8,6,27,96,28.125,False
15081135,002,000018,"Gardelegen, Hansestadt","18 Gardelegen, Wannefeld",U,6,17,2,25,145,17.24137931034483,False
15081135,002,000019,"Gardelegen, Hansestadt","19 Gardelegen, Wiepke",U,10,14,9,33,128,25.78125,False
15081135,002,000020,"Gardelegen, Hansestadt","20 Gardelegen, Zichtau",U,11,10,10,31,112,27.678571428571427,False
15081135,002,000021,"Gardelegen, Hansestadt","21 Gardelegen, Breitenfeld",U,3,6,4,13,76,17.105263157894736,False
15081135,002,000022,"Gardelegen, Hansestadt","22 Gardelegen, Dannefeld",U,17,19,7,43,189,22.75132275132275,False
15081135,002,000023,"Gardelegen, Hansestadt","23 Gardelegen, Letzlingen",U,51,51,42,144,761,18.922470433639948,False
15081135,002,000024,"Gardelegen, Hansestadt","24 Gardelegen, Jerchel",U,13,18,21,52,178,29.213483146067414,False
15081135,002,000025,"Gardelegen, Hansestadt","25 Gardelegen, Köckte",U,18,30,8,56,217,25.806451612903224,False
15081135,002,000026,"Gardelegen, Hansestadt","26 Gardelegen, Mieste",U,100,87,72,259,997,25.977933801404212,False
15081135,002,000028,"Gardelegen, Hansestadt","28 Gardelegen, Miesterhorst",U,18,35,15,68,325,20.923076923076923,False
15081135,002,000029,"Gardelegen, Hansestadt","29 Gardelegen, Hottendorf",U,10,14,2,26,140,18.571428571428573,False
15081135,002,000030,"Gardelegen, Hansestadt","30 Gardelegen, Sachau",U,8,4,5,17,68,25.0,False
15081135,002,000031,"Gardelegen, Hansestadt","31 Gardelegen, Jävenitz",U,29,53,19,101,490,20.612244897959183,False
15081135,002,000032,"Gardelegen, Hansestadt","32 Gardelegen, Solpke",U,26,40,24,90,299,30.100334448160535,False
15081135,002,000033,"Gardelegen, Hansestadt","33 Gardelegen, Estedt",U,11,30,13,54,178,30.337078651685392,False
15081135,002,000034,"Gardelegen, Hansestadt","34 Gardelegen, Ackendorf",U,6,29,18,53,168,31.547619047619047,False
15081135,002,000035,"Gardelegen, Hansestadt","35 Gardelegen, Jeggau",U,6,16,11,33,120,27.5,False
15081135,002,000036,"Gardelegen, Hansestadt","36 Gardelegen, Peckfitz",U,7,12,6,25,89,28.089887640449437,False
15081135,002,000037,"Gardelegen, Hansestadt","37 Gardelegen, Sichau",U,6,4,6,16,105,15.238095238095237,False
15081135,002,000038,"Gardelegen, Hansestadt","38 Gardelegen, Kassieck",U,6,13,2,21,93,22.580645161290324,False
15081135,002,000039,"Gardelegen, Hansestadt","39 Gardelegen, Briefwahl 1",B,136,174,124,434,1010,42.97029702970297,False
15081135,002,000040,"Gardelegen, Hansestadt","40 Gardelegen, Briefwahl 2",B,104,167,89,360,983,36.622583926754835,False
15081135,002,000041,"Gardelegen, Hansestadt","41 Gardelegen, Briefwahl 3",B,84,120,79,283,705,40.141843971631204,False
15081240,002,000001,"Kalbe (Milde), Stadt",Kalbe I,U,57,44,28,129,528,24.431818181818183,False
15081240,002,000002,"Kalbe (Milde), Stadt",Kalbe II,U,45,34,29,108,444,24.324324324324323,False
15081240,002,000003,"Kalbe (Milde), Stadt",Altmersleben,U,16,13,8,37,148,25.0,False
15081240,002,000004,"Kalbe (Milde), Stadt",Badel,U,9,16,14,39,177,22.033898305084747,False
15081240,002,000005,"Kalbe (Milde), Stadt",Brunau,U,30,22,6,58,261,22.22222222222222,False
15081240,002,000006,"Kalbe (Milde), Stadt",Engersen,U,23,31,19,73,281,25.97864768683274,False
15081240,002,000007,"Kalbe (Milde), Stadt",Güssefeld,U,12,8,6,26,86,30.232558139534884,False
15081240,002,000008,"Kalbe (Milde), Stadt",Jeetze,U,14,17,13,44,165,26.666666666666668,False
15081240,002,000009,"Kalbe (Milde), Stadt",Jeggeleben,U,24,8,26,58,167,34.73053892215569,False
15081240,002,000010,"Kalbe (Milde), Stadt",Kahrstedt-Vietzen,U,7,5,2,14,98,14.285714285714286,False
15081240,002,000011,"Kalbe (Milde), Stadt",Kakerbeck,U,35,42,33,110,417,26.378896882494004,False
15081240,002,000012,"Kalbe (Milde), Stadt",Karritz,U,2,5,2,9,83,10.843373493975903,False
15081240,002,000013,"Kalbe (Milde), Stadt",Packebusch,U,9,15,13,37,170,21.764705882352942,False
15081240,002,000014,"Kalbe (Milde), Stadt",Vienau,U,15,18,5,38,195,19.487179487179485,False
15081240,002,000015,"Kalbe (Milde), Stadt",Wernstedt,U,10,7,6,23,85,27.058823529411764,False
15081240,002,000016,"Kalbe (Milde), Stadt",Winkelstedt,U,3,8,8,19,115,16.52173913043478,False
15081240,002,000017,"Kalbe (Milde), Stadt",Zethlingen,U,13,10,9,32,145,22.06896551724138,False
15081240,002,000018,"Kalbe (Milde), Stadt",Briefwahlbezirk 1 Kalbe,B,115,113,93,321,997,32.19658976930793,False
15081280,002,000001,"Klötze, Stadt",Klötze Dönitz,U,4,4,11,19,65,29.23076923076923,False
15081280,002,000002,"Klötze, Stadt",Klötze Immekath,U,20,52,33,105,293,35.83617747440273,False
15081280,002,000003,"Klötze, Stadt",Klötze Jahrstedt,U,33,46,27,106,368,28.804347826086957,False
15081280,002,000004,"Klötze, Stadt",Klötze Purnitzschule,U,60,38,21,119,497,23.943661971830984,False
15081280,002,000005,"Klötze, Stadt",Klötze SozialCentrum,U,77,68,51,196,733,26.73942701227831,False
15081280,002,000006,"Klötze, Stadt",Klötze Kindergarten,U,60,67,39,166,687,24.16302765647744,False
15081280,002,000007,"Klötze, Stadt",Klötze Kunrau,U,22,34,20,76,375,20.266666666666666,False
15081280,002,000008,"Klötze, Stadt",Klötze Kusey,U,27,46,17,90,415,21.686746987951807,False
15081280,002,000009,"Klötze, Stadt",Klötze Neuendorf,U,18,34,11,63,276,22.82608695652174,False
15081280,002,000010,"Klötze, Stadt",Klötze Neuferchau,U,19,36,22,77,195,39.48717948717949,False
15081280,002,000011,"Klötze, Stadt",Klötze Ristedt,U,21,19,4,44,117,37.60683760683761,False
15081280,002,000012,"Klötze, Stadt",Klötze Schwiesau,U,9,15,11,35,164,21.341463414634145,False
15081280,002,000013,"Klötze, Stadt",Klötze Steimke,U,17,21,15,53,215,24.651162790697676,False
15081280,002,000014,"Klötze, Stadt",Klötze Wenze,U,3,16,0,19,77,24.675324675324674,False
15081280,002,000015,"Klötze, Stadt",Klötze Quarnebeck,U,6,15,20,41,90,45.55555555555556,False
15081280,002,000016,"Klötze, Stadt",Klötze Trippigleben,U,13,9,7,29,105,27.61904761904762,False
15081280,002,000017,"Klötze, Stadt",Klötze Röwitz,U,11,5,2,18,101,17.821782178217823,False
15081280,002,000018,"Klötze, Stadt",Klötze Briefwahl 1,B,102,113,58,273,833,32.773109243697476,False
15081280,002,000019,"Klötze, Stadt",Briefwahlbezirk 2,B,76,108,91,275,682,40.32258064516129,False
15083411,002,000001,"Oebisfelde-Weferlingen, Stadt",Briefwahlbezirk 2,B,58,86,51,195,613,31.810766721044047,False
15083411,002,411001,"Oebisfelde-Weferlingen, Stadt",001 Kindertagesstätte Knirpsentreff,U,69,54,46,169,671,25.18628912071535,False
15083411,002,411002,"Oebisfelde-Weferlingen, Stadt","002 Grundschule """"Drömlingsfüchse""""",U,89,87,48,224,848,26.41509433962264,False
15083411,002,411003,"Oebisfelde-Weferlingen, Stadt",003 Dorfgemeinschaftshaus Breitenrode,U,19,40,20,79,236,33.47457627118644,False
15083411,002,411004,"Oebisfelde-Weferlingen, Stadt",004 Dorfgemeinschaftshaus Buchhorst,U,2,10,9,21,109,19.26605504587156,False
15083411,002,411005,"Oebisfelde-Weferlingen, Stadt",005 Feuerwehr Gehrendorf,U,4,8,6,18,102,17.647058823529413,False
15083411,002,411006,"Oebisfelde-Weferlingen, Stadt",006 Kegelbahn Lockstedt,U,8,16,8,32,109,29.357798165137616,False
15083411,002,411007,"Oebisfelde-Weferlingen, Stadt",007 Feuerwehr Niendorf,U,14,11,10,35,158,22.151898734177216,False
15083411,002,411008,"Oebisfelde-Weferlingen, Stadt","008 Stadt Oebisfelde-Weferlingen, Außenstelle Wassensdorf",U,23,22,20,65,209,31.10047846889952,False
15083411,002,411009,"Oebisfelde-Weferlingen, Stadt",009 Feuerwehr Weddendorf,U,13,33,24,70,273,25.641025641025642,False
15083411,002,411010,"Oebisfelde-Weferlingen, Stadt","010 Sporthalle """"Am Bahnhof"""" Oebisfelde",U,49,77,56,182,588,30.952380952380953,False
15083411,002,411021,"Oebisfelde-Weferlingen, Stadt","021 Kindertagesstätte """"Drömlingsstrolche"""", Bösdorf",U,5,8,20,33,203,16.25615763546798,False
15083411,002,411031,"Oebisfelde-Weferlingen, Stadt",031 Feuerwehr Eickendorf,U,3,5,3,11,95,11.578947368421053,False
15083411,002,411041,"Oebisfelde-Weferlingen, Stadt",041 Mehrgenerationshaus Etingen,U,17,35,18,70,267,26.217228464419474,False
15083411,002,411051,"Oebisfelde-Weferlingen, Stadt",051 Feuerwehr Kathendorf,U,7,15,10,32,144,22.22222222222222,False
15083411,002,411061,"Oebisfelde-Weferlingen, Stadt",061 Feuerwehr Rätzlingen,U,25,16,19,60,331,18.12688821752266,False
15083411,002,411090,"Oebisfelde-Weferlingen, Stadt",090 Dorfgemeinschaftshaus Döhren,U,2,10,10,22,113,19.469026548672566,False
15083411,002,411091,"Oebisfelde-Weferlingen, Stadt",091 Dorfgemeinschaftshaus Eschenrode,U,7,10,2,19,72,26.38888888888889,False
15083411,002,411092,"Oebisfelde-Weferlingen, Stadt",092 Dorfgemeinschaftshaus Everingen,U,1,2,3,6,106,5.660377358490566,False
15083411,002,411093,"Oebisfelde-Weferlingen, Stadt",093 Sportlerheim Hödingen,U,12,11,10,33,116,28.448275862068964,False
15083411,002,411094,"Oebisfelde-Weferlingen, Stadt",094 Feuerwehr Hörsingen,U,24,25,22,71,293,24.2320819112628,False
15083411,002,411096,"Oebisfelde-Weferlingen, Stadt",096 Dorfgemeinschaftshaus Ribbensdorf,U,15,20,5,40,239,16.736401673640167,False
15083411,002,411097,"Oebisfelde-Weferlingen, Stadt",097 Dorfgemeinschaftshaus Schwanefeld,U,9,8,4,21,126,16.666666666666668,False
15083411,002,411098,"Oebisfelde-Weferlingen, Stadt",098 Dorfgemeinschaftshaus Seggerde,U,2,5,2,9,65,13.846153846153847,False
15083411,002,411100,"Oebisfelde-Weferlingen, Stadt",100 Feuerwehr Walbeck,U,25,32,15,72,355,20.281690140845072,False
15083411,002,411101,"Oebisfelde-Weferlingen, Stadt",101 Grundschule Weferlingen,U,24,56,17,97,484,20.041322314049587,False
15083411,002,411102,"Oebisfelde-Weferlingen, Stadt",102 Bibliothek Weferlingen,U,36,56,19,111,441,25.170068027210885,False
15083411,002,411999,"Oebisfelde-Weferlingen, Stadt",Briefwahl 1,B,96,161,142,399,1093,36.505032021957916,False
15090003,003,000001,Aland,"01 Aland, Aulosen",U,15,17,9,41,166,24.698795180722893,False
15090003,003,000002,Aland,"02 Aland, Krüden",U,31,20,19,70,313,22.364217252396166,False
15090003,003,000003,Aland,"03 Aland, Pollitz",U,10,7,8,25,149,16.778523489932887,False
15090003,003,000004,Aland,"04 Aland, Wahrenberg",U,11,19,22,52,152,34.21052631578947,False
15090003,003,000021,Aland,"21 Aland, Briefwahl",B,24,17,17,58,140,41.42857142857143,False
15090007,003,000005,Altmärkische Höhe,"05 Altmärkische Höhe, Einwinkel",U,2,8,7,17,107,15.88785046728972,False
15090007,003,000006,Altmärkische Höhe,"06 Altmärkische Höhe, Bretsch",U,15,28,23,66,290,22.75862068965517,False
15090007,003,000007,Altmärkische Höhe,"07 Altmärkische Höhe, Heiligenfelde",U,10,4,2,16,114,14.035087719298245,False
15090007,003,000008,Altmärkische Höhe,"08 Altmärkische Höhe, Kossebau",U,8,19,6,33,182,18.13186813186813,False
15090007,003,000009,Altmärkische Höhe,"09 Altmärkische Höhe, Wohlenberg",U,6,20,14,40,233,17.167381974248926,False
15090007,003,000022,Altmärkische Höhe,"22 Altmärkische Höhe, Briefwahl",B,22,43,20,85,250,34.0,False
15090008,003,000010,Altmärkische Wische,"10 Altmärkische Wische, Falkenberg",U,6,8,2,16,89,17.97752808988764,False
15090008,003,000011,Altmärkische Wische,"11 Altmärkische Wische, Lichterfelde",U,7,8,12,27,138,19.565217391304348,False
15090008,003,000012,Altmärkische Wische,"12 Altmärkische Wische, Neukirchen",U,14,9,2,25,113,22.123893805309734,False
15090008,003,000013,Altmärkische Wische,"13 Altmärkische Wische, Wendemark",U,8,4,5,17,99,17.171717171717173,False
15090008,003,000023,Altmärkische Wische,"23 Altmärkische Wische, Briefwahl",B,9,13,11,33,105,31.428571428571427,False
15090010,003,000020,"Arneburg, Stadt",20 Arneburg,U,52,73,43,168,689,24.383164005805515,False
15090010,003,000021,"Arneburg, Stadt","21 Arneburg, Beelitz",U,6,6,3,15,51,29.41176470588235,False
15090010,003,000022,"Arneburg, Stadt","22 Arneburg, Briefwahl",B,37,28,22,87,231,37.66233766233766,False
15090135,003,000030,Eichstedt (Altmark),30 Eichstedt,U,14,24,14,52,243,21.39917695473251,False
15090135,003,000031,Eichstedt (Altmark),"31 Eichstedt, Baben",U,11,7,6,24,103,23.300970873786408,False
15090135,003,000032,Eichstedt (Altmark),"32 Eichstedt, Lindtorf",U,12,14,3,29,159,18.238993710691823,False
15090135,003,000033,Eichstedt (Altmark),"33 Eichstedt, Briefwahl",B,9,11,9,29,83,34.93975903614458,False
15090180,003,000040,Goldbeck,40 Goldbeck,U,73,52,31,156,600,26.0,False
15090180,003,000041,Goldbeck,"41 Goldbeck, Bertkow",U,11,5,10,26,119,21.84873949579832,False
15090180,003,000042,Goldbeck,"42 Goldbeck, Briefwahl",B,44,28,14,86,210,40.95238095238095,False
15090220,003,000050,Hassel,50 Hassel,U,28,40,42,110,457,24.070021881838073,False
15090220,003,000051,Hassel,"51 Hassel, Sanne",U,5,6,2,13,76,17.105263157894736,False
15090220,003,000052,Hassel,"52 Hassel, Briefwahl",B,12,22,17,51,114,44.73684210526316,False
15090225,003,000001,"Havelberg, Hansestadt","01 Havelberg, Rathaus",U,67,61,44,172,902,19.068736141906875,False
15090225,003,000002,"Havelberg, Hansestadt","02 Havelberg, Sportforum",U,87,78,44,209,1039,20.115495668912416,False
15090225,003,000004,"Havelberg, Hansestadt","04 Havelberg, Jederitz",U,7,6,2,15,83,18.072289156626507,False
15090225,003,000005,"Havelberg, Hansestadt","05 Havelberg, Nitzow",U,14,26,10,50,259,19.305019305019304,False
15090225,003,000006,"Havelberg, Hansestadt","06 Havelberg, Vehlgast-Kümmernitz",U,3,10,19,32,150,21.333333333333332,False
15090225,003,000007,"Havelberg, Hansestadt","07 Havelberg, Garz",U,6,4,12,22,76,28.94736842105263,False
15090225,003,000008,"Havelberg, Hansestadt","08 Havelberg, Kuhlhausen",U,4,6,5,15,73,20.54794520547945,False
15090225,003,000009,"Havelberg, Hansestadt","09 Havelberg, Warnau",U,5,9,9,23,119,19.327731092436974,False
15090225,003,000010,"Havelberg, Hansestadt","10 Havelberg, Briefwahl 01",B,66,60,54,180,518,34.74903474903475,False
15090225,003,000011,"Havelberg, Hansestadt","11 Havelberg, Briefwahl 02",B,72,83,49,204,557,36.62477558348294,False
15090245,003,000060,Hohenberg-Krusemark,60 Hohenberg-Krusemark,U,25,27,18,70,318,22.0125786163522,False
15090245,003,000061,Hohenberg-Krusemark,"61 Hohenberg-Krusemark, Hindenburg",U,10,16,8,34,219,15.525114155251142,False
15090245,003,000062,Hohenberg-Krusemark,"62 Hohenberg-Krusemark, Schwarzholz",U,11,11,7,29,144,20.13888888888889,False
15090245,003,000063,Hohenberg-Krusemark,"63 Hohenberg-Krusemark, Briefwahl",B,12,19,20,51,124,41.12903225806452,False
15090270,003,000070,Iden,70 Iden,U,31,28,24,83,320,25.9375,False
15090270,003,000071,Iden,"71 Iden, Büttnershof",U,8,5,2,15,59,25.423728813559322,False
15090270,003,000072,Iden,"72 Iden, Briefwahl",B,15,8,9,32,94,34.04255319148936,False
15090285,003,000001,Kamern,01 Kamern,U,17,25,34,76,288,26.38888888888889,False
15090285,003,000002,Kamern,"02 Kamern, Schönfeld",U,8,13,7,28,112,25.0,False
15090285,003,000003,Kamern,"03 Kamern, Wulkau",U,19,13,9,41,193,21.243523316062177,False
15090285,003,000022,Kamern,22 Briefwahlbezirk Kamern,B,20,19,18,57,185,30.81081081081081,False
15090310,003,000004,Klietz,04 Klietz,U,23,53,22,98,542,18.081180811808117,False
15090310,003,000005,Klietz,"05 Klietz, Neuermark-Lübars",U,10,34,6,50,172,29.069767441860463,False
15090310,003,000006,Klietz,"06 Klietz, Scharlibbe",U,9,2,4,15,118,12.711864406779661,False
15090310,003,000023,Klietz,23 Briefwahlbezirk Klietz,B,27,19,22,68,198,34.343434343434346,False
