commit,acquired_at_utc,acquired_at_local,commit_time,subject,previous_commit,previous_acquired_at_local,name,key,event,changes,candidate
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,Kamern / 000002,"[""03, Havelberg-Osterburg"",""Stendal"",""Kamern"",""000002""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Osterburg (Altmark), Hansestadt / 000004","[""03, Havelberg-Osterburg"",""Stendal"",""Osterburg (Altmark), Hansestadt"",""000004""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Osterburg (Altmark), Hansestadt / 000008","[""03, Havelberg-Osterburg"",""Stendal"",""Osterburg (Altmark), Hansestadt"",""000008""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Osterburg (Altmark), Hansestadt / 000012","[""03, Havelberg-Osterburg"",""Stendal"",""Osterburg (Altmark), Hansestadt"",""000012""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Osterburg (Altmark), Hansestadt / 000013","[""03, Havelberg-Osterburg"",""Stendal"",""Osterburg (Altmark), Hansestadt"",""000013""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,Rochau / 000081,"[""03, Havelberg-Osterburg"",""Stendal"",""Rochau"",""000081""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Sandau (Elbe), Stadt / 000024","[""03, Havelberg-Osterburg"",""Stendal"",""Sandau (Elbe), Stadt"",""000024""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,Schönhausen (Elbe) / 000011,"[""03, Havelberg-Osterburg"",""Stendal"",""Schönhausen (Elbe)"",""000011""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,Wust-Fischbeck / 000014,"[""03, Havelberg-Osterburg"",""Stendal"",""Wust-Fischbeck"",""000014""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,Wust-Fischbeck / 000027,"[""03, Havelberg-Osterburg"",""Stendal"",""Wust-Fischbeck"",""000027""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,Zehrental / 000025,"[""03, Havelberg-Osterburg"",""Stendal"",""Zehrental"",""000025""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Bismark (Altmark), Stadt / 000005","[""04, Stendal"",""Stendal"",""Bismark (Altmark), Stadt"",""000005""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Bismark (Altmark), Stadt / 000006","[""04, Stendal"",""Stendal"",""Bismark (Altmark), Stadt"",""000006""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Bismark (Altmark), Stadt / 000007","[""04, Stendal"",""Stendal"",""Bismark (Altmark), Stadt"",""000007""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
