key,name,level,reported_precincts,total_precincts,Wahlkreis,Landkreis,Gemeinde,wbz,stand,wbz_ist,wbz_soll,goto,commit
"[""18, Aschersleben"",""Salzlandkreis"",""Aschersleben, Stadt"",""000964""]","Aschersleben, Stadt / 000964",WAHLBEZIRK_STATUS,0,1,"18, Aschersleben",Salzlandkreis,"Aschersleben, Stadt",000964,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""18, Aschersleben"",""Salzlandkreis"",""Aschersleben, Stadt"",""000965""]","Aschersleben, Stadt / 000965",WAHLBEZIRK_STATUS,0,1,"18, Aschersleben",Salzlandkreis,"Aschersleben, Stadt",000965,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""18, Aschersleben"",""Salzlandkreis"",""Aschersleben, Stadt"",""000966""]","Aschersleben, Stadt / 000966",WAHLBEZIRK_STATUS,0,1,"18, Aschersleben",Salzlandkreis,"Aschersleben, Stadt",000966,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""19, Staßfurt"",""Salzlandkreis"",""Staßfurt, Salzstadt"",""000976""]","Staßfurt, Salzstadt / 000976",WAHLBEZIRK_STATUS,0,1,"19, Staßfurt",Salzlandkreis,"Staßfurt, Salzstadt",000976,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""20, Schönebeck"",""Salzlandkreis"",""Barby, Stadt"",""000982""]","Barby, Stadt / 000982",WAHLBEZIRK_STATUS,0,1,"20, Schönebeck",Salzlandkreis,"Barby, Stadt",000982,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""20, Schönebeck"",""Salzlandkreis"",""Schönebeck (Elbe), Stadt"",""000980""]","Schönebeck (Elbe), Stadt / 000980",WAHLBEZIRK_STATUS,0,1,"20, Schönebeck",Salzlandkreis,"Schönebeck (Elbe), Stadt",000980,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""21, Bernburg"",""Salzlandkreis"",""Alsleben (Saale), Stadt"",""000991""]","Alsleben (Saale), Stadt / 000991",WAHLBEZIRK_STATUS,0,1,"21, Bernburg",Salzlandkreis,"Alsleben (Saale), Stadt",000991,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""21, Bernburg"",""Salzlandkreis"",""Bernburg (Saale), Stadt"",""000985""]","Bernburg (Saale), Stadt / 000985",WAHLBEZIRK_STATUS,0,1,"21, Bernburg",Salzlandkreis,"Bernburg (Saale), Stadt",000985,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""21, Bernburg"",""Salzlandkreis"",""Bernburg (Saale), Stadt"",""000986""]","Bernburg (Saale), Stadt / 000986",WAHLBEZIRK_STATUS,0,1,"21, Bernburg",Salzlandkreis,"Bernburg (Saale), Stadt",000986,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""21, Bernburg"",""Salzlandkreis"",""Bernburg (Saale), Stadt"",""000988""]","Bernburg (Saale), Stadt / 000988",WAHLBEZIRK_STATUS,0,1,"21, Bernburg",Salzlandkreis,"Bernburg (Saale), Stadt",000988,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""21, Bernburg"",""Salzlandkreis"",""Giersleben"",""000992""]",Giersleben / 000992,WAHLBEZIRK_STATUS,0,1,"21, Bernburg",Salzlandkreis,Giersleben,000992,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""21, Bernburg"",""Salzlandkreis"",""Güsten, Stadt"",""000993""]","Güsten, Stadt / 000993",WAHLBEZIRK_STATUS,0,1,"21, Bernburg",Salzlandkreis,"Güsten, Stadt",000993,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""21, Bernburg"",""Salzlandkreis"",""Ilberstedt"",""000994""]",Ilberstedt / 000994,WAHLBEZIRK_STATUS,0,1,"21, Bernburg",Salzlandkreis,Ilberstedt,000994,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""21, Bernburg"",""Salzlandkreis"",""Nienburg (Saale), Stadt"",""000990""]","Nienburg (Saale), Stadt / 000990",WAHLBEZIRK_STATUS,0,1,"21, Bernburg",Salzlandkreis,"Nienburg (Saale), Stadt",000990,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""21, Bernburg"",""Salzlandkreis"",""Plötzkau"",""000995""]",Plötzkau / 000995,WAHLBEZIRK_STATUS,0,1,"21, Bernburg",Salzlandkreis,Plötzkau,000995,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""22, Köthen"",""Anhalt-Bitterfeld"",""Köthen (Anhalt), Stadt"",""000023""]","Köthen (Anhalt), Stadt / 000023",WAHLBEZIRK_STATUS,0,1,"22, Köthen",Anhalt-Bitterfeld,"Köthen (Anhalt), Stadt",000023,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""22, Köthen"",""Anhalt-Bitterfeld"",""Südliches Anhalt, Stadt"",""000250""]","Südliches Anhalt, Stadt / 000250",WAHLBEZIRK_STATUS,0,1,"22, Köthen",Anhalt-Bitterfeld,"Südliches Anhalt, Stadt",000250,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""24, Wittenberg"",""Wittenberg"",""Wittenberg, Lutherstadt"",""000014""]","Wittenberg, Lutherstadt / 000014",WAHLBEZIRK_STATUS,0,1,"24, Wittenberg",Wittenberg,"Wittenberg, Lutherstadt",000014,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""29, Saalekreis"",""Saalekreis"",""Petersberg"",""000012""]",Petersberg / 000012,WAHLBEZIRK_STATUS,0,1,"29, Saalekreis",Saalekreis,Petersberg,000012,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""29, Saalekreis"",""Saalekreis"",""Teutschenthal"",""000014""]",Teutschenthal / 000014,WAHLBEZIRK_STATUS,0,1,"29, Saalekreis",Saalekreis,Teutschenthal,000014,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""30, Eisleben"",""Mansfeld-Südharz"",""Eisleben, Lutherstadt"",""300004""]","Eisleben, Lutherstadt / 300004",WAHLBEZIRK_STATUS,0,1,"30, Eisleben",Mansfeld-Südharz,"Eisleben, Lutherstadt",300004,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""32, Querfurt"",""Saalekreis"",""Bad Lauchstädt, Goethestadt"",""000008""]","Bad Lauchstädt, Goethestadt / 000008",WAHLBEZIRK_STATUS,0,1,"32, Querfurt",Saalekreis,"Bad Lauchstädt, Goethestadt",000008,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""33, Merseburg"",""Saalekreis"",""Braunsbedra, Stadt"",""000011""]","Braunsbedra, Stadt / 000011",WAHLBEZIRK_STATUS,0,1,"33, Merseburg",Saalekreis,"Braunsbedra, Stadt",000011,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""34, Bad Dürrenberg-Saalekreis"",""Saalekreis"",""Landsberg, Stadt"",""000201""]","Landsberg, Stadt / 000201",WAHLBEZIRK_STATUS,0,1,"34, Bad Dürrenberg-Saalekreis",Saalekreis,"Landsberg, Stadt",000201,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""34, Bad Dürrenberg-Saalekreis"",""Saalekreis"",""Landsberg, Stadt"",""000302""]","Landsberg, Stadt / 000302",WAHLBEZIRK_STATUS,0,1,"34, Bad Dürrenberg-Saalekreis",Saalekreis,"Landsberg, Stadt",000302,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""34, Bad Dürrenberg-Saalekreis"",""Saalekreis"",""Landsberg, Stadt"",""091203""]","Landsberg, Stadt / 091203",WAHLBEZIRK_STATUS,0,1,"34, Bad Dürrenberg-Saalekreis",Saalekreis,"Landsberg, Stadt",091203,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""35, Halle I"",""Halle (Saale), Stadt"",""Halle (Saale), Stadt"",""057301""]","Halle (Saale), Stadt / 057301",WAHLBEZIRK_STATUS,0,1,"35, Halle I","Halle (Saale), Stadt","Halle (Saale), Stadt",057301,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""36, Halle II"",""Halle (Saale), Stadt"",""Halle (Saale), Stadt"",""041101""]","Halle (Saale), Stadt / 041101",WAHLBEZIRK_STATUS,0,1,"36, Halle II","Halle (Saale), Stadt","Halle (Saale), Stadt",041101,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""36, Halle II"",""Halle (Saale), Stadt"",""Halle (Saale), Stadt"",""090011""]","Halle (Saale), Stadt / 090011",WAHLBEZIRK_STATUS,0,1,"36, Halle II","Halle (Saale), Stadt","Halle (Saale), Stadt",090011,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""36, Halle II"",""Halle (Saale), Stadt"",""Halle (Saale), Stadt"",""090037""]","Halle (Saale), Stadt / 090037",WAHLBEZIRK_STATUS,0,1,"36, Halle II","Halle (Saale), Stadt","Halle (Saale), Stadt",090037,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""36, Halle II"",""Halle (Saale), Stadt"",""Halle (Saale), Stadt"",""090042""]","Halle (Saale), Stadt / 090042",WAHLBEZIRK_STATUS,0,1,"36, Halle II","Halle (Saale), Stadt","Halle (Saale), Stadt",090042,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""37, Halle III"",""Halle (Saale), Stadt"",""Halle (Saale), Stadt"",""090014""]","Halle (Saale), Stadt / 090014",WAHLBEZIRK_STATUS,0,1,"37, Halle III","Halle (Saale), Stadt","Halle (Saale), Stadt",090014,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""39, Weißenfels"",""Burgenlandkreis"",""Lützen, Stadt"",""000003""]","Lützen, Stadt / 000003",WAHLBEZIRK_STATUS,0,1,"39, Weißenfels",Burgenlandkreis,"Lützen, Stadt",000003,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""39, Weißenfels"",""Burgenlandkreis"",""Weißenfels, Stadt"",""000028""]","Weißenfels, Stadt / 000028",WAHLBEZIRK_STATUS,0,1,"39, Weißenfels",Burgenlandkreis,"Weißenfels, Stadt",000028,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""40, Naumburg"",""Burgenlandkreis"",""Schönburg"",""445001""]",Schönburg / 445001,WAHLBEZIRK_STATUS,0,1,"40, Naumburg",Burgenlandkreis,Schönburg,445001,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
"[""41, Zeitz"",""Burgenlandkreis"",""Zeitz, Stadt"",""000028""]","Zeitz, Stadt / 000028",WAHLBEZIRK_STATUS,0,1,"41, Zeitz",Burgenlandkreis,"Zeitz, Stadt",000028,0,0,1,,034045f3d0f71c47aebf3daea47f3d33b136de5c
