commit,acquired_at_utc,acquired_at_local,commit_time,subject,previous_commit,previous_acquired_at_local,source,level,name,mode,previous_reported,reported,total,key,event,changes,candidate
5f4bd0f68143b10399963391191ad7ae267bae10,2026-09-06T21:01:14.584325+00:00,2026-09-06T23:01:14.584325+02:00,2026-09-06T21:01:15Z,2026-lsa poll 2026-09-06T21:01:14.584325+00:00,dabef6e6806d6f4fe0b8399dc468030b204d7c00,2026-09-06T22:55:40.135282+02:00,normalized,GEMEINDE,"Mücheln (Geiseltal), Stadt",TOTAL,12,12,12,lsa:GEMEINDE:15088235,numeric_decrease|revision_at_fixed_reporting_count|revision_after_complete,"{""party:D1"":{""after"":1209,""before"":1211,""delta"":-2},""party:D2"":{""after"":2955,""before"":2956,""delta"":-1},""party:F15"":{""after"":243,""before"":245,""delta"":-2},""party:F2"":{""after"":2882,""before"":2883,""delta"":-1},""valid_votes_erst"":{""after"":5212,""before"":5215,""delta"":-3},""valid_votes_zweit"":{""after"":5227,""before"":5230,""delta"":-3}}",True
5f4bd0f68143b10399963391191ad7ae267bae10,2026-09-06T21:01:14.584325+00:00,2026-09-06T23:01:14.584325+02:00,2026-09-06T21:01:15Z,2026-lsa poll 2026-09-06T21:01:14.584325+00:00,dabef6e6806d6f4fe0b8399dc468030b204d7c00,2026-09-06T22:55:40.135282+02:00,normalized,KREIS,Saalekreis,TOTAL,199,199,207,lsa:KREIS:15088,numeric_decrease|revision_at_fixed_reporting_count,"{""party:D1"":{""after"":25812,""before"":25814,""delta"":-2},""party:D2"":{""after"":54793,""before"":54794,""delta"":-1},""party:F15"":{""after"":5295,""before"":5297,""delta"":-2},""party:F2"":{""after"":53259,""before"":53260,""delta"":-1},""valid_votes_erst"":{""after"":104743,""before"":104746,""delta"":-3},""valid_votes_zweit"":{""after"":105064,""before"":105067,""delta"":-3}}",True
5f4bd0f68143b10399963391191ad7ae267bae10,2026-09-06T21:01:14.584325+00:00,2026-09-06T23:01:14.584325+02:00,2026-09-06T21:01:15Z,2026-lsa poll 2026-09-06T21:01:14.584325+00:00,dabef6e6806d6f4fe0b8399dc468030b204d7c00,2026-09-06T22:55:40.135282+02:00,normalized,LAND,Sachsen-Anhalt,TOTAL,2519,2519,2660,lsa:LAND:15,numeric_decrease|revision_at_fixed_reporting_count,"{""party:D1"":{""after"":285100,""before"":285102,""delta"":-2},""party:D2"":{""after"":549176,""before"":549177,""delta"":-1},""party:F15"":{""after"":63355,""before"":63357,""delta"":-2},""party:F2"":{""after"":543123,""before"":543124,""delta"":-1},""valid_votes_erst"":{""after"":1212346,""before"":1212349,""delta"":-3},""valid_votes_zweit"":{""after"":1214695,""before"":1214698,""delta"":-3}}",True
5f4bd0f68143b10399963391191ad7ae267bae10,2026-09-06T21:01:14.584325+00:00,2026-09-06T23:01:14.584325+02:00,2026-09-06T21:01:15Z,2026-lsa poll 2026-09-06T21:01:14.584325+00:00,dabef6e6806d6f4fe0b8399dc468030b204d7c00,2026-09-06T22:55:40.135282+02:00,normalized,WAHLKREIS,Querfurt,TOTAL,89,89,90,lsa:WAHLKREIS:032,numeric_decrease|revision_at_fixed_reporting_count,"{""party:D1"":{""after"":7132,""before"":7134,""delta"":-2},""party:D2"":{""after"":18374,""before"":18375,""delta"":-1},""party:F15"":{""after"":1735,""before"":1737,""delta"":-2},""party:F2"":{""after"":17731,""before"":17732,""delta"":-1},""valid_votes_erst"":{""after"":33089,""before"":33092,""delta"":-3},""valid_votes_zweit"":{""after"":33221,""before"":33224,""delta"":-3}}",True
c1b83b22c5edaef8f72537b33e662882fd5eda38,2026-09-06T21:50:42.996872+00:00,2026-09-06T23:50:42.996872+02:00,2026-09-06T21:50:43Z,2026-lsa poll 2026-09-06T21:50:42.996872+00:00,22b50c3a50ef24cc5b359b52b9827daad3a65e9c,2026-09-06T23:45:11.320799+02:00,normalized,GEMEINDE,"Naumburg (Saale), Stadt",TOTAL,31,31,31,lsa:GEMEINDE:15084355,revision_at_fixed_reporting_count|revision_after_complete,"{""voters_total"":{""after"":19372,""before"":19368,""delta"":4}}",True
c1b83b22c5edaef8f72537b33e662882fd5eda38,2026-09-06T21:50:42.996872+00:00,2026-09-06T23:50:42.996872+02:00,2026-09-06T21:50:43Z,2026-lsa poll 2026-09-06T21:50:42.996872+00:00,22b50c3a50ef24cc5b359b52b9827daad3a65e9c,2026-09-06T23:45:11.320799+02:00,normalized,GEMEINDE,Möser,TOTAL,9,9,9,lsa:GEMEINDE:15086145,numeric_decrease|revision_at_fixed_reporting_count|revision_after_complete,"{""voters_total"":{""after"":6001,""before"":6039,""delta"":-38}}",True
c1b83b22c5edaef8f72537b33e662882fd5eda38,2026-09-06T21:50:42.996872+00:00,2026-09-06T23:50:42.996872+02:00,2026-09-06T21:50:43Z,2026-lsa poll 2026-09-06T21:50:42.996872+00:00,22b50c3a50ef24cc5b359b52b9827daad3a65e9c,2026-09-06T23:45:11.320799+02:00,normalized,KREIS,Jerichower Land,TOTAL,114,114,116,lsa:KREIS:15086,numeric_decrease|revision_at_fixed_reporting_count,"{""voters_total"":{""after"":55781,""before"":55819,""delta"":-38}}",True
c1b83b22c5edaef8f72537b33e662882fd5eda38,2026-09-06T21:50:42.996872+00:00,2026-09-06T23:50:42.996872+02:00,2026-09-06T21:50:43Z,2026-lsa poll 2026-09-06T21:50:42.996872+00:00,22b50c3a50ef24cc5b359b52b9827daad3a65e9c,2026-09-06T23:45:11.320799+02:00,normalized,WAHLKREIS,Burg,TOTAL,65,65,66,lsa:WAHLKREIS:006,numeric_decrease|revision_at_fixed_reporting_count,"{""voters_total"":{""after"":32519,""before"":32557,""delta"":-38}}",True
034045f3d0f71c47aebf3daea47f3d33b136de5c,2026-09-06T22:00:20.311232+00:00,2026-09-07T00:00:20.311232+02:00,2026-09-07T00:01:13+02:00,Refresh LSA results to 2614 districts,4df0c5db1901da59dcf29fe843aa883797baf9aa,2026-09-06T23:56:06.793979+02:00,normalized,GEMEINDE,"Gröningen, Stadt",TOTAL,6,6,6,lsa:GEMEINDE:15083245,numeric_decrease|revision_at_fixed_reporting_count|revision_after_complete,"{""party:D15"":{""after"":131,""before"":130,""delta"":1},""party:D3"":{""after"":239,""before"":240,""delta"":-1},""party:D4"":{""after"":143,""before"":142,""delta"":1},""party:D5"":{""after"":57,""before"":58,""delta"":-1}}",True
305df69296afee6657b419df62f861403fd4370e,2026-09-06T22:23:44.184698+00:00,2026-09-07T00:23:44.184698+02:00,2026-09-06T22:23:45Z,2026-lsa poll 2026-09-06T22:23:44.184698+00:00,82b745143ae58288ad021a5f17a786d53eece813,2026-09-07T00:18:14.070833+02:00,normalized,GEMEINDE,"Bitterfeld-Wolfen, Stadt",TOTAL,31,31,31,lsa:GEMEINDE:15082015,numeric_decrease|revision_at_fixed_reporting_count|revision_after_complete,"{""party:D1"":{""after"":4314,""before"":4315,""delta"":-1},""party:D2"":{""after"":11013,""before"":11015,""delta"":-2},""party:D3"":{""after"":2277,""before"":2227,""delta"":50},""party:D6"":{""after"":704,""before"":732,""delta"":-28},""party:D7"":{""after"":926,""before"":945,""delta"":-19}}",True
