commit,acquired_at_utc,acquired_at_local,commit_time,subject,relation,parent,name,field,child_count,missing_children,children_sum,parent_value,delta
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F1,218,0,226622,226221,401
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F10,218,0,7482,7475,7
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F11,218,0,3487,3485,2
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F12,218,0,7283,7272,11
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F15,218,0,69291,69143,148
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F19,218,0,2778,2771,7
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F2,218,0,576037,575664,373
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F20,218,0,4339,4334,5
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F3,218,0,112541,112395,146
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F4,218,0,122303,122092,211
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F5,218,0,33969,33934,35
