relation,parent,name,field,child_count,missing_children,children_sum,parent_value,delta
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F1,41,0,226622,226622,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F10,41,0,7482,7482,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F11,41,0,3487,3487,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F12,41,0,7283,7283,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F15,41,0,69291,69291,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F19,41,0,2778,2778,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F2,41,0,576037,576037,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F20,41,0,4339,4339,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F3,41,0,112541,112541,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F4,41,0,122303,122303,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F5,41,0,33969,33969,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F6,41,0,117498,117498,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F7,41,0,15430,15430,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F8,41,0,1899,1899,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F9,41,0,14356,14356,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",reported_precincts,1,0,79,,
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",total_precincts,1,0,79,,
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",voters_total,1,0,47083,47083,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",valid_votes_erst,1,0,46414,46414,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",valid_votes_zweit,1,0,46610,46610,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:D1,1,0,13407,13407,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:D13,1,0,215,215,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:D2,1,0,19125,19125,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:D3,1,0,5162,5162,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:D4,1,0,3862,3862,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:D5,1,0,2173,2173,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:D6,1,0,1950,1950,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:D7,1,0,520,520,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:F1,1,0,8551,8551,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:F10,1,0,230,230,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:F11,1,0,120,120,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:F12,1,0,259,259,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:F15,1,0,2963,2963,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:F19,1,0,63,63,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:F2,1,0,18134,18134,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:F20,1,0,167,167,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:F3,1,0,3953,3953,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:F4,1,0,4709,4709,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:F5,1,0,1452,1452,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:F6,1,0,4937,4937,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:F7,1,0,455,455,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:F8,1,0,52,52,0
GEMEINDE->KREIS,lsa:KREIS:15001,"Dessau-Roßlau, Stadt",party:F9,1,0,565,565,0
