row,name,field,mode,geographic_level,observed,median,mad,z,n,external_level,recomputed_level,match
WBZ:037:15002:15002000:023003:U,"Halle (Saale), Stadt / 023003",GRÜNE,U,WAHLBEZIRK,40.88952654232425,5.184758491210104,1.7994485415660688,13.383286914541332,1998,red,red,True
WBZ:037:15002:15002000:023004:U,"Halle (Saale), Stadt / 023004",GRÜNE,U,WAHLBEZIRK,39.88505747126437,5.184758491210104,1.7994485415660688,13.006779839757023,1998,red,red,True
WBZ:037:15002:15002000:023005:U,"Halle (Saale), Stadt / 023005",GRÜNE,U,WAHLBEZIRK,38.40947546531303,5.184758491210104,1.7994485415660688,12.453684597034533,1998,red,red,True
WBZ:007:15083:15083275:275999:B,Harbke / 275999,Ungültige Zweitstimmen,B,WAHLBEZIRK,6.206896551724138,0.4329004329004329,0.2487383702853316,15.657041665637935,403,red,red,True
WBZ:014:15085:15085125:000993:B,Groß Quenstedt / 000993,Ungültige Zweitstimmen,B,WAHLBEZIRK,5.185185185185185,0.4329004329004329,0.2487383702853316,12.886520676888951,403,orange,orange,True
WBZ:014:15085:15085285:000994:B,"Schwanebeck, Stadt / 000994",Ungültige Zweitstimmen,B,WAHLBEZIRK,4.62962962962963,0.4329004329004329,0.2487383702853316,11.38004988925669,403,orange,orange,True
WBZ:015:15085:15085230:000998:B,"Osterwieck, Stadt / 000998",Ungültige Zweitstimmen,B,WAHLBEZIRK,3.4278959810874703,0.4329004329004329,0.2487383702853316,8.121371944378394,403,orange,orange,True
WBZ:017:15085:15085090:000993:B,Ditfurt / 000993,Ungültige Zweitstimmen,B,WAHLBEZIRK,3.048780487804878,0.4329004329004329,0.2487383702853316,7.0933443959941584,403,orange,orange,True
WBZ:027:15001:15001000:000998:B,"Dessau-Roßlau, Stadt / 000998",Ungültige Zweitstimmen,B,WAHLBEZIRK,3.3873343151693667,0.4329004329004329,0.2487383702853316,8.011383007732414,403,orange,orange,True
WBZ:037:15002:15002000:090031:B,"Halle (Saale), Stadt / 090031",Ungültige Zweitstimmen,B,WAHLBEZIRK,4.078014184397163,0.4329004329004329,0.2487383702853316,9.884263291607635,403,orange,orange,True
WBZ:007:15083:15083275:275999:B,Harbke / 275999,Ungültige Erststimmen,B,WAHLBEZIRK,6.206896551724138,0.7385524372230429,0.35245205112265676,10.464820854697289,403,red,red,True
WBZ:014:15085:15085125:000993:B,Groß Quenstedt / 000993,Ungültige Erststimmen,B,WAHLBEZIRK,5.925925925925926,0.7385524372230429,0.35245205112265676,9.927124761905086,403,orange,orange,True
WBZ:014:15085:15085285:000994:B,"Schwanebeck, Stadt / 000994",Ungültige Erststimmen,B,WAHLBEZIRK,4.938271604938271,0.7385524372230429,0.35245205112265676,8.037041526635523,403,orange,orange,True
WBZ:017:15085:15085090:000993:B,Ditfurt / 000993,Ungültige Erststimmen,B,WAHLBEZIRK,4.2682926829268295,0.7385524372230429,0.35245205112265676,6.754896649051752,403,orange,orange,True
WBZ:027:15001:15001000:000998:B,"Dessau-Roßlau, Stadt / 000998",Ungültige Erststimmen,B,WAHLBEZIRK,4.270986745213549,0.7385524372230429,0.35245205112265676,6.760052301039189,403,orange,orange,True
WBZ:037:15002:15002000:090031:B,"Halle (Saale), Stadt / 090031",Ungültige Erststimmen,B,WAHLBEZIRK,4.078014184397163,0.7385524372230429,0.35245205112265676,6.390758921447276,403,orange,orange,True
WBZ:011:15003:15003000:009015:B,"Magdeburg, Landeshauptstadt / 009015",GRÜNE,B,WAHLBEZIRK,43.56005788712012,9.90990990990991,3.0405405405405403,7.464697004702117,403,orange,orange,True
WBZ:011:15003:15003000:009245:B,"Magdeburg, Landeshauptstadt / 009245",GRÜNE,B,WAHLBEZIRK,38.58974358974359,9.90990990990991,3.0405405405405403,6.362119676567269,403,orange,orange,True
WBZ:011:15003:15003000:009247:B,"Magdeburg, Landeshauptstadt / 009247",GRÜNE,B,WAHLBEZIRK,39.056356487549145,9.90990990990991,3.0405405405405403,6.465629589895539,403,orange,orange,True
WBZ:036:15002:15002000:090060:B,"Halle (Saale), Stadt / 090060",GRÜNE,B,WAHLBEZIRK,38.99782135076253,9.90990990990991,3.0405405405405403,6.4526445932014145,403,orange,orange,True
WBZ:037:15002:15002000:090001:B,"Halle (Saale), Stadt / 090001",GRÜNE,B,WAHLBEZIRK,42.75184275184275,9.90990990990991,3.0405405405405403,7.2854086074104965,403,orange,orange,True
WBZ:037:15002:15002000:090006:B,"Halle (Saale), Stadt / 090006",GRÜNE,B,WAHLBEZIRK,38.95747599451303,9.90990990990991,3.0405405405405403,6.443694681297513,403,orange,orange,True
WBZ:037:15002:15002000:090007:B,"Halle (Saale), Stadt / 090007",GRÜNE,B,WAHLBEZIRK,37.02928870292887,9.90990990990991,3.0405405405405403,6.015960042218335,403,orange,orange,True
WBZ:037:15002:15002000:090008:B,"Halle (Saale), Stadt / 090008",GRÜNE,B,WAHLBEZIRK,48.69565217391305,9.90990990990991,3.0405405405405403,8.603938808808046,403,orange,orange,True
WBZ:037:15002:15002000:090009:B,"Halle (Saale), Stadt / 090009",GRÜNE,B,WAHLBEZIRK,47.3621103117506,9.90990990990991,3.0405405405405403,8.308115861733024,403,orange,orange,True
WBZ:037:15002:15002000:090013:B,"Halle (Saale), Stadt / 090013",GRÜNE,B,WAHLBEZIRK,42.17791411042945,9.90990990990991,3.0405405405405403,7.1580925726230085,403,orange,orange,True
WBZ:037:15002:15002000:090031:B,"Halle (Saale), Stadt / 090031",GRÜNE,B,WAHLBEZIRK,40.11090573012939,9.90990990990991,3.0405405405405403,6.69956290209764,403,orange,orange,True
WBZ:037:15002:15002000:090034:B,"Halle (Saale), Stadt / 090034",GRÜNE,B,WAHLBEZIRK,42.8380187416332,9.90990990990991,3.0405405405405403,7.304525244083289,403,orange,orange,True
WBZ:037:15002:15002000:090036:B,"Halle (Saale), Stadt / 090036",GRÜNE,B,WAHLBEZIRK,44.42953020134228,9.90990990990991,3.0405405405405403,7.657574236149695,403,orange,orange,True
WBZ:037:15002:15002000:090039:B,"Halle (Saale), Stadt / 090039",GRÜNE,B,WAHLBEZIRK,43.49030470914128,9.90990990990991,3.0405405405405403,7.44922348170068,403,orange,orange,True
WBZ:037:15002:15002000:090053:B,"Halle (Saale), Stadt / 090053",GRÜNE,B,WAHLBEZIRK,40.833333333333336,9.90990990990991,3.0405405405405403,6.859820835269372,403,orange,orange,True
WBZ:037:15002:15002000:090054:B,"Halle (Saale), Stadt / 090054",GRÜNE,B,WAHLBEZIRK,39.41411451398136,9.90990990990991,3.0405405405405403,6.544991953179212,403,orange,orange,True
WBZ:037:15002:15002000:090057:B,"Halle (Saale), Stadt / 090057",GRÜNE,B,WAHLBEZIRK,44.759206798866856,9.90990990990991,3.0405405405405403,7.730707225393269,403,orange,orange,True
WBZ:037:15002:15002000:090059:B,"Halle (Saale), Stadt / 090059",GRÜNE,B,WAHLBEZIRK,41.94915254237288,9.90990990990991,3.0405405405405403,7.107345818313953,403,orange,orange,True
WBZ:017:15085:15085235:000997:B,"Quedlinburg, Welterbestadt / 000997",Ungültige Zweitstimmen,B,WAHLBEZIRK,5.163043478260869,0.4807692307692308,0.14882153523286784,21.221059897861128,95,orange,orange,True
WBZ:017:15085:15085235:000997:B,"Quedlinburg, Welterbestadt / 000997",Ungültige Erststimmen,B,WAHLBEZIRK,5.52536231884058,0.8235294117647058,0.26638884436608445,11.90493864700821,95,orange,orange,True
WBZ:023:15086:15086055:000015:B,"Gommern, Stadt / 000015",Ungültige Erststimmen,B,WAHLBEZIRK,3.204134366925065,0.8235294117647058,0.26638884436608445,6.0276399638313345,95,orange,orange,True
WBZ:013:15003:15003000:009442:B,"Magdeburg, Landeshauptstadt / 009442",GRÜNE,B,WAHLBEZIRK,32.33364573570759,9.855072463768115,2.1465191374745567,7.06333789130751,95,orange,orange,True
WBZ:036:15002:15002000:090004:B,"Halle (Saale), Stadt / 090004",GRÜNE,B,WAHLBEZIRK,36.689254598257506,9.855072463768115,2.1465191374745567,8.43198067598853,95,orange,orange,True
WBZ:036:15002:15002000:090037:B,"Halle (Saale), Stadt / 090037",GRÜNE,B,WAHLBEZIRK,36.534839924670436,9.855072463768115,2.1465191374745567,8.38345966881754,95,orange,orange,True
WBZ:037:15002:15002000:090005:B,"Halle (Saale), Stadt / 090005",GRÜNE,B,WAHLBEZIRK,42.21611721611722,9.855072463768115,2.1465191374745567,10.168661099452581,95,red,red,True
WBZ:037:15002:15002000:090035:B,"Halle (Saale), Stadt / 090035",GRÜNE,B,WAHLBEZIRK,35.27336860670194,9.855072463768115,2.1465191374745567,7.987073383477656,95,orange,orange,True
WBZ:037:15002:15002000:090049:B,"Halle (Saale), Stadt / 090049",GRÜNE,B,WAHLBEZIRK,42.10526315789474,9.855072463768115,2.1465191374745567,10.133827942544643,95,red,red,True
