Berichtszeitpunkt,_RS,Name,Regionalebene,ERWERBSTAT_KURZ_STP,ERWERBSTAT_KURZ_STP__M,ERWERBSTAT_KURZ_STP__W,ERWERBSTAT_KURZ_STP__1,ERWERBSTAT_KURZ_STP__1_M,ERWERBSTAT_KURZ_STP__1_W,ERWERBSTAT_KURZ_STP__11,ERWERBSTAT_KURZ_STP__11_M,ERWERBSTAT_KURZ_STP__11_W,ERWERBSTAT_KURZ_STP__12,ERWERBSTAT_KURZ_STP__12_M,ERWERBSTAT_KURZ_STP__12_W,ERWERBSTAT_KURZ_STP__2,ERWERBSTAT_KURZ_STP__2_M,ERWERBSTAT_KURZ_STP__2_W,geo_id
20220515,130730035035,"Grimmen, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073035
20220515,130730055055,"Marlow, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073055
20220515,130730070070,"Putbus, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073070
20220515,130730080080,"Sassnitz, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073080
20220515,130730088088,"Stralsund, Hansestadt",Gemeinde,52270,25050,27220,25450,13440,12010,23100,12130,10970,2350,1310,1040,26820,11600,15210,13073088
20220515,130730089089,Süderholz,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073089
20220515,130730105105,"Zingst, Ostseeheilbad",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073105
20220515,130735351,Altenpleen,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735351
20220515,130735352,Barth,Gemeindeverband,14100,6780,7320,6840,3410,3430,6610,3290,3320,230,/,/,7250,3370,3890,130735352
20220515,130735353,Bergen auf Rügen,Gemeindeverband,19980,9740,10240,10120,5150,4970,9500,4970,4540,610,/,430,9870,4590,5280,130735353
20220515,130735354,Darß/Fischland,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735354
20220515,130735355,Franzburg-Richtenberg,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735355
20220515,130735356,Miltzow,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735356
20220515,130735357,Mönchgut-Granitz,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735357
20220515,130735358,Niepars,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735358
20220515,130735359,Nord-Rügen,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735359
20220515,130735360,Recknitz-Trebeltal,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735360
20220515,130735361,Ribnitz-Damgarten,Gemeindeverband,17690,8500,9200,8480,4450,4030,8030,4270,3760,450,/,260,9220,4050,5170,130735361
20220515,130735362,West-Rügen,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130735362
20220515,130740026026,"Grevesmühlen, Stadt",Gemeinde,10000,4830,5160,5010,2500,2510,4640,2350,2300,370,/,/,4990,2330,2650,13074026
20220515,130740035035,"Insel Poel, Ostseebad",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13074035
20220515,130740087087,"Wismar, Hansestadt",Gemeinde,41430,20160,21270,19810,10570,9240,18250,9780,8480,1560,790,770,21620,9600,12030,13074087
20220515,130745451,Dorf Mecklenburg-Bad Kleinen,Gemeindeverband,13990,7000,6990,7260,3900,3360,6870,3700,3170,390,/,/,6730,3110,3620,130745451
20220515,130745452,Gadebusch,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130745452
20220515,130745453,Grevesmühlen-Land,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130745453
20220515,130745454,Klützer Winkel,Gemeindeverband,10360,5010,5340,5560,2720,2840,5330,2630,2700,240,/,/,4790,2290,2510,130745454
20220515,130745455,Lützow-Lübstorf,Gemeindeverband,13210,6640,6570,7240,3760,3470,7000,3670,3340,240,/,/,5970,2870,3100,130745455
20220515,130745456,Neuburg,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130745456
20220515,130745457,Neukloster-Warin,Gemeindeverband,10320,5160,5160,5080,2710,2370,4820,2560,2260,260,/,/,5240,2450,2790,130745457
20220515,130745458,Rehna,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130745458
20220515,130745459,Schönberger Land,Gemeindeverband,17800,8930,8870,9950,4960,4980,9550,4740,4810,400,230,/,7850,3970,3880,130745459
20220515,130750005005,"Anklam, Hansestadt",Gemeinde,11520,5450,6080,5010,2570,2440,4560,2280,2280,450,290,/,6510,2880,3640,13075005
20220515,130750039039,"Greifswald, Universitäts- und Hansestadt",Gemeinde,54270,25690,28580,27860,14270,13590,25420,12890,12530,2440,1390,1060,26410,11420,14990,13075039
20220515,130750049049,"Heringsdorf, Ostseebad",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13075049
20220515,130750105105,"Pasewalk, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13075105
20220515,130750130130,"Strasburg (Uckermark), Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13075130
20220515,130750136136,"Ueckermünde, Seebad , Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13075136
20220515,130755551,Am Peenestrom,Gemeindeverband,13560,6590,6970,6050,3200,2850,5700,3010,2690,350,/,/,7510,3390,4120,130755551
20220515,130755552,Am Stettiner Haff,Gemeindeverband,10160,4990,5180,4750,2540,2210,4390,2360,2030,360,/,/,5410,2440,2970,130755552
20220515,130755553,Anklam-Land,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130755553
20220515,130755554,Jarmen-Tutow,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130755554
20220515,130755555,Landhagen,Gemeindeverband,10640,5350,5300,5380,2750,2630,5210,2620,2590,/,/,/,5260,2590,2670,130755555
20220515,130755556,Löcknitz-Penkun,Gemeindeverband,10370,5190,5180,4790,2620,2170,4480,2430,2060,310,/,/,5570,2560,3010,130755556
20220515,130755557,Lubmin,Gemeindeverband,10360,5110,5250,5200,2800,2400,4920,2610,2300,290,/,/,5160,2310,2850,130755557
20220515,130755558,Peenetal/Loitz,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130755558
20220515,130755559,Torgelow-Ferdinandshof,Gemeindeverband,13430,6600,6830,6320,3320,3000,5680,2930,2750,640,390,250,7110,3280,3830,130755559
20220515,130755560,Uecker-Randow-Tal,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130755560
20220515,130755561,Usedom-Nord,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130755561
20220515,130755562,Usedom-Süd,Gemeindeverband,10730,5210,5520,5010,2570,2430,4850,2500,2350,/,/,/,5720,2640,3080,130755562
20220515,130755563,Züssow,Gemeindeverband,11160,5560,5600,5320,2790,2540,4990,2620,2370,330,/,/,5830,2770,3060,130755563
20220515,130760014014,"Boizenburg/ Elbe, Stadt",Gemeinde,10870,5500,5370,5670,3010,2660,5270,2830,2430,410,/,220,5200,2490,2710,13076014
20220515,130760060060,"Hagenow, Stadt",Gemeinde,11680,5800,5890,5860,3150,2710,5350,2860,2490,510,290,220,5830,2650,3180,13076060
20220515,130760088088,"Lübtheen, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13076088
20220515,130760090090,"Ludwigslust, Stadt",Gemeinde,11350,5470,5880,5830,3070,2760,5510,2880,2630,310,/,/,5520,2400,3120,13076090
20220515,130760108108,"Parchim, Stadt",Gemeinde,17260,8380,8880,7580,3820,3760,7030,3580,3450,550,240,310,9680,4570,5120,13076108
20220515,130765652,Boizenburg-Land,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130765652
20220515,130765654,Dömitz-Malliß,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130765654
20220515,130765655,Eldenburg Lübz,Gemeindeverband,11610,5710,5900,5700,3080,2620,5250,2820,2430,450,260,/,5910,2630,3280,130765655
20220515,130765656,Goldberg-Mildenitz,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130765656
20220515,130765657,Grabow,Gemeindeverband,10630,5300,5320,5440,2910,2530,5050,2680,2360,390,230,/,5180,2390,2790,130765657
20220515,130765658,Hagenow-Land,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130765658
20220515,130765659,Ludwigslust-Land,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130765659
20220515,130765660,Neustadt-Glewe,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130765660
20220515,130765662,Parchimer Umland,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130765662
20220515,130765663,Plau am See,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130765663
20220515,130765664,Sternberger Seenlandschaft,Gemeindeverband,11610,5790,5820,5340,2890,2440,5010,2650,2360,320,240,/,6280,2900,3380,130765664
20220515,130765665,Stralendorf,Gemeindeverband,11560,5710,5850,5900,3110,2790,5690,3000,2690,/,/,/,5660,2600,3060,130765665
20220515,130765666,Wittenburg,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130765666
20220515,130765667,Zarrentin,Gemeindeverband,9940,5040,4900,5560,2990,2570,5310,2840,2470,250,/,/,4390,2050,2340,130765667
20220515,130765668,Crivitz,Gemeindeverband,24190,11880,12310,12040,5840,6190,11480,5540,5940,560,300,260,12150,6040,6120,130765668
