key,level,name,party,vote_type,votes,valid_votes,share_percent,reported_precincts,total_precincts
lsa:GEMEINDE:15081135,GEMEINDE,"Gardelegen, Hansestadt",SPD,Erststimmen,1113,13703,8.122308983434284,40,40
lsa:GEMEINDE:15081135,GEMEINDE,"Gardelegen, Hansestadt",GRÜNE,Zweitstimmen,986,13705,7.194454578620941,40,40
lsa:GEMEINDE:15081135,GEMEINDE,"Gardelegen, Hansestadt",GRÜNE,Erststimmen,305,13703,2.2257899729986135,40,40
lsa:GEMEINDE:15081135,GEMEINDE,"Gardelegen, Hansestadt",Die Linke,Zweitstimmen,1245,13705,9.084275811747537,40,40
lsa:GEMEINDE:15081135,GEMEINDE,"Gardelegen, Hansestadt",Die Linke,Erststimmen,1434,13703,10.464861709114793,40,40
lsa:GEMEINDE:15081135,GEMEINDE,"Gardelegen, Hansestadt",BSW,Zweitstimmen,754,13705,5.501641736592484,40,40
lsa:GEMEINDE:15081135,GEMEINDE,"Gardelegen, Hansestadt",BSW,Erststimmen,803,13703,5.860030650222579,40,40
lsa:GEMEINDE:15081225,GEMEINDE,Jübar,AfD,Zweitstimmen,532,1037,51.301832208293156,6,6
lsa:GEMEINDE:15081225,GEMEINDE,Jübar,AfD,Erststimmen,482,1037,46.48023143683703,6,6
lsa:GEMEINDE:15081225,GEMEINDE,Jübar,CDU,Zweitstimmen,172,1037,16.586306653809064,6,6
lsa:GEMEINDE:15081225,GEMEINDE,Jübar,CDU,Erststimmen,299,1037,28.833172613307617,6,6
lsa:GEMEINDE:15081225,GEMEINDE,Jübar,SPD,Zweitstimmen,80,1037,7.714561234329797,6,6
lsa:GEMEINDE:15081225,GEMEINDE,Jübar,SPD,Erststimmen,70,1037,6.750241080038573,6,6
lsa:GEMEINDE:15081225,GEMEINDE,Jübar,GRÜNE,Zweitstimmen,68,1037,6.557377049180328,6,6
lsa:GEMEINDE:15081225,GEMEINDE,Jübar,GRÜNE,Erststimmen,25,1037,2.4108003857280615,6,6
lsa:GEMEINDE:15081225,GEMEINDE,Jübar,Die Linke,Zweitstimmen,78,1037,7.521697203471552,6,6
lsa:GEMEINDE:15081225,GEMEINDE,Jübar,Die Linke,Erststimmen,80,1037,7.714561234329797,6,6
lsa:GEMEINDE:15081225,GEMEINDE,Jübar,BSW,Zweitstimmen,44,1037,4.243008678881389,6,6
lsa:GEMEINDE:15081225,GEMEINDE,Jübar,BSW,Erststimmen,42,1037,4.050144648023144,6,6
lsa:GEMEINDE:15081240,GEMEINDE,"Kalbe (Milde), Stadt",AfD,Zweitstimmen,2000,4562,43.84042086804033,18,18
lsa:GEMEINDE:15081240,GEMEINDE,"Kalbe (Milde), Stadt",AfD,Erststimmen,1991,4559,43.67185786356657,18,18
lsa:GEMEINDE:15081240,GEMEINDE,"Kalbe (Milde), Stadt",CDU,Zweitstimmen,828,4562,18.149934239368697,18,18
lsa:GEMEINDE:15081240,GEMEINDE,"Kalbe (Milde), Stadt",CDU,Erststimmen,1173,4559,25.729326606711997,18,18
lsa:GEMEINDE:15081240,GEMEINDE,"Kalbe (Milde), Stadt",SPD,Zweitstimmen,416,4562,9.118807540552389,18,18
lsa:GEMEINDE:15081240,GEMEINDE,"Kalbe (Milde), Stadt",SPD,Erststimmen,295,4559,6.470717262557579,18,18
lsa:GEMEINDE:15081240,GEMEINDE,"Kalbe (Milde), Stadt",GRÜNE,Zweitstimmen,320,4562,7.014467338886453,18,18
lsa:GEMEINDE:15081240,GEMEINDE,"Kalbe (Milde), Stadt",GRÜNE,Erststimmen,110,4559,2.4128098267163853,18,18
lsa:GEMEINDE:15081240,GEMEINDE,"Kalbe (Milde), Stadt",Die Linke,Zweitstimmen,439,4562,9.622972380534852,18,18
lsa:GEMEINDE:15081240,GEMEINDE,"Kalbe (Milde), Stadt",Die Linke,Erststimmen,547,4559,11.998245229216934,18,18
lsa:GEMEINDE:15081240,GEMEINDE,"Kalbe (Milde), Stadt",BSW,Zweitstimmen,274,4562,6.006137658921526,18,18
lsa:GEMEINDE:15081240,GEMEINDE,"Kalbe (Milde), Stadt",BSW,Erststimmen,266,4559,5.834612853695986,18,18
lsa:GEMEINDE:15081280,GEMEINDE,"Klötze, Stadt",AfD,Zweitstimmen,2520,6288,40.0763358778626,19,19
lsa:GEMEINDE:15081280,GEMEINDE,"Klötze, Stadt",AfD,Erststimmen,2462,6284,39.178866963717375,19,19
lsa:GEMEINDE:15081280,GEMEINDE,"Klötze, Stadt",CDU,Zweitstimmen,1201,6288,19.099872773536894,19,19
lsa:GEMEINDE:15081280,GEMEINDE,"Klötze, Stadt",CDU,Erststimmen,1619,6284,25.76384468491407,19,19
lsa:GEMEINDE:15081280,GEMEINDE,"Klötze, Stadt",SPD,Zweitstimmen,746,6288,11.863867684478372,19,19
lsa:GEMEINDE:15081280,GEMEINDE,"Klötze, Stadt",SPD,Erststimmen,504,6284,8.020369191597709,19,19
lsa:GEMEINDE:15081280,GEMEINDE,"Klötze, Stadt",GRÜNE,Zweitstimmen,460,6288,7.315521628498728,19,19
lsa:GEMEINDE:15081280,GEMEINDE,"Klötze, Stadt",GRÜNE,Erststimmen,156,6284,2.482495225970719,19,19
lsa:GEMEINDE:15081280,GEMEINDE,"Klötze, Stadt",Die Linke,Zweitstimmen,598,6288,9.510178117048346,19,19
lsa:GEMEINDE:15081280,GEMEINDE,"Klötze, Stadt",Die Linke,Erststimmen,1000,6284,15.913430935709739,19,19
lsa:GEMEINDE:15081280,GEMEINDE,"Klötze, Stadt",BSW,Zweitstimmen,324,6288,5.152671755725191,19,19
lsa:GEMEINDE:15081280,GEMEINDE,"Klötze, Stadt",BSW,Erststimmen,301,6284,4.7899427116486315,19,19
lsa:GEMEINDE:15081290,GEMEINDE,Kuhfelde,AfD,Zweitstimmen,332,700,47.42857142857143,4,4
lsa:GEMEINDE:15081290,GEMEINDE,Kuhfelde,AfD,Erststimmen,334,699,47.78254649499285,4,4
lsa:GEMEINDE:15081290,GEMEINDE,Kuhfelde,CDU,Zweitstimmen,129,700,18.428571428571427,4,4
lsa:GEMEINDE:15081290,GEMEINDE,Kuhfelde,CDU,Erststimmen,162,699,23.175965665236053,4,4
lsa:GEMEINDE:15081290,GEMEINDE,Kuhfelde,SPD,Zweitstimmen,46,700,6.571428571428571,4,4
lsa:GEMEINDE:15081290,GEMEINDE,Kuhfelde,SPD,Erststimmen,46,699,6.580829756795422,4,4
lsa:GEMEINDE:15081290,GEMEINDE,Kuhfelde,GRÜNE,Zweitstimmen,57,700,8.142857142857142,4,4
lsa:GEMEINDE:15081290,GEMEINDE,Kuhfelde,GRÜNE,Erststimmen,22,699,3.1473533619456364,4,4
lsa:GEMEINDE:15081290,GEMEINDE,Kuhfelde,Die Linke,Zweitstimmen,51,700,7.285714285714286,4,4
lsa:GEMEINDE:15081290,GEMEINDE,Kuhfelde,Die Linke,Erststimmen,61,699,8.726752503576538,4,4
lsa:GEMEINDE:15081290,GEMEINDE,Kuhfelde,BSW,Zweitstimmen,39,700,5.571428571428571,4,4
lsa:GEMEINDE:15081290,GEMEINDE,Kuhfelde,BSW,Erststimmen,39,699,5.579399141630901,4,4
lsa:GEMEINDE:15081440,GEMEINDE,Rohrberg,AfD,Zweitstimmen,340,679,50.07363770250368,4,4
lsa:GEMEINDE:15081440,GEMEINDE,Rohrberg,AfD,Erststimmen,341,682,50.0,4,4
lsa:GEMEINDE:15081440,GEMEINDE,Rohrberg,CDU,Zweitstimmen,118,679,17.378497790868924,4,4
lsa:GEMEINDE:15081440,GEMEINDE,Rohrberg,CDU,Erststimmen,163,682,23.900293255131963,4,4
lsa:GEMEINDE:15081440,GEMEINDE,Rohrberg,SPD,Zweitstimmen,49,679,7.216494845360825,4,4
lsa:GEMEINDE:15081440,GEMEINDE,Rohrberg,SPD,Erststimmen,51,682,7.478005865102639,4,4
lsa:GEMEINDE:15081440,GEMEINDE,Rohrberg,GRÜNE,Zweitstimmen,59,679,8.689248895434462,4,4
lsa:GEMEINDE:15081440,GEMEINDE,Rohrberg,GRÜNE,Erststimmen,13,682,1.906158357771261,4,4
lsa:GEMEINDE:15081440,GEMEINDE,Rohrberg,Die Linke,Zweitstimmen,44,679,6.480117820324006,4,4
lsa:GEMEINDE:15081440,GEMEINDE,Rohrberg,Die Linke,Erststimmen,54,682,7.9178885630498534,4,4
lsa:GEMEINDE:15081440,GEMEINDE,Rohrberg,BSW,Zweitstimmen,36,679,5.3019145802650955,4,4
lsa:GEMEINDE:15081440,GEMEINDE,Rohrberg,BSW,Erststimmen,29,682,4.252199413489736,4,4
lsa:GEMEINDE:15081455,GEMEINDE,"Salzwedel, Hansestadt",AfD,Zweitstimmen,5393,13506,39.93040130312454,25,25
lsa:GEMEINDE:15081455,GEMEINDE,"Salzwedel, Hansestadt",AfD,Erststimmen,5364,13490,39.76278724981468,25,25
lsa:GEMEINDE:15081455,GEMEINDE,"Salzwedel, Hansestadt",CDU,Zweitstimmen,2232,13506,16.525988449577966,25,25
