event_time_utc,source,ags,municipality_name,event_type,details_json
2026-03-08T17:50:18.332014+00:00,kommone,08127014,"Crailsheim, Stadt",RESULT_UPDATED,"{""current_hash"": ""564199795e2dad0f01fc733a18dfedab3060efb0d9fc9efba04d4a2775d2e413"", ""previous_hash"": ""64e57e0faa97e8fd108346a9f98cb2f7cb1986f06e7c8c94e7784959cb86d6e7""}"
2026-03-08T17:50:18.331961+00:00,kommone,08127008,Blaufelden,RESULT_UPDATED,"{""current_hash"": ""c4106485c8b5914216013574c125a9aafdce9622d2b6e632175c20f5c1882b67"", ""previous_hash"": ""400ea81d410575b93f7a779e5d7fd8f71d9b98e0e8e74dd0c7f41e4112fc6830""}"
2026-03-08T17:50:18.331926+00:00,kommone,08126086,Weißbach,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.331905+00:00,kommone,08126085,"Waldenburg, Stadt",RESULT_UPDATED,"{""current_hash"": ""b35b2c8a0b202d12b2d16f2b6d8f33e428942c975c64a112db52be274a15b4f6"", ""previous_hash"": ""3a6aad94b6e0010d7a92dc37c7da68074f3d9f9bd36bfb44c4f19b9fb2159455""}"
2026-03-08T17:50:18.331882+00:00,kommone,08126072,Schöntal,RESULT_UPDATED,"{""current_hash"": ""63361a1d06da9705002edd318266f70711f646632bc0da66317faaa707375081"", ""previous_hash"": ""140f809dc90c5a3f07ffdf1b80d2225bac758eb3581cf0de37c3b35be32672d9""}"
2026-03-08T17:50:18.331826+00:00,kommone,08126056,Mulfingen,RESULT_UPDATED,"{""current_hash"": ""dd9d161ac32c3c0736e40900b0be56fb7722248080e44a8255bbb21b993ece87"", ""previous_hash"": ""5fe1a2bf655bf4a8e2950df058679ed49dbe6cbcc8796cc289b1649d5add56fc""}"
2026-03-08T17:50:18.331796+00:00,kommone,08126046,"Künzelsau, Stadt",RESULT_UPDATED,"{""current_hash"": ""f86a972f09b122c6bfb1a4a1bcacd0212640c2c74083a26be0cb514fd6b6d3bf"", ""previous_hash"": ""9fd91c091cc3a6f3c17ef44889d3427a1139f815adf509b4c34dc7b6024185dd""}"
2026-03-08T17:50:18.331774+00:00,kommone,08126045,"Krautheim, Stadt",RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.331751+00:00,kommone,08126039,"Ingelfingen, Stadt",RESULT_UPDATED,"{""current_hash"": ""460d18f62c51cae4d69db8369f1fed1b1d1203461b195e275c13feaef1abe0a5"", ""previous_hash"": ""52357637d388a850f4fc8b27a4f1304c77963aa3ca83cfe6aa4e22558bda00aa""}"
2026-03-08T17:50:18.331716+00:00,kommone,08126020,Dörzbach,RESULT_UPDATED,"{""current_hash"": ""8da91310e44124bcf3e489e4150185f826ad10c2493f77e92aebbf70ea945b28"", ""previous_hash"": ""200e001ff04aa17bb732bc6d2cf23dfccd336c9d7c4a1da227acfe0d966b73a6""}"
2026-03-08T17:50:18.331682+00:00,kommone,08126011,Bretzfeld,RESULT_UPDATED,"{""current_hash"": ""f4ab93a5db7108db2bfac55caa367a30bc7d0e1dd93b97b2c3d4399ec92eecd0"", ""previous_hash"": ""f6f0dc747a1ce21cf3dd88cd84c62b64d5a2a1debbedc98bf777f774b959fe21""}"
2026-03-08T17:50:18.331160+00:00,kommone,08121000,"Heilbronn, Universitätsstadt",RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
