level,identifier,name,ags,wahlkreisnummer,vote_type,party_name,old_votes,new_votes,delta_votes,old_share_percent,new_share_percent,delta_share_percent
WAHLKREIS,6,06 - Leonberg,,6,Zweitstimmen,PDH,37,36,-1,0.0384,0.0373,-0.0011
WAHLKREIS,6,06 - Leonberg,,6,Zweitstimmen,PDR,121,122,1,0.1255,0.1265,0.001
WAHLKREIS,6,06 - Leonberg,,6,Zweitstimmen,PdF,71,72,1,0.0736,0.0747,0.0011
WAHLKREIS,6,06 - Leonberg,,6,Zweitstimmen,Verjüngungsforschung,58,52,-6,0.0602,0.0539,-0.0063
WAHLKREIS,6,06 - Leonberg,,6,Zweitstimmen,Volt,695,699,4,0.7208,0.725,0.0042
WAHLKREIS,6,06 - Leonberg,,6,Zweitstimmen,Werteunion,216,217,1,0.224,0.2251,0.0011
WAHLKREIS,6,06 - Leonberg,,6,Zweitstimmen,ÖDP,167,164,-3,0.1732,0.1701,-0.0031
WAHLKREIS,7,07 - Esslingen,,7,Erststimmen,AfD,11096,11103,7,13.9718,13.9715,-0.0003
WAHLKREIS,7,07 - Esslingen,,7,Erststimmen,CDU,27200,27225,25,34.2496,34.2586,0.009
WAHLKREIS,7,07 - Esslingen,,7,Erststimmen,FDP,2872,2873,1,3.6164,3.6152,-0.0012
WAHLKREIS,7,07 - Esslingen,,7,Erststimmen,GRÜNE,24627,24644,17,31.0097,31.0108,0.0011
WAHLKREIS,7,07 - Esslingen,,7,Erststimmen,SPD,7397,7399,2,9.3141,9.3105,-0.0036
WAHLKREIS,7,07 - Esslingen,,7,Zweitstimmen,AfD,10829,10835,6,13.6007,13.5997,-0.001
WAHLKREIS,7,07 - Esslingen,,7,Zweitstimmen,CDU,22782,22808,26,28.6131,28.6277,0.0146
WAHLKREIS,7,07 - Esslingen,,7,Zweitstimmen,Die Gerechtigkeitspartei,181,180,-1,0.2273,0.2259,-0.0014
WAHLKREIS,7,07 - Esslingen,,7,Zweitstimmen,Die Linke,3857,3858,1,4.8442,4.8424,-0.0018
WAHLKREIS,7,07 - Esslingen,,7,Zweitstimmen,GRÜNE,29031,29045,14,36.4615,36.4562,-0.0053
WAHLKREIS,7,07 - Esslingen,,7,Zweitstimmen,KlimalisteBW,42,41,-1,0.0527,0.0515,-0.0012
WAHLKREIS,7,07 - Esslingen,,7,Zweitstimmen,PDR,106,107,1,0.1331,0.1343,0.0012
WAHLKREIS,7,07 - Esslingen,,7,Zweitstimmen,SPD,4387,4390,3,5.5099,5.5102,0.0003
WAHLKREIS,7,07 - Esslingen,,7,Zweitstimmen,Tierschutzpartei,499,500,1,0.6267,0.6276,0.0009
WAHLKREIS,8,08 - Kirchheim,,8,Erststimmen,CDU,32296,32297,1,36.6983,36.6991,0.0008
WAHLKREIS,8,08 - Kirchheim,,8,Zweitstimmen,FDP,3986,3985,-1,4.521,4.5199,-0.0011
WAHLKREIS,9,09 - Nürtingen,,9,Erststimmen,AfD,16545,16546,1,18.1751,18.1758,0.0007
WAHLKREIS,9,09 - Nürtingen,,9,Erststimmen,CDU,30704,30705,1,33.7292,33.7295,0.0003
WAHLKREIS,9,09 - Nürtingen,,9,Erststimmen,GRÜNE,25410,25409,-1,27.9136,27.9119,-0.0017
WAHLKREIS,9,09 - Nürtingen,,9,Erststimmen,Volt,948,949,1,1.0414,1.0425,0.0011
WAHLKREIS,9,09 - Nürtingen,,9,Zweitstimmen,AfD,15794,15795,1,17.2928,17.2931,0.0003
WAHLKREIS,9,09 - Nürtingen,,9,Zweitstimmen,BSW,1102,1115,13,1.2066,1.2208,0.0142
WAHLKREIS,9,09 - Nürtingen,,9,Zweitstimmen,FDP,4899,4898,-1,5.3639,5.3626,-0.0013
WAHLKREIS,9,09 - Nürtingen,,9,Zweitstimmen,FREIE WÄHLER,1809,1810,1,1.9807,1.9817,0.001
WAHLKREIS,9,09 - Nürtingen,,9,Zweitstimmen,GRÜNE,29748,29751,3,32.5709,32.5728,0.0019
WAHLKREIS,9,09 - Nürtingen,,9,Zweitstimmen,PDR,111,114,3,0.1215,0.1248,0.0033
WAHLKREIS,9,09 - Nürtingen,,9,Zweitstimmen,Verjüngungsforschung,89,73,-16,0.0974,0.0799,-0.0175
WAHLKREIS,10,10 - Göppingen,,10,Erststimmen,CDU,24011,24014,3,38.4989,38.5025,0.0036
WAHLKREIS,10,10 - Göppingen,,10,Erststimmen,FDP,2779,2778,-1,4.4558,4.4541,-0.0017
WAHLKREIS,10,10 - Göppingen,,10,Erststimmen,GRÜNE,13111,13112,1,21.022,21.0229,0.0009
WAHLKREIS,10,10 - Göppingen,,10,Erststimmen,SPD,5380,5379,-1,8.6262,8.6243,-0.0019
WAHLKREIS,10,10 - Göppingen,,10,Zweitstimmen,BSW,925,924,-1,1.4761,1.4745,-0.0016
WAHLKREIS,10,10 - Göppingen,,10,Zweitstimmen,CDU,18800,18801,1,29.9998,30.0019,0.0021
WAHLKREIS,10,10 - Göppingen,,10,Zweitstimmen,Die Linke,1987,1986,-1,3.1707,3.1692,-0.0015
WAHLKREIS,10,10 - Göppingen,,10,Zweitstimmen,GRÜNE,17016,17015,-1,27.153,27.1519,-0.0011
WAHLKREIS,10,10 - Göppingen,,10,Zweitstimmen,SPD,3722,3721,-1,5.9393,5.9378,-0.0015
WAHLKREIS,10,10 - Göppingen,,10,Zweitstimmen,Tierschutzpartei,464,465,1,0.7404,0.742,0.0016
WAHLKREIS,10,10 - Göppingen,,10,Zweitstimmen,Volt,261,262,1,0.4165,0.4181,0.0016
WAHLKREIS,11,11 - Geislingen,,11,Erststimmen,AfD,13346,13451,105,21.396,21.563,0.167
WAHLKREIS,11,11 - Geislingen,,11,Erststimmen,CDU,25524,25565,41,40.9196,40.9827,0.0631
WAHLKREIS,11,11 - Geislingen,,11,Erststimmen,FDP,2724,2692,-32,4.3671,4.3155,-0.0516
WAHLKREIS,11,11 - Geislingen,,11,Erststimmen,GRÜNE,10925,10844,-81,17.5147,17.3838,-0.1309
WAHLKREIS,11,11 - Geislingen,,11,Erststimmen,SPD,7532,7498,-34,12.0752,12.0199,-0.0553
WAHLKREIS,11,11 - Geislingen,,11,Erststimmen,Werteunion,316,321,5,0.5066,0.5146,0.008
WAHLKREIS,11,11 - Geislingen,,11,Zweitstimmen,BSW,762,776,14,1.2158,1.2382,0.0224
WAHLKREIS,11,11 - Geislingen,,11,Zweitstimmen,Die Gerechtigkeitspartei,115,101,-14,0.1835,0.1612,-0.0223
WAHLKREIS,11,11 - Geislingen,,11,Zweitstimmen,PDR,113,114,1,0.1803,0.1819,0.0016
WAHLKREIS,11,11 - Geislingen,,11,Zweitstimmen,PdF,33,32,-1,0.0527,0.0511,-0.0016
WAHLKREIS,11,11 - Geislingen,,11,Zweitstimmen,Tierschutzpartei,478,475,-3,0.7627,0.7579,-0.0048
WAHLKREIS,11,11 - Geislingen,,11,Zweitstimmen,Werteunion,203,207,4,0.3239,0.3303,0.0064
WAHLKREIS,12,12 - Ludwigsburg,,12,Zweitstimmen,GRÜNE,29103,29102,-1,33.903,33.9022,-0.0008
WAHLKREIS,13,13 - Vaihingen,,13,Erststimmen,GRÜNE,23467,23466,-1,27.6672,27.6663,-0.0009
WAHLKREIS,13,13 - Vaihingen,,13,Zweitstimmen,Die PARTEI,329,330,1,0.3864,0.3876,0.0012
WAHLKREIS,13,13 - Vaihingen,,13,Zweitstimmen,Tierschutzpartei,695,694,-1,0.8162,0.8151,-0.0011
WAHLKREIS,14,14 - Bietigheim-Bissingen,,14,Erststimmen,CDU,34336,34339,3,37.5396,37.5413,0.0017
WAHLKREIS,14,14 - Bietigheim-Bissingen,,14,Erststimmen,SPD,6639,6640,1,7.2584,7.2592,0.0008
WAHLKREIS,14,14 - Bietigheim-Bissingen,,14,Zweitstimmen,FREIE WÄHLER,1854,1855,1,2.0204,2.0215,0.0011
WAHLKREIS,14,14 - Bietigheim-Bissingen,,14,Zweitstimmen,GRÜNE,27758,27757,-1,30.25,30.2489,-0.0011
WAHLKREIS,15,15 - Waiblingen,,15,Erststimmen,ÖDP,510,511,1,0.6918,0.6932,0.0014
WAHLKREIS,15,15 - Waiblingen,,15,Zweitstimmen,CDU,22340,22341,1,30.2284,30.2293,0.0009
WAHLKREIS,16,16 - Schorndorf,,16,Erststimmen,CDU,24152,24154,2,34.1019,34.1038,0.0019
WAHLKREIS,16,16 - Schorndorf,,16,Erststimmen,FDP,5704,5698,-6,8.0539,8.0452,-0.0087
WAHLKREIS,16,16 - Schorndorf,,16,Erststimmen,FREIE WÄHLER,1944,1945,1,2.7449,2.7462,0.0013
WAHLKREIS,16,16 - Schorndorf,,16,Erststimmen,SPD,5632,5631,-1,7.9522,7.9506,-0.0016
WAHLKREIS,16,16 - Schorndorf,,16,Erststimmen,Volt,829,835,6,1.1705,1.179,0.0085
WAHLKREIS,16,16 - Schorndorf,,16,Zweitstimmen,CDU,21579,21581,2,30.4345,30.4365,0.002
WAHLKREIS,16,16 - Schorndorf,,16,Zweitstimmen,FDP,4487,4486,-1,6.3284,6.3268,-0.0016
WAHLKREIS,16,16 - Schorndorf,,16,Zweitstimmen,FREIE WÄHLER,1185,1186,1,1.6713,1.6727,0.0014
WAHLKREIS,17,17 - Backnang,,17,Erststimmen,AfD,16671,16661,-10,25.0131,25.0004,-0.0127
WAHLKREIS,17,17 - Backnang,,17,Erststimmen,Anderer Kreiswahlvorschlag,1187,1191,4,1.781,1.7871,0.0061
WAHLKREIS,17,17 - Backnang,,17,Zweitstimmen,CDU,19718,19719,1,29.4928,29.4939,0.0011
WAHLKREIS,17,17 - Backnang,,17,Zweitstimmen,GRÜNE,17505,17506,1,26.1827,26.1839,0.0012
WAHLKREIS,17,17 - Backnang,,17,Zweitstimmen,KlimalisteBW,33,30,-3,0.0494,0.0449,-0.0045
WAHLKREIS,17,17 - Backnang,,17,Zweitstimmen,Volt,403,406,3,0.6028,0.6073,0.0045
WAHLKREIS,17,17 - Backnang,,17,Zweitstimmen,dieBasis,277,276,-1,0.4143,0.4128,-0.0015
WAHLKREIS,18,18 - Heilbronn,,18,Zweitstimmen,AfD,13872,13874,2,22.1679,22.1704,0.0025
WAHLKREIS,18,18 - Heilbronn,,18,Zweitstimmen,CDU,16822,16821,-1,26.8821,26.8796,-0.0025
WAHLKREIS,18,18 - Heilbronn,,18,Zweitstimmen,Die PARTEI,280,281,1,0.4474,0.449,0.0016
WAHLKREIS,18,18 - Heilbronn,,18,Zweitstimmen,FREIE WÄHLER,880,879,-1,1.4063,1.4046,-0.0017
WAHLKREIS,18,18 - Heilbronn,,18,Zweitstimmen,SPD,4060,4061,1,6.488,6.4894,0.0014
WAHLKREIS,19,19 - Eppingen,,19,Erststimmen,Anderer Kreiswahlvorschlag,263,265,2,0.3461,0.3487,0.0026
WAHLKREIS,19,19 - Eppingen,,19,Erststimmen,GRÜNE,14675,14676,1,19.3097,19.31,0.0003
WAHLKREIS,19,19 - Eppingen,,19,Erststimmen,Werteunion,329,330,1,0.4329,0.4342,0.0013
WAHLKREIS,19,19 - Eppingen,,19,Zweitstimmen,BSW,1016,1017,1,1.3333,1.3346,0.0013
WAHLKREIS,19,19 - Eppingen,,19,Zweitstimmen,CDU,22734,22735,1,29.8331,29.834,0.0009
WAHLKREIS,19,19 - Eppingen,,19,Zweitstimmen,Die Linke,2182,2180,-2,2.8634,2.8607,-0.0027
WAHLKREIS,19,19 - Eppingen,,19,Zweitstimmen,GRÜNE,18027,18023,-4,23.6562,23.6507,-0.0055
WAHLKREIS,19,19 - Eppingen,,19,Zweitstimmen,Verjüngungsforschung,53,52,-1,0.0696,0.0682,-0.0014
WAHLKREIS,19,19 - Eppingen,,19,Zweitstimmen,Volt,532,531,-1,0.6981,0.6968,-0.0013
WAHLKREIS,19,19 - Eppingen,,19,Zweitstimmen,Werteunion,215,221,6,0.2821,0.29,0.0079
WAHLKREIS,19,19 - Eppingen,,19,Zweitstimmen,ÖDP,336,337,1,0.4409,0.4422,0.0013
WAHLKREIS,21,21 - Hohenlohe,,21,Erststimmen,AfD,16806,16811,5,23.9901,23.9948,0.0047
WAHLKREIS,21,21 - Hohenlohe,,21,Erststimmen,CDU,27166,27167,1,38.7787,38.7762,-0.0025
WAHLKREIS,21,21 - Hohenlohe,,21,Erststimmen,SPD,4596,4597,1,6.5607,6.5614,0.0007
WAHLKREIS,21,21 - Hohenlohe,,21,Zweitstimmen,BSW,1095,1096,1,1.5615,1.5629,0.0014
WAHLKREIS,21,21 - Hohenlohe,,21,Zweitstimmen,Tierschutzpartei,654,655,1,0.9326,0.934,0.0014
WAHLKREIS,21,21 - Hohenlohe,,21,Zweitstimmen,Verjüngungsforschung,60,61,1,0.0856,0.087,0.0014
WAHLKREIS,21,21 - Hohenlohe,,21,Zweitstimmen,Werteunion,217,216,-1,0.3094,0.308,-0.0014
WAHLKREIS,22,22 - Schwäbisch Hall,,22,Erststimmen,CDU,31573,31575,2,37.2077,37.2053,-0.0024
WAHLKREIS,22,22 - Schwäbisch Hall,,22,Erststimmen,GRÜNE,17849,17858,9,21.0345,21.0423,0.0078
WAHLKREIS,22,22 - Schwäbisch Hall,,22,Zweitstimmen,CDU,26267,26268,1,30.8987,30.8948,-0.0039
WAHLKREIS,22,22 - Schwäbisch Hall,,22,Zweitstimmen,Die PARTEI,397,398,1,0.467,0.4681,0.0011
WAHLKREIS,22,22 - Schwäbisch Hall,,22,Zweitstimmen,GRÜNE,22987,22997,10,27.0403,27.0477,0.0074
WAHLKREIS,22,22 - Schwäbisch Hall,,22,Zweitstimmen,dieBasis,375,377,2,0.4411,0.4434,0.0023
WAHLKREIS,23,23 - Main-Tauber,,23,Erststimmen,AfD,14164,14166,2,20.2676,20.267,-0.0006
WAHLKREIS,23,23 - Main-Tauber,,23,Erststimmen,CDU,29103,29107,4,41.6441,41.6427,-0.0014
WAHLKREIS,23,23 - Main-Tauber,,23,Erststimmen,Die Linke,2603,2604,1,3.7247,3.7255,0.0008
WAHLKREIS,23,23 - Main-Tauber,,23,Erststimmen,FDP,2832,2833,1,4.0524,4.0531,0.0007
WAHLKREIS,23,23 - Main-Tauber,,23,Erststimmen,GRÜNE,14990,14987,-3,21.4495,21.4415,-0.008
WAHLKREIS,23,23 - Main-Tauber,,23,Erststimmen,SPD,5011,5014,3,7.1704,7.1734,0.003
WAHLKREIS,23,23 - Main-Tauber,,23,Erststimmen,dieBasis,1182,1186,4,1.6914,1.6968,0.0054
WAHLKREIS,23,23 - Main-Tauber,,23,Zweitstimmen,AfD,14360,14361,1,20.443,20.4418,-0.0012
WAHLKREIS,23,23 - Main-Tauber,,23,Zweitstimmen,BSW,845,848,3,1.2029,1.2071,0.0042
WAHLKREIS,23,23 - Main-Tauber,,23,Zweitstimmen,Bündnis C,85,84,-1,0.121,0.1196,-0.0014
WAHLKREIS,23,23 - Main-Tauber,,23,Zweitstimmen,CDU,25668,25676,8,36.5412,36.5479,0.0067
WAHLKREIS,23,23 - Main-Tauber,,23,Zweitstimmen,Die Linke,2196,2197,1,3.1262,3.1273,0.0011
WAHLKREIS,23,23 - Main-Tauber,,23,Zweitstimmen,GRÜNE,16313,16306,-7,23.2233,23.2104,-0.0129
WAHLKREIS,23,23 - Main-Tauber,,23,Zweitstimmen,KlimalisteBW,37,36,-1,0.0527,0.0512,-0.0015
WAHLKREIS,23,23 - Main-Tauber,,23,Zweitstimmen,PDR,180,179,-1,0.2562,0.2548,-0.0014
WAHLKREIS,23,23 - Main-Tauber,,23,Zweitstimmen,PdF,53,54,1,0.0755,0.0769,0.0014
