poll_id,ags,municipality_name,metric,kommone_value,statla_value,delta
2,08116012,Bissingen an der Teck,voters_total,2006,2006,0.0
2,08116012,Bissingen an der Teck,valid_votes,1995,2000,-5.0
2,08116014,Deizisau,reported_precincts,,7,
2,08116014,Deizisau,total_precincts,,8,
2,08116014,Deizisau,voters_total,3074,3074,0.0
2,08116014,Deizisau,valid_votes,3045,3053,-8.0
2,08116015,Denkendorf,reported_precincts,,8,
2,08116015,Denkendorf,total_precincts,,10,
2,08116015,Denkendorf,voters_total,4075,4075,0.0
2,08116015,Denkendorf,valid_votes,4038,4044,-6.0
2,08116016,Dettingen unter Teck,reported_precincts,,7,
2,08116016,Dettingen unter Teck,total_precincts,,7,
2,08116016,Dettingen unter Teck,voters_total,3351,3351,0.0
2,08116016,Dettingen unter Teck,valid_votes,3308,3318,-10.0
2,08116018,Erkenbrechtsweiler,reported_precincts,,1,
2,08116018,Erkenbrechtsweiler,total_precincts,,2,
2,08116018,Erkenbrechtsweiler,voters_total,476,476,0.0
2,08116018,Erkenbrechtsweiler,valid_votes,992,472,520.0
2,08116019,"Esslingen am Neckar, Stadt",reported_precincts,,48,
2,08116019,"Esslingen am Neckar, Stadt",total_precincts,,77,
2,08116019,"Esslingen am Neckar, Stadt",voters_total,23541,24158,-617.0
2,08116019,"Esslingen am Neckar, Stadt",valid_votes,23346,24004,-658.0
2,08116020,Frickenhausen,reported_precincts,,12,
2,08116020,Frickenhausen,total_precincts,,12,
2,08116020,Frickenhausen,voters_total,4509,4509,0.0
2,08116020,Frickenhausen,valid_votes,4443,4461,-18.0
2,08116022,Großbettlingen,reported_precincts,,5,
2,08116022,Großbettlingen,total_precincts,,6,
2,08116022,Großbettlingen,voters_total,2176,2176,0.0
2,08116022,Großbettlingen,valid_votes,2156,2162,-6.0
2,08116027,Hochdorf,reported_precincts,,4,
2,08116027,Hochdorf,total_precincts,,4,
2,08116027,Hochdorf,voters_total,2790,2790,0.0
2,08116027,Hochdorf,valid_votes,2781,2783,-2.0
2,08116029,Holzmaden,reported_precincts,,0,
2,08116029,Holzmaden,total_precincts,,2,
2,08116029,Holzmaden,voters_total,0,0,0.0
2,08116029,Holzmaden,valid_votes,0,0,0.0
