level,identifier,name,ags,wahlkreisnummer,old_reported_precincts,new_reported_precincts,delta_reported_precincts,old_total_precincts,new_total_precincts,delta_total_precincts,old_voters_total,new_voters_total,delta_voters_total,old_valid_votes_erst,new_valid_votes_erst,delta_valid_votes_erst,old_valid_votes_zweit,new_valid_votes_zweit,delta_valid_votes_zweit
GEMEINDE,08325057,"Sulz am Neckar, Stadt",08325057,,15,15,0,15,15,0,6223,6223,0,6169,6170,1,6181,6181,0
GEMEINDE,08326006,"Bräunlingen, Stadt",08326006,,11,11,0,11,11,0,3166,3168,2,3141,3141,0,3153,3153,0
GEMEINDE,08326031,Königsfeld im Schwarzwald,08326031,,10,10,0,10,10,0,3551,3551,0,3514,3515,1,3530,3530,0
GEMEINDE,08326037,Mönchweiler,08326037,,4,4,0,4,4,0,1671,1671,0,1650,1649,-1,1658,1658,0
GEMEINDE,08326052,"St. Georgen im Schwarzwald, Stadt",08326052,,19,19,0,19,19,0,6216,6216,0,6129,6129,0,6169,6168,-1
GEMEINDE,08326074,"Villingen-Schwenningen, Stadt",08326074,,74,74,0,74,74,0,35345,35345,0,34930,34934,4,35080,35083,3
GEMEINDE,08326075,Brigachtal,08326075,,7,7,0,7,7,0,2947,2947,0,2901,2903,2,2931,2933,2
GEMEINDE,08327008,Buchheim,08327008,,2,2,0,2,2,0,457,457,0,449,450,1,452,452,0
GEMEINDE,08335021,Eigeltingen,08335021,,8,8,0,8,8,0,2058,2058,0,2041,2041,0,2040,2041,1
GEMEINDE,08335026,Gailingen am Hochrhein,08335026,,3,3,0,3,3,0,1435,1435,0,1407,1407,0,1410,1416,6
GEMEINDE,08335043,"Konstanz, Universitätsstadt",08335043,,89,89,0,89,89,0,42731,42731,0,42548,42547,-1,42611,42610,-1
GEMEINDE,08335063,"Radolfzell am Bodensee, Stadt",08335063,,43,43,0,43,43,0,16496,16496,0,16366,16365,-1,16408,16412,4
GEMEINDE,08335077,Steißlingen,08335077,,4,4,0,4,4,0,2820,2820,0,2794,2795,1,2803,2804,1
GEMEINDE,08336006,Bad Bellingen,08336006,,6,6,0,6,6,0,2178,2178,0,2149,2151,2,2159,2159,0
GEMEINDE,08336014,Efringen-Kirchen,08336014,,15,15,0,15,15,0,4817,4817,0,4779,4782,3,4790,4790,0
GEMEINDE,08336025,Fröhnd,08336025,,2,2,0,2,2,0,324,323,-1,321,321,0,316,316,0
GEMEINDE,08336034,Hasel,08336034,,2,2,0,2,2,0,619,619,0,610,610,0,610,611,1
GEMEINDE,08336050,"Lörrach, Stadt",08336050,,54,54,0,54,54,0,20668,20667,-1,20514,20515,1,20561,20562,1
GEMEINDE,08336069,"Rheinfelden (Baden), Stadt",08336069,,40,40,0,40,40,0,13734,13734,0,13607,13609,2,13640,13641,1
GEMEINDE,08336078,Schliengen,08336078,,8,8,0,8,8,0,3366,3366,0,3311,3312,1,3336,3337,1
GEMEINDE,08336084,Steinen,08336084,,15,15,0,15,15,0,5364,5364,0,5320,5321,1,5336,5336,0
GEMEINDE,08336090,Utzenfeld,08336090,,2,2,0,2,2,0,346,346,0,342,343,1,343,343,0
GEMEINDE,08336091,"Weil am Rhein, Stadt",08336091,,36,36,0,36,36,0,11816,11816,0,11699,11699,0,11738,11739,1
GEMEINDE,08336105,Grenzach-Wyhlen,08336105,,19,19,0,19,19,0,6210,6210,0,6166,6168,2,6164,6165,1
GEMEINDE,08337013,Bernau im Schwarzwald,08337013,,2,2,0,2,2,0,1049,1049,0,1042,1042,0,1043,1044,1
GEMEINDE,08337022,"Bonndorf im Schwarzwald, Stadt",08337022,,7,7,0,7,7,0,3423,3423,0,3402,3400,-2,3398,3396,-2
GEMEINDE,08337065,Lauchringen,08337065,,10,10,0,10,10,0,3742,3742,0,3719,3718,-1,3721,3721,0
GEMEINDE,08337076,Murg,08337076,,6,6,0,6,6,0,3210,3210,0,3191,3191,0,3193,3194,1
GEMEINDE,08337096,"Bad Säckingen, Stadt",08337096,,15,15,0,15,15,0,7236,7220,-16,7159,7159,0,7169,7169,0
GEMEINDE,08337125,Küssaberg,08337125,,11,11,0,11,11,0,2859,2859,0,2826,2826,0,2834,2835,1
GEMEINDE,08415053,"Münsingen, Stadt",08415053,,16,16,0,16,16,0,7911,7911,0,7815,7820,5,7858,7856,-2
GEMEINDE,08415061,"Reutlingen, Stadt",08415061,,102,102,0,102,102,0,50391,50391,0,49879,49880,1,50124,50124,0
GEMEINDE,08416009,Dettenhausen,08416009,,5,5,0,5,5,0,3204,3206,2,3187,3189,2,3190,3191,1
GEMEINDE,08416025,"Mössingen, Stadt",08416025,,16,16,0,16,16,0,10542,10542,0,10462,10464,2,10483,10484,1
GEMEINDE,08416036,"Rottenburg am Neckar, Stadt",08416036,,42,42,0,42,42,0,23139,23139,0,22949,22948,-1,23013,23013,0
GEMEINDE,08416041,"Tübingen, Universitätsstadt",08416041,,74,74,0,74,74,0,51653,51653,0,51441,51447,6,51547,51548,1
GEMEINDE,08416048,Ammerbuch,08416048,,10,10,0,10,10,0,6731,6816,85,6698,6782,84,6713,6798,85
GEMEINDE,08416050,Starzach,08416050,,6,6,0,6,6,0,2610,2610,0,2569,2570,1,2582,2581,-1
GEMEINDE,08417002,"Balingen, Stadt",08417002,,37,37,0,37,37,0,17681,17683,2,17499,17502,3,17557,17560,3
GEMEINDE,08417008,Bisingen,08417008,,10,10,0,10,10,0,4973,4973,0,4911,4907,-4,4938,4935,-3
GEMEINDE,08417025,"Haigerloch, Stadt",08417025,,14,14,0,14,14,0,5733,5733,0,5658,5659,1,5695,5696,1
GEMEINDE,08417031,"Hechingen, Stadt",08417031,,26,26,0,26,26,0,8587,8587,0,8453,8453,0,8478,8479,1
GEMEINDE,08417054,"Rosenfeld, Stadt",08417054,,11,11,0,11,11,0,3524,3517,-7,3458,3458,0,3486,3486,0
GEMEINDE,08417078,Zimmern unter der Burg,08417078,,2,2,0,2,2,0,290,290,0,284,285,1,286,286,0
GEMEINDE,08417079,"Albstadt, Stadt",08417079,,44,44,0,44,44,0,18928,18928,0,18718,18722,4,18811,18811,0
GEMEINDE,08421000,"Ulm, Universitätsstadt",08421000,,153,153,0,153,153,0,57091,57087,-4,56695,56701,6,56842,56844,2
GEMEINDE,08425020,"Blaubeuren, Stadt",08425020,,18,18,0,18,18,0,6058,6060,2,6030,6031,1,6028,6029,1
GEMEINDE,08425031,Dornstadt,08425031,,14,14,0,14,14,0,4919,4919,0,4872,4873,1,4888,4888,0
GEMEINDE,08425033,"Ehingen (Donau), Stadt",08425033,,39,39,0,39,39,0,13007,13005,-2,12932,12933,1,12921,12921,0
GEMEINDE,08425075,Lonsee,08425075,,10,10,0,10,10,0,2790,2791,1,2768,2769,1,2778,2779,1
GEMEINDE,08425081,"Munderkingen, Stadt",08425081,,4,4,0,4,4,0,2295,2295,0,2275,2275,0,2270,2276,6
GEMEINDE,08425130,Weidenstetten,08425130,,2,2,0,2,2,0,851,851,0,845,845,0,844,843,-1
GEMEINDE,08425138,Staig,08425138,,6,6,0,6,6,0,1939,1939,0,1925,1927,2,1933,1933,0
GEMEINDE,08425139,Heroldstatt,08425139,,2,2,0,2,2,0,1745,1738,-7,1728,1728,0,1730,1730,0
GEMEINDE,08425141,"Blaustein, Stadt",08425141,,17,17,0,17,17,0,8434,8414,-20,8359,8360,1,8381,8381,0
GEMEINDE,08426021,"Biberach an der Riß, Stadt",08426021,,33,33,0,33,33,0,16326,16326,0,16221,16222,1,16234,16234,0
GEMEINDE,08426067,Langenenslingen,08426067,,10,10,0,10,10,0,2077,2077,0,2055,2055,0,2060,2061,1
GEMEINDE,08435005,Bermatingen,08435005,,4,4,0,4,4,0,2313,2313,0,2296,2295,-1,2302,2301,-1
GEMEINDE,08435045,Oberteuringen,08435045,,6,6,0,6,6,0,2706,2706,0,2688,2688,0,2696,2698,2
GEMEINDE,08435067,Deggenhausertal,08435067,,5,5,0,5,5,0,2582,2582,0,2560,2562,2,2563,2563,0
GEMEINDE,08436008,"Aulendorf, Stadt",08436008,,10,10,0,10,10,0,5157,5157,0,5096,5098,2,5118,5120,2
GEMEINDE,08436009,"Bad Waldsee, Stadt",08436009,,22,22,0,22,22,0,10937,10937,0,10831,10831,0,10886,10885,-1
GEMEINDE,08436032,Fleischwangen,08436032,,2,2,0,2,2,0,426,423,-3,419,419,0,420,420,0
GEMEINDE,08436052,Kißlegg,08436052,,10,10,0,10,10,0,5156,5156,0,5107,5108,1,5123,5123,0
GEMEINDE,08436064,"Ravensburg, Stadt",08436064,,50,50,0,50,50,0,24626,24627,1,24340,24340,0,24467,24467,0
GEMEINDE,08436081,"Wangen im Allgäu, Stadt",08436081,,26,26,0,26,26,0,14217,14218,1,14068,14068,0,14145,14146,1
GEMEINDE,08436082,"Weingarten, Stadt",08436082,,22,22,0,22,22,0,11339,11339,0,11242,11243,1,11286,11286,0
GEMEINDE,08436085,Wolfegg,08436085,,6,6,0,6,6,0,2270,2270,0,2251,2252,1,2262,2262,0
GEMEINDE,08437005,Beuron,08437005,,2,2,0,2,2,0,396,396,0,392,392,0,394,395,1
GEMEINDE,08437031,"Gammertingen, Stadt",08437031,,8,8,0,8,8,0,3184,3184,0,3154,3154,0,3156,3157,1
GEMEINDE,08437072,Leibertingen,08437072,,5,5,0,5,5,0,1453,1453,0,1433,1432,-1,1435,1434,-1
GEMEINDE,08437088,"Pfullendorf, Stadt",08437088,,13,13,0,13,13,0,5741,5741,0,5681,5681,0,5696,5697,1
GEMEINDE,08437100,"Bad Saulgau, Stadt",08437100,,23,23,0,23,23,0,8900,8906,6,8797,8799,2,8805,8813,8
GEMEINDE,08437101,"Scheer, Stadt",08437101,,3,3,0,3,3,0,1298,1298,0,1281,1282,1,1279,1280,1
GEMEINDE,08437107,Stetten am kalten Markt,08437107,,6,6,0,6,6,0,2758,2758,0,2723,2724,1,2735,2735,0
GEMEINDE,08437124,Herdwangen-Schönach,08437124,,6,6,0,6,6,0,1941,1941,0,1921,1921,0,1921,1922,1
