level,identifier,name,ags,wahlkreisnummer,old_reported_precincts,new_reported_precincts,delta_reported_precincts,old_total_precincts,new_total_precincts,delta_total_precincts,old_voters_total,new_voters_total,delta_voters_total,old_valid_votes_erst,new_valid_votes_erst,delta_valid_votes_erst,old_valid_votes_zweit,new_valid_votes_zweit,delta_valid_votes_zweit
WAHLKREIS,41,41 - Sinsheim,,41,150,150,0,150,150,0,69290,69285,-5,68676,68672,-4,68778,68777,-1
WAHLKREIS,42,42 - Pforzheim,,42,129,129,0,129,129,0,52832,52835,3,52282,52282,0,52503,52508,5
WAHLKREIS,43,43 - Calw,,43,186,186,0,186,186,0,79687,79688,1,78816,78819,3,79221,79226,5
WAHLKREIS,44,44 - Enz,,44,166,166,0,166,166,0,90660,90659,-1,89853,89856,3,90155,90156,1
WAHLKREIS,45,45 - Freudenstadt,,45,143,143,0,143,143,0,60913,60913,0,60403,60414,11,60582,60587,5
WAHLKREIS,46,46 - Freiburg I,,46,219,219,0,219,219,0,97621,97621,0,96992,96991,-1,97196,97199,3
WAHLKREIS,47,47 - Freiburg II,,47,183,183,0,183,183,0,91238,91240,2,90630,90635,5,90846,90850,4
WAHLKREIS,48,48 - Breisgau,,48,192,192,0,192,192,0,95086,95055,-31,94059,94064,5,94527,94532,5
WAHLKREIS,49,49 - Emmendingen,,49,165,165,0,165,165,0,90920,90899,-21,90208,90212,4,90370,90370,0
WAHLKREIS,50,50 - Lahr,,50,179,179,0,179,179,0,74765,74753,-12,73966,73966,0,74193,74190,-3
WAHLKREIS,51,51 - Offenburg,,51,130,130,0,130,130,0,68725,68699,-26,67793,67793,0,68200,68202,2
WAHLKREIS,52,52 - Kehl,,52,132,132,0,132,132,0,71726,71724,-2,71094,71100,6,71174,71177,3
WAHLKREIS,53,53 - Rottweil,,53,149,149,0,149,149,0,72512,72512,0,71837,71842,5,71934,71938,4
WAHLKREIS,54,54 - Villingen-Schwenningen,,54,189,189,0,189,189,0,79713,79715,2,78771,78777,6,79141,79145,4
WAHLKREIS,55,55 - Tuttlingen-Donaueschingen,,55,191,191,0,191,191,0,82999,82999,0,82091,82092,1,82362,82362,0
WAHLKREIS,56,56 - Konstanz,,56,161,161,0,161,161,0,72083,72083,0,71693,71691,-2,71819,71822,3
WAHLKREIS,57,57 - Singen,,57,159,159,0,159,159,0,67558,67558,0,66993,66994,1,67105,67113,8
WAHLKREIS,58,58 - Lörrach,,58,248,248,0,248,248,0,81325,81323,-2,80596,80607,11,80755,80759,4
WAHLKREIS,59,59 - Waldshut,,59,214,214,0,214,214,0,79732,79716,-16,79056,79057,1,79190,79193,3
WAHLKREIS,60,60 - Reutlingen,,60,171,171,0,171,171,0,91572,91572,0,90772,90773,1,91134,91134,0
WAHLKREIS,61,61 - Hechingen-Münsingen,,61,187,187,0,187,187,0,86590,86590,0,85619,85624,5,85942,85941,-1
WAHLKREIS,62,62 - Tübingen,,62,161,161,0,161,161,0,102867,102954,87,102282,102375,93,102495,102583,88
WAHLKREIS,63,63 - Balingen,,63,195,195,0,195,195,0,82460,82455,-5,81512,81518,6,81882,81882,0
WAHLKREIS,64,64 - Ulm,,64,218,218,0,218,218,0,85172,85148,-24,84508,84517,9,84771,84773,2
WAHLKREIS,65,65 - Ehingen,,65,197,197,0,197,197,0,78085,78079,-6,77527,77531,4,77521,77528,7
WAHLKREIS,66,66 - Biberach,,66,226,226,0,226,226,0,97888,97888,0,97197,97198,1,97260,97261,1
WAHLKREIS,67,67 - Bodensee,,67,201,201,0,201,201,0,92601,92601,0,91855,91856,1,92121,92122,1
WAHLKREIS,68,68 - Wangen,,68,185,185,0,185,185,0,90691,90692,1,89706,89710,4,90125,90127,2
WAHLKREIS,69,69 - Ravensburg,,69,174,174,0,174,174,0,89762,89760,-2,88847,88848,1,89238,89238,0
WAHLKREIS,70,70 - Sigmaringen,,70,180,180,0,180,180,0,68537,68543,6,67781,67784,3,67964,67976,12
GEMEINDE,08115003,"Böblingen, Stadt",08115003,,56,56,0,56,56,0,19419,19419,0,19273,19271,-2,19314,19314,0
GEMEINDE,08115016,Gäufelden,08115016,,10,10,0,10,10,0,4896,4887,-9,4848,4850,2,4861,4861,0
GEMEINDE,08115021,"Herrenberg, Stadt",08115021,,39,39,0,39,39,0,17136,17137,1,17017,17019,2,17060,17063,3
