capture,time,commit,reported,expected,voters,valid_second_votes,invalid_second_votes
2026-09-20-20-15-07,2026-09-20T18:15:09.524052+00:00,e0e484cbe7bf75b30c0bb5ce6b93010c087ae888,1461,1974,638903,632897,6006
2026-09-20-20-18-03,2026-09-20T18:18:06.358073+00:00,4eeb7616b51702ac854b4c044a931d4c085e8ae6,1461,1974,638903,632897,6006
2026-09-20-20-20-34,2026-09-20T18:20:36.433461+00:00,08d2cc44796b762de67afa4d7560cdfa3b2dae4f,1521,1974,677762,671397,6365
2026-09-20-20-23-05,2026-09-20T18:23:07.669610+00:00,19fdf87394fb97384cc823ec1c6a52d6e9ab9581,1521,1974,677762,671397,6365
2026-09-20-20-25-34,2026-09-20T18:25:37.219297+00:00,d6c3de89f7ccc534cf4b5bb7fe9cceb79d4d06ae,1521,1974,677762,671397,6365
2026-09-20-20-28-04,2026-09-20T18:28:06.858461+00:00,5c7c1dd967765940aae4c91476a78bd8b6491b93,1521,1974,677762,671397,6365
2026-09-20-20-30-34,2026-09-20T18:30:36.978667+00:00,0a5d35530810d12d531edd737513b2f9f7dbc849,1624,1974,747215,740291,6924
2026-09-20-20-33-04,2026-09-20T18:33:07.251955+00:00,5fd757a833dc935aaa19a800dc01bc42d9be6a17,1624,1974,747215,740291,6924
2026-09-20-20-35-35,2026-09-20T18:35:37.601418+00:00,8700edb14ccb6c557a90c5f5f6226c57220e6780,1624,1974,747215,740291,6924
2026-09-20-20-38-04,2026-09-20T18:38:06.955443+00:00,9a6b19c7157d8d7e34729fd280ce19b4a5b7ccb0,1624,1974,747215,740291,6924
2026-09-20-20-40-34,2026-09-20T18:40:36.869614+00:00,27bc512850c6548b55da31344458a11662ffb7ed,1699,1974,802522,795186,7336
2026-09-20-20-43-04,2026-09-20T18:43:06.818662+00:00,9e9ad95864d49004cccf10333d6c4fb772b01708,1699,1974,802522,795186,7336
2026-09-20-20-45-34,2026-09-20T18:45:37.233966+00:00,803f92d4abf7c7f63d5c89bd8ef5167cce1987d7,1721,1974,819871,812419,7452
2026-09-20-20-48-35,2026-09-20T18:48:37.433930+00:00,07fad3f417e9d919fd5ec6c767014fd0c596359e,1721,1974,819871,812419,7452
2026-09-20-20-51-06,2026-09-20T18:51:08.588957+00:00,552dcca980af647472f75ff5e7dc3746ee1362eb,1746,1974,836062,828488,7574
2026-09-20-20-54-04,2026-09-20T18:54:07.054275+00:00,b3c019933fd73dfd9793e4fdb640567e9f923fbf,1746,1974,836062,828488,7574
2026-09-20-20-57-06,2026-09-20T18:57:08.868196+00:00,df3b58c11ad7553070390b6e58c413f8e68fc32a,1746,1974,836062,828488,7574
2026-09-20-21-00-05,2026-09-20T19:00:08.125958+00:00,52933d0aa13ab7293b0c2fc9f26606143d54b3ba,1798,1974,879139,871257,7882
2026-09-20-21-03-12,2026-09-20T19:03:15.342177+00:00,c142b43afee9e3fb73260b717b2e8ac88eb8276a,1798,1974,879139,871257,7882
2026-09-20-21-06-05,2026-09-20T19:06:07.734916+00:00,8209444d123161fd3303d49207ec62a57fee28d1,1819,1974,896245,888252,7993
2026-09-20-21-09-05,2026-09-20T19:09:07.573429+00:00,1209bc074e3a5444b4151d21d8b870155e69b238,1842,1974,913823,905707,8116
2026-09-20-21-12-04,2026-09-20T19:12:06.938400+00:00,25bd81b19d71a44b8f9e9febd2ea0ba8fce27e99,1842,1974,913823,905707,8116
2026-09-20-21-14-35,2026-09-20T19:14:38.243270+00:00,fbcf1c513fdebe3f8e25c1ab38df7b092e0b32af,1857,1974,926480,918265,8215
2026-09-20-21-17-35,2026-09-20T19:17:37.488375+00:00,c012c2fd6330e3521cc38c117b9aa1dabe9b2bfe,1857,1974,926480,918265,8215
2026-09-20-21-20-35,2026-09-20T19:20:37.995281+00:00,5873362e5c4ed8be9bc25f57e785358ded56c946,1864,1974,933171,924914,8257
2026-09-20-21-23-34,2026-09-20T19:23:37.239499+00:00,e968c9ff16f7620b8fefc9094e030483320f305e,1864,1974,933171,924914,8257
2026-09-20-21-26-34,2026-09-20T19:26:37.421392+00:00,73e6764f7b17f79c749801843f65e285d3779ebe,1864,1974,933171,924914,8257
2026-09-20-21-33-31,2026-09-20T19:33:34.135868+00:00,527a81cb9e3e70ea2461ecdc302501298f65bfc6,1880,1974,946740,938402,8338
2026-09-20-21-38-49,2026-09-20T19:38:52.129337+00:00,523d056a9224e356cf973f303d8b9517cf136541,1892,1974,957841,949435,8406
2026-09-20-21-43-34,2026-09-20T19:43:37.022014+00:00,87de488950bb12e4ad100183b53d4513d95c76e6,1917,1974,977521,968941,8580
2026-09-20-21-48-02,2026-09-20T19:48:05.350482+00:00,58667d9e00a100463a02654375e13ee9e5bb07f4,1917,1974,977521,968941,8580
2026-09-20-21-50-34,2026-09-20T19:50:37.039849+00:00,21900f44206350f5c45f442761f0abe5eddfc260,1917,1974,977521,968941,8580
2026-09-20-21-55-33,2026-09-20T19:55:35.777340+00:00,de799270743f1fb0bd17ddfe3aa08b4d7386bd78,1934,1974,991100,982376,8724
2026-09-20-22-00-03,2026-09-20T20:00:06.178808+00:00,0db8ecc91188d67263dd94113bbec38286664e78,1940,1974,995687,986949,8738
2026-09-20-22-04-33,2026-09-20T20:04:35.928071+00:00,5f27754ba6477fd493f4d0f538a9ab1b997f03d3,1951,1974,1004274,995476,8798
2026-09-20-22-09-33,2026-09-20T20:09:36.932936+00:00,b4ab71442d9244afe8dc2bc44a0e78bda9867790,1954,1974,1007478,998664,8814
2026-09-20-22-14-02,2026-09-20T20:14:05.320563+00:00,cd34a92b5dea3da9748645b6c107f3620362181b,1954,1974,1007478,998664,8814
2026-09-20-22-18-34,2026-09-20T20:18:36.656639+00:00,292c6fa1c09ad3235ccfd4dde2b8482043f0cb82,1954,1974,1007478,998664,8814
2026-09-20-22-23-03,2026-09-20T20:23:05.888089+00:00,fca3b96f1079ada800f831614408f7e6271b269a,1954,1974,1007478,998664,8814
2026-09-20-22-27-02,2026-09-20T20:27:05.499344+00:00,e34b7eb40ee9b27543be4d8dc3ccdd64575c5b76,1957,1974,1009599,1000768,8831
2026-09-20-22-32-05,2026-09-20T20:32:08.289077+00:00,cdf7d560a68fd818655f9246a64cbe21a5cf239a,1958,1974,1010560,1001725,8835
2026-09-20-22-37-03,2026-09-20T20:37:05.878728+00:00,929b144ba8a8241ead36e315af4cedba9a870303,1959,1974,1011604,1002768,8836
2026-09-20-22-42-07,2026-09-20T20:42:09.995712+00:00,251b4fca5274fa5d51ca9ed7e10ed2d321937369,1960,1974,1012270,1003435,8835
2026-09-20-22-46-35,2026-09-20T20:46:37.861542+00:00,b8d2b489e60697f68ca37d336a4052f99b462da7,1960,1974,1012270,1003435,8835
2026-09-20-22-51-23,2026-09-20T20:51:25.582181+00:00,49ef1b59f2a1d9b49ae5d83495a78547f3b15e8b,1965,1974,1016176,1007318,8858
2026-09-20-22-56-04,2026-09-20T20:56:07.422448+00:00,7357d2894d51f027eede41854cd5c2a02873fd2d,1965,1974,1016176,1007318,8858
2026-09-20-22-59-38,2026-09-20T20:59:41.223207+00:00,c14e3de52b89343bf3906282db314d0e8dc52d03,1965,1974,1016176,1007318,8858
2026-09-20-23-04-05,2026-09-20T21:04:08.478994+00:00,450d6c752bffc6f002e3da247a60330631a47c90,1966,1974,1016714,1007845,8869
2026-09-20-23-08-56,2026-09-20T21:08:58.667304+00:00,5e0d5476d30b195a3e435006ed01cd2130ad502b,1968,1974,1017948,1009066,8882
2026-09-20-23-13-48,2026-09-20T21:13:51.516648+00:00,72fa5c9ec3a6a8cee65e8cf1dfc337dc65f68261,1969,1974,1018462,1009562,8900
2026-09-20-23-19-07,2026-09-20T21:19:09.958176+00:00,6731dc7526558a28d0a030c19936a92b0603776e,1971,1974,1022416,1013501,8915
2026-09-20-23-20-52,2026-09-20T21:20:55.140483+00:00,ec295ce6ab16143d5a2423ff36b4e96ac3f35033,1971,1974,1022416,1013501,8915
2026-09-20-23-26-35,2026-09-20T21:26:38.061242+00:00,02fc843f059448808d52e03c9bb4039f0038a673,1971,1974,1022416,1013501,8915
2026-09-20-23-30-37,2026-09-20T21:30:39.603305+00:00,e399481dbbd3e38808f9e3441461740d1d694bf8,1972,1974,1022892,1013974,8918
2026-09-20-23-33-05,2026-09-20T21:33:12.761271+00:00,e27a42f10a5e14f921c021f6e27dfafedbf5fe58,1972,1974,1022892,1013974,8918
2026-09-20-23-37-35,2026-09-20T21:37:37.755209+00:00,99eb6500bf846c5dbd68b9302ae2a48026620c12,1972,1974,1022892,1013974,8918
2026-09-20-23-43-04,2026-09-20T21:43:07.271372+00:00,43b3fe0886c53f7aa2bab3f7a2aceec162c0cbe8,1972,1974,1022892,1013974,8918
2026-09-20-23-47-34,2026-09-20T21:47:37.045351+00:00,8d9a9aa0c8ad0c44a67c921a2b2b54234799c8fe,1973,1974,1023482,1014559,8923
2026-09-20-23-51-27,2026-09-20T21:51:30.273609+00:00,60845e75aa1425199bd28557b9ad5050b2675e13,1973,1974,1023482,1014559,8923
2026-09-20-23-56-36,2026-09-20T21:56:38.693051+00:00,c21436ae1d80757fb2081049832c5927d968f34f,1973,1974,1023482,1014559,8923
2026-09-21-00-02-06,2026-09-20T22:02:09.083905+00:00,032823f98266fe9335e641c08f6696644f5723c3,1973,1974,1023482,1014559,8923
2026-09-21-00-05-18,2026-09-20T22:05:20.792488+00:00,604f5ef2443fc16d413c952329d4bdb2453801b0,1974,1974,1024251,1015323,8928
