area_level,area_id,area_name,vote_type,party_name,votes,valid_votes
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,ÖDP,13,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,Die Humanisten,31,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,Gesundheitsforschung,54,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,Team Todenhöfer,31,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,UNABHÄNGIGE,53,17465
WAHLKREIS,3,Neubrandenburg II,Erststimmen,SPD,3084,17457
WAHLKREIS,3,Neubrandenburg II,Erststimmen,AfD,2997,17457
WAHLKREIS,3,Neubrandenburg II,Erststimmen,CDU,2832,17457
WAHLKREIS,3,Neubrandenburg II,Erststimmen,Die Linke,973,17457
WAHLKREIS,3,Neubrandenburg II,Erststimmen,GRÜNE,1127,17457
WAHLKREIS,3,Neubrandenburg II,Erststimmen,TIERSCHUTZ hier!,516,17457
WAHLKREIS,3,Neubrandenburg II,Erststimmen,Einzelbewerber,278,17457
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,SPD,7148,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,AfD,2856,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,CDU,2104,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,Die Linke,2060,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,GRÜNE,993,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,FDP,993,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,NPD,81,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,Tierschutzpartei,286,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,FREiER HORIZONT,80,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,Die PARTEI,162,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,FREIE WÄHLER,97,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,PIRATEN,70,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,DKP,16,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,Bündnis C,15,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,TIERSCHUTZ hier!,90,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,dieBasis,386,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,DiB,6,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,FPA,3,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,LKR,9,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,ÖDP,22,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,Die Humanisten,30,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,Gesundheitsforschung,42,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,Team Todenhöfer,46,17658
WAHLKREIS,3,Neubrandenburg II,Zweitstimmen,UNABHÄNGIGE,63,17658
WAHLKREIS,4,Hansestadt Rostock I,Erststimmen,SPD,3736,23686
WAHLKREIS,4,Hansestadt Rostock I,Erststimmen,AfD,2783,23686
WAHLKREIS,4,Hansestadt Rostock I,Erststimmen,CDU,3527,23686
WAHLKREIS,4,Hansestadt Rostock I,Erststimmen,Die Linke,2202,23686
WAHLKREIS,4,Hansestadt Rostock I,Erststimmen,GRÜNE,1312,23686
WAHLKREIS,4,Hansestadt Rostock I,Erststimmen,Die PARTEI,602,23686
WAHLKREIS,4,Hansestadt Rostock I,Erststimmen,TIERSCHUTZ hier!,660,23686
WAHLKREIS,4,Hansestadt Rostock I,Erststimmen,Einzelbewerber,416,23686
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,SPD,10254,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,AfD,3352,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,CDU,2271,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,Die Linke,2987,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,GRÜNE,1637,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,FDP,1261,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,NPD,164,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,Tierschutzpartei,462,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,FREiER HORIZONT,33,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,Die PARTEI,228,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,FREIE WÄHLER,261,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,PIRATEN,88,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,DKP,24,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,Bündnis C,12,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,TIERSCHUTZ hier!,109,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,dieBasis,447,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,DiB,11,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,FPA,7,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,LKR,5,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,ÖDP,16,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,Die Humanisten,33,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,Gesundheitsforschung,59,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,Team Todenhöfer,41,23811
WAHLKREIS,4,Hansestadt Rostock I,Zweitstimmen,UNABHÄNGIGE,49,23811
WAHLKREIS,5,Hansestadt Rostock II,Erststimmen,SPD,3166,24090
WAHLKREIS,5,Hansestadt Rostock II,Erststimmen,AfD,2182,24090
WAHLKREIS,5,Hansestadt Rostock II,Erststimmen,CDU,4019,24090
WAHLKREIS,5,Hansestadt Rostock II,Erststimmen,Die Linke,2053,24090
WAHLKREIS,5,Hansestadt Rostock II,Erststimmen,GRÜNE,1326,24090
WAHLKREIS,5,Hansestadt Rostock II,Erststimmen,NPD,891,24090
WAHLKREIS,5,Hansestadt Rostock II,Erststimmen,Die PARTEI,449,24090
WAHLKREIS,5,Hansestadt Rostock II,Erststimmen,DKP,33,24090
WAHLKREIS,5,Hansestadt Rostock II,Erststimmen,TIERSCHUTZ hier!,470,24090
WAHLKREIS,5,Hansestadt Rostock II,Erststimmen,Einzelbewerber,416,24090
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,SPD,10811,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,AfD,2865,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,CDU,1901,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,Die Linke,3449,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,GRÜNE,1733,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,FDP,1220,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,NPD,139,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,Tierschutzpartei,615,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,FREiER HORIZONT,40,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,Die PARTEI,314,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,FREIE WÄHLER,209,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,PIRATEN,126,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,DKP,38,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,Bündnis C,18,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,TIERSCHUTZ hier!,73,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,dieBasis,413,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,DiB,27,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,FPA,8,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,LKR,10,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,ÖDP,35,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,Die Humanisten,45,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,Gesundheitsforschung,59,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,Team Todenhöfer,40,24236
WAHLKREIS,5,Hansestadt Rostock II,Zweitstimmen,UNABHÄNGIGE,48,24236
WAHLKREIS,6,Hansestadt Rostock III,Erststimmen,SPD,2805,34809
WAHLKREIS,6,Hansestadt Rostock III,Erststimmen,AfD,3618,34809
WAHLKREIS,6,Hansestadt Rostock III,Erststimmen,CDU,7135,34809
WAHLKREIS,6,Hansestadt Rostock III,Erststimmen,Die Linke,5801,34809
WAHLKREIS,6,Hansestadt Rostock III,Erststimmen,GRÜNE,2016,34809
WAHLKREIS,6,Hansestadt Rostock III,Erststimmen,NPD,1428,34809
WAHLKREIS,6,Hansestadt Rostock III,Erststimmen,Die PARTEI,476,34809
WAHLKREIS,6,Hansestadt Rostock III,Erststimmen,TIERSCHUTZ hier!,754,34809
WAHLKREIS,6,Hansestadt Rostock III,Erststimmen,DiB,130,34809
WAHLKREIS,6,Hansestadt Rostock III,Erststimmen,Einzelbewerber,364,34809
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,SPD,12340,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,AfD,2604,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,CDU,3075,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,Die Linke,5131,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,GRÜNE,6285,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,FDP,2283,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,NPD,86,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,Tierschutzpartei,805,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,FREiER HORIZONT,60,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,Die PARTEI,608,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,FREIE WÄHLER,273,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,PIRATEN,201,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,DKP,35,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,Bündnis C,27,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,TIERSCHUTZ hier!,72,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,dieBasis,656,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,DiB,45,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,FPA,31,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,LKR,12,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,ÖDP,77,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,Die Humanisten,91,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,Gesundheitsforschung,54,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,Team Todenhöfer,57,34982
WAHLKREIS,6,Hansestadt Rostock III,Zweitstimmen,UNABHÄNGIGE,74,34982
WAHLKREIS,7,Hansestadt Rostock IV,Erststimmen,SPD,4154,36628
WAHLKREIS,7,Hansestadt Rostock IV,Erststimmen,AfD,5162,36628
WAHLKREIS,7,Hansestadt Rostock IV,Erststimmen,CDU,5097,36628
WAHLKREIS,7,Hansestadt Rostock IV,Erststimmen,Die Linke,5619,36628
WAHLKREIS,7,Hansestadt Rostock IV,Erststimmen,GRÜNE,2695,36628
WAHLKREIS,7,Hansestadt Rostock IV,Erststimmen,NPD,1216,36628
WAHLKREIS,7,Hansestadt Rostock IV,Erststimmen,Die PARTEI,583,36628
WAHLKREIS,7,Hansestadt Rostock IV,Erststimmen,TIERSCHUTZ hier!,1089,36628
WAHLKREIS,7,Hansestadt Rostock IV,Erststimmen,Einzelbewerber,441,36628
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,SPD,13428,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,AfD,3968,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,CDU,3611,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,Die Linke,4624,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,GRÜNE,4753,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,FDP,2745,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,NPD,153,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,Tierschutzpartei,887,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,FREiER HORIZONT,60,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,Die PARTEI,544,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,FREIE WÄHLER,358,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,PIRATEN,173,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,DKP,33,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,Bündnis C,35,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,TIERSCHUTZ hier!,77,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,dieBasis,828,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,DiB,53,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,FPA,15,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,LKR,10,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,ÖDP,69,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,Die Humanisten,79,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,Gesundheitsforschung,72,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,Team Todenhöfer,105,36757
WAHLKREIS,7,Hansestadt Rostock IV,Zweitstimmen,UNABHÄNGIGE,77,36757
WAHLKREIS,8,Schwerin I,Erststimmen,SPD,3986,35723
WAHLKREIS,8,Schwerin I,Erststimmen,AfD,4230,35723
WAHLKREIS,8,Schwerin I,Erststimmen,CDU,3518,35723
WAHLKREIS,8,Schwerin I,Erststimmen,Die Linke,2934,35723
WAHLKREIS,8,Schwerin I,Erststimmen,GRÜNE,2177,35723
WAHLKREIS,8,Schwerin I,Erststimmen,FREiER HORIZONT,568,35723
WAHLKREIS,8,Schwerin I,Erststimmen,Die PARTEI,759,35723
WAHLKREIS,8,Schwerin I,Erststimmen,FREIE WÄHLER,399,35723
WAHLKREIS,8,Schwerin I,Erststimmen,TIERSCHUTZ hier!,579,35723
WAHLKREIS,8,Schwerin I,Erststimmen,Einzelbewerber,467,35723
WAHLKREIS,8,Schwerin I,Zweitstimmen,SPD,12562,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,AfD,4234,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,CDU,4316,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,Die Linke,4570,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,GRÜNE,4206,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,FDP,2609,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,NPD,135,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,Tierschutzpartei,538,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,FREiER HORIZONT,57,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,Die PARTEI,416,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,FREIE WÄHLER,532,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,PIRATEN,315,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,DKP,35,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,Bündnis C,17,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,TIERSCHUTZ hier!,135,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,dieBasis,534,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,DiB,53,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,FPA,32,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,LKR,6,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,ÖDP,47,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,Die Humanisten,73,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,Gesundheitsforschung,75,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,Team Todenhöfer,88,35686
WAHLKREIS,8,Schwerin I,Zweitstimmen,UNABHÄNGIGE,101,35686
WAHLKREIS,9,Schwerin II,Erststimmen,SPD,3128,17873
WAHLKREIS,9,Schwerin II,Erststimmen,AfD,2160,17873
WAHLKREIS,9,Schwerin II,Erststimmen,CDU,2388,17873
WAHLKREIS,9,Schwerin II,Erststimmen,Die Linke,1155,17873
WAHLKREIS,9,Schwerin II,Erststimmen,GRÜNE,1179,17873
WAHLKREIS,9,Schwerin II,Erststimmen,Die PARTEI,421,17873
WAHLKREIS,9,Schwerin II,Erststimmen,TIERSCHUTZ hier!,271,17873
WAHLKREIS,9,Schwerin II,Erststimmen,Einzelbewerber,292,17873
WAHLKREIS,9,Schwerin II,Zweitstimmen,SPD,7977,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,AfD,2837,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,CDU,1882,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,Die Linke,2028,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,GRÜNE,948,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,FDP,1002,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,NPD,136,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,Tierschutzpartei,220,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,FREiER HORIZONT,27,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,Die PARTEI,109,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,FREIE WÄHLER,242,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,PIRATEN,119,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,DKP,15,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,Bündnis C,13,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,TIERSCHUTZ hier!,68,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,dieBasis,217,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,DiB,12,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,FPA,9,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,LKR,7,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,ÖDP,14,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,Die Humanisten,16,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,Gesundheitsforschung,52,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,Team Todenhöfer,29,18020
WAHLKREIS,9,Schwerin II,Zweitstimmen,UNABHÄNGIGE,41,18020
WAHLKREIS,10,Wismar,Erststimmen,SPD,2833,22111
WAHLKREIS,10,Wismar,Erststimmen,AfD,2746,22111
WAHLKREIS,10,Wismar,Erststimmen,CDU,2173,22111
WAHLKREIS,10,Wismar,Erststimmen,Die Linke,1856,22111
WAHLKREIS,10,Wismar,Erststimmen,GRÜNE,1615,22111
WAHLKREIS,10,Wismar,Erststimmen,Die PARTEI,283,22111
WAHLKREIS,10,Wismar,Erststimmen,FREIE WÄHLER,346,22111
WAHLKREIS,10,Wismar,Erststimmen,TIERSCHUTZ hier!,296,22111
WAHLKREIS,10,Wismar,Erststimmen,DiB,50,22111
WAHLKREIS,10,Wismar,Erststimmen,Einzelbewerber,360,22111
WAHLKREIS,10,Wismar,Zweitstimmen,SPD,10007,22193
WAHLKREIS,10,Wismar,Zweitstimmen,AfD,2753,22193
WAHLKREIS,10,Wismar,Zweitstimmen,CDU,2314,22193
WAHLKREIS,10,Wismar,Zweitstimmen,Die Linke,2322,22193
WAHLKREIS,10,Wismar,Zweitstimmen,GRÜNE,1816,22193
WAHLKREIS,10,Wismar,Zweitstimmen,FDP,1319,22193
WAHLKREIS,10,Wismar,Zweitstimmen,NPD,149,22193
WAHLKREIS,10,Wismar,Zweitstimmen,Tierschutzpartei,257,22193
WAHLKREIS,10,Wismar,Zweitstimmen,FREiER HORIZONT,22,22193
WAHLKREIS,10,Wismar,Zweitstimmen,Die PARTEI,195,22193
WAHLKREIS,10,Wismar,Zweitstimmen,FREIE WÄHLER,196,22193
WAHLKREIS,10,Wismar,Zweitstimmen,PIRATEN,222,22193
WAHLKREIS,10,Wismar,Zweitstimmen,DKP,13,22193
WAHLKREIS,10,Wismar,Zweitstimmen,Bündnis C,17,22193
WAHLKREIS,10,Wismar,Zweitstimmen,TIERSCHUTZ hier!,108,22193
WAHLKREIS,10,Wismar,Zweitstimmen,dieBasis,254,22193
WAHLKREIS,10,Wismar,Zweitstimmen,DiB,6,22193
WAHLKREIS,10,Wismar,Zweitstimmen,FPA,28,22193
WAHLKREIS,10,Wismar,Zweitstimmen,LKR,6,22193
WAHLKREIS,10,Wismar,Zweitstimmen,ÖDP,23,22193
WAHLKREIS,10,Wismar,Zweitstimmen,Die Humanisten,19,22193
WAHLKREIS,10,Wismar,Zweitstimmen,Gesundheitsforschung,43,22193
WAHLKREIS,10,Wismar,Zweitstimmen,Team Todenhöfer,35,22193
WAHLKREIS,10,Wismar,Zweitstimmen,UNABHÄNGIGE,69,22193
WAHLKREIS,11,Landkreis Rostock I,Erststimmen,SPD,5336,32056
WAHLKREIS,11,Landkreis Rostock I,Erststimmen,AfD,5314,32056
WAHLKREIS,11,Landkreis Rostock I,Erststimmen,CDU,3144,32056
WAHLKREIS,11,Landkreis Rostock I,Erststimmen,Die Linke,1841,32056
WAHLKREIS,11,Landkreis Rostock I,Erststimmen,GRÜNE,2100,32056
WAHLKREIS,11,Landkreis Rostock I,Erststimmen,Die PARTEI,721,32056
WAHLKREIS,11,Landkreis Rostock I,Erststimmen,TIERSCHUTZ hier!,972,32056
WAHLKREIS,11,Landkreis Rostock I,Erststimmen,Einzelbewerber,502,32056
