capture_index,commit,acquired_at_utc,acquired_at_local,valid_votes_zweit,reported_precincts,total_precincts,source_url,source_git_url,AfD_votes,AfD_percent,Die Linke_votes,Die Linke_percent,GRÜNE_votes,GRÜNE_percent,SPD_votes,SPD_percent,frame_start,frame_count,movie_start_seconds,movie_duration_seconds,image
69,02fc843f059448808d52e03c9bb4039f0038a673,2026-09-20T21:26:38.061242+00:00,2026-09-20T23:26:38.061242+02:00,1013501,1971,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/02fc843f059448808d52e03c9bb4039f0038a673/data/2026-mv/latest,387514,38.23518674377233,66251,6.53684604159246,57432,5.666693964781485,359654,35.48629947084413,1677,26,67.08,1.04,frames/capture-069.png
70,e399481dbbd3e38808f9e3441461740d1d694bf8,2026-09-20T21:30:39.603305+00:00,2026-09-20T23:30:39.603305+02:00,1013974,1972,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/e399481dbbd3e38808f9e3441461740d1d694bf8/data/2026-mv/latest,387775,38.24309104572701,66274,6.536065027308393,57439,5.664740910516443,359789,35.48305972342486,1703,16,68.12,0.64,frames/capture-070.png
71,e27a42f10a5e14f921c021f6e27dfafedbf5fe58,2026-09-20T21:33:12.761271+00:00,2026-09-20T23:33:12.761271+02:00,1013974,1972,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/e27a42f10a5e14f921c021f6e27dfafedbf5fe58/data/2026-mv/latest,387775,38.24309104572701,66274,6.536065027308393,57439,5.664740910516443,359789,35.48305972342486,1719,29,68.76,1.16,frames/capture-071.png
72,99eb6500bf846c5dbd68b9302ae2a48026620c12,2026-09-20T21:37:37.755209+00:00,2026-09-20T23:37:37.755209+02:00,1013974,1972,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/99eb6500bf846c5dbd68b9302ae2a48026620c12/data/2026-mv/latest,387775,38.24309104572701,66274,6.536065027308393,57439,5.664740910516443,359789,35.48305972342486,1748,35,69.92,1.4,frames/capture-072.png
73,43b3fe0886c53f7aa2bab3f7a2aceec162c0cbe8,2026-09-20T21:43:07.271372+00:00,2026-09-20T23:43:07.271372+02:00,1013974,1972,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/43b3fe0886c53f7aa2bab3f7a2aceec162c0cbe8/data/2026-mv/latest,387775,38.24309104572701,66274,6.536065027308393,57439,5.664740910516443,359789,35.48305972342486,1783,29,71.32,1.16,frames/capture-073.png
74,8d9a9aa0c8ad0c44a67c921a2b2b54234799c8fe,2026-09-20T21:47:37.045351+00:00,2026-09-20T23:47:37.045351+02:00,1014559,1973,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/8d9a9aa0c8ad0c44a67c921a2b2b54234799c8fe/data/2026-mv/latest,387929,38.23621888919225,66310,6.535844637916573,57466,5.664135846214957,360061,35.48940968440475,1812,24,72.48,0.96,frames/capture-074.png
75,60845e75aa1425199bd28557b9ad5050b2675e13,2026-09-20T21:51:30.273609+00:00,2026-09-20T23:51:30.273609+02:00,1014559,1973,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/60845e75aa1425199bd28557b9ad5050b2675e13/data/2026-mv/latest,387929,38.23621888919225,66310,6.535844637916573,57466,5.664135846214957,360061,35.48940968440475,1836,33,73.44,1.32,frames/capture-075.png
76,c21436ae1d80757fb2081049832c5927d968f34f,2026-09-20T21:56:38.693051+00:00,2026-09-20T23:56:38.693051+02:00,1014559,1973,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/c21436ae1d80757fb2081049832c5927d968f34f/data/2026-mv/latest,387929,38.23621888919225,66310,6.535844637916573,57466,5.664135846214957,360061,35.48940968440475,1869,36,74.76,1.44,frames/capture-076.png
77,032823f98266fe9335e641c08f6696644f5723c3,2026-09-20T22:02:09.083905+00:00,2026-09-21T00:02:09.083905+02:00,1014559,1973,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/032823f98266fe9335e641c08f6696644f5723c3/data/2026-mv/latest,387929,38.23621888919225,66310,6.535844637916573,57466,5.664135846214957,360061,35.48940968440475,1905,20,76.2,0.8,frames/capture-077.png
78,604f5ef2443fc16d413c952329d4bdb2453801b0,2026-09-20T22:05:20.792488+00:00,2026-09-21T00:05:20.792488+02:00,1015323,1974,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/604f5ef2443fc16d413c952329d4bdb2453801b0/data/2026-mv/latest,388026,38.2170008952816,66388,6.538608895888304,57587,5.671791144295953,360393,35.49540392564731,1925,75,77.0,3.0,frames/capture-078.png
