capture_index,commit,acquired_at_utc,acquired_at_local,valid_votes_zweit,reported_precincts,total_precincts,source_url,source_git_url,AfD_votes,AfD_percent,Die Linke_votes,Die Linke_percent,GRÜNE_votes,GRÜNE_percent,SPD_votes,SPD_percent,frame_start,frame_count,movie_start_seconds,movie_duration_seconds,image
21,d6c3de89f7ccc534cf4b5bb7fe9cceb79d4d06ae,2026-09-20T18:25:37.219297+00:00,2026-09-20T20:25:37.219297+02:00,671397,1521,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/d6c3de89f7ccc534cf4b5bb7fe9cceb79d4d06ae/data/2026-mv/latest,279250,41.59238125877834,40173,5.983494117489355,34648,5.160583082736443,227542,33.89082763253336,519,16,20.76,0.64,frames/capture-021.png
22,5c7c1dd967765940aae4c91476a78bd8b6491b93,2026-09-20T18:28:06.858461+00:00,2026-09-20T20:28:06.858461+02:00,671397,1521,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/5c7c1dd967765940aae4c91476a78bd8b6491b93/data/2026-mv/latest,279250,41.59238125877834,40173,5.983494117489355,34648,5.160583082736443,227542,33.89082763253336,535,16,21.4,0.64,frames/capture-022.png
23,0a5d35530810d12d531edd737513b2f9f7dbc849,2026-09-20T18:30:36.978667+00:00,2026-09-20T20:30:36.978667+02:00,740291,1624,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/0a5d35530810d12d531edd737513b2f9f7dbc849/data/2026-mv/latest,301998,40.79449837969123,45064,6.0873359260074755,39288,5.307102207105044,253615,34.25882524574796,551,16,22.04,0.64,frames/capture-023.png
24,5fd757a833dc935aaa19a800dc01bc42d9be6a17,2026-09-20T18:33:07.251955+00:00,2026-09-20T20:33:07.251955+02:00,740291,1624,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/5fd757a833dc935aaa19a800dc01bc42d9be6a17/data/2026-mv/latest,301998,40.79449837969123,45064,6.0873359260074755,39288,5.307102207105044,253615,34.25882524574796,567,16,22.68,0.64,frames/capture-024.png
25,8700edb14ccb6c557a90c5f5f6226c57220e6780,2026-09-20T18:35:37.601418+00:00,2026-09-20T20:35:37.601418+02:00,740291,1624,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/8700edb14ccb6c557a90c5f5f6226c57220e6780/data/2026-mv/latest,301998,40.79449837969123,45064,6.0873359260074755,39288,5.307102207105044,253615,34.25882524574796,583,16,23.32,0.64,frames/capture-025.png
26,9a6b19c7157d8d7e34729fd280ce19b4a5b7ccb0,2026-09-20T18:38:06.955443+00:00,2026-09-20T20:38:06.955443+02:00,740291,1624,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/9a6b19c7157d8d7e34729fd280ce19b4a5b7ccb0/data/2026-mv/latest,301998,40.79449837969123,45064,6.0873359260074755,39288,5.307102207105044,253615,34.25882524574796,599,16,23.96,0.64,frames/capture-026.png
27,27bc512850c6548b55da31344458a11662ffb7ed,2026-09-20T18:40:36.869614+00:00,2026-09-20T20:40:36.869614+02:00,795186,1699,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/27bc512850c6548b55da31344458a11662ffb7ed/data/2026-mv/latest,319497,40.17890154001705,49402,6.212634528273888,42569,5.353338715721856,275043,34.58851136715184,615,16,24.6,0.64,frames/capture-027.png
28,9e9ad95864d49004cccf10333d6c4fb772b01708,2026-09-20T18:43:06.818662+00:00,2026-09-20T20:43:06.818662+02:00,795186,1699,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/9e9ad95864d49004cccf10333d6c4fb772b01708/data/2026-mv/latest,319497,40.17890154001705,49402,6.212634528273888,42569,5.353338715721856,275043,34.58851136715184,631,16,25.24,0.64,frames/capture-028.png
29,803f92d4abf7c7f63d5c89bd8ef5167cce1987d7,2026-09-20T18:45:37.233966+00:00,2026-09-20T20:45:37.233966+02:00,812419,1721,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/803f92d4abf7c7f63d5c89bd8ef5167cce1987d7/data/2026-mv/latest,324375,39.927057343562865,50816,6.254900488541011,43842,5.396476448729042,281978,34.70844478034118,647,19,25.88,0.76,frames/capture-029.png
30,07fad3f417e9d919fd5ec6c767014fd0c596359e,2026-09-20T18:48:37.433930+00:00,2026-09-20T20:48:37.433930+02:00,812419,1721,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/07fad3f417e9d919fd5ec6c767014fd0c596359e/data/2026-mv/latest,324375,39.927057343562865,50816,6.254900488541011,43842,5.396476448729042,281978,34.70844478034118,666,16,26.64,0.64,frames/capture-030.png
