ags,metadata_name,geometry_name,geometry_found,result_found,winner_party,winner_percent
08136034,Iggingen,"Iggingen, Gemeinde",True,True,CDU,41.188
08136035,Jagstzell,"Jagstzell, Gemeinde",True,True,CDU,38.747
08136037,Kirchheim am Ries,"Kirchheim am Ries, Gemeinde",True,True,CDU,43.545
08136038,"Lauchheim, Stadt","Lauchheim, Stadt",True,True,CDU,36.539
08136040,Leinzell,"Leinzell, Gemeinde",True,True,AfD,30.980
08136042,"Lorch, Stadt","Lorch, Stadt",True,True,CDU,32.227
08136043,Mögglingen,"Mögglingen, Gemeinde",True,True,CDU,34.625
08136044,Mutlangen,"Mutlangen, Gemeinde",True,True,CDU,32.350
08136045,"Neresheim, Stadt","Neresheim, Stadt",True,True,CDU,42.162
08136046,Neuler,"Neuler, Gemeinde",True,True,CDU,49.147
08136049,Obergröningen,"Obergröningen, Gemeinde",True,True,CDU,31.086
08136050,"Oberkochen, Stadt","Oberkochen, Stadt",True,True,GRÜNE,30.113
08136060,Rosenberg,"Rosenberg, Gemeinde",True,True,CDU,42.085
08136061,Ruppertshofen,"Ruppertshofen, Gemeinde",True,True,AfD,35.571
08136062,Schechingen,"Schechingen, Gemeinde",True,True,CDU,34.786
08136065,"Schwäbisch Gmünd, Stadt","Schwäbisch Gmünd, Stadt",True,True,GRÜNE,30.761
08136066,Spraitbach,"Spraitbach, Gemeinde",True,True,CDU,31.628
08136068,Stödtlen,"Stödtlen, Gemeinde",True,True,CDU,46.337
08136070,Täferrot,"Täferrot, Gemeinde",True,True,AfD,31.419
08136071,Tannhausen,"Tannhausen, Gemeinde",True,True,CDU,51.325
08136075,Unterschneidheim,"Unterschneidheim, Gemeinde",True,True,CDU,47.749
08136079,Waldstetten,"Waldstetten, Gemeinde",True,True,CDU,38.933
08136082,Westhausen,"Westhausen, Gemeinde",True,True,CDU,37.398
