Berichtszeitpunkt,_RS,Name,Regionalebene,GEBAEUDEART_SYS_1,GEBAEUDEART_SYS_11,GEBAEUDEART_SYS_111,GEBAEUDEART_SYS_112,GEBAEUDEART_SYS_12,ZAHLWOHNGN_HHG__1,ZAHLWOHNGN_HHG__2,ZAHLWOHNGN_HHG__3,ZAHLWOHNGN_HHG__4,ZAHLWOHNGN_HHG__5,BAUJAHR_10JA__01,BAUJAHR_10JA__02,BAUJAHR_10JA__03,BAUJAHR_10JA__04,BAUJAHR_10JA__05,BAUJAHR_10JA__06,BAUJAHR_10JA__07,BAUJAHR_10JA__08,BAUJAHR_10JA__09,BAUJAHR_10JA__10,EIGENTUM__1,EIGENTUM__2,EIGENTUM__3,EIGENTUM__4,EIGENTUM__5,EIGENTUM__6,EIGENTUM__7,EIGENTUM__8,HEIZTYP__1,HEIZTYP__2,HEIZTYP__3,HEIZTYP__4,HEIZTYP__5,HEIZTYP__6,ENERGIETRAEGER__1,ENERGIETRAEGER__2,ENERGIETRAEGER__3,ENERGIETRAEGER__4,ENERGIETRAEGER__5,ENERGIETRAEGER__6,ENERGIETRAEGER__7,NERGIETRAEGER__8,ENERGIETRAEGER__9,NUTZUNG__01,NUTZUNG__02,NUTZUNG__03,NUTZUNG__04,MIETE_EURM2_2__01,MIETE_EURM2_2__02,MIETE_EURM2_2__03,MIETE_EURM2_2__04,MIETE_EURM2_2__05,MIETE_EURM2_2__06,MIETE_EURM2_2__07,MIETE_EURM2_2__08,MIETE_EURM2_2__09,MIETE_EURM2_2__10,WOHNFLAECHE_20S__01,WOHNFLAECHE_20S__02,WOHNFLAECHE_20S__03,WOHNFLAECHE_20S__04,WOHNFLAECHE_20S__05,WOHNFLAECHE_20S__06,WOHNFLAECHE_20S__07,WOHNFLAECHE_20S__08,WOHNFLAECHE_20S__09,WOHNFLAECHE_20S__10,RAUMANZAHL__01,RAUMANZAHL__02,RAUMANZAHL__03,RAUMANZAHL__04,RAUMANZAHL__05,RAUMANZAHL__06,RAUMANZAHL__07,QMMIETE,LEQ,ETQ,FLAECHE,LEERSTAND_INSGESAMT,LEERSTAND_DAUER__1,LEERSTAND_DAUER__2,LEERSTAND_DAUER__3,LEERSTAND_DAUER__4,LEERSTAND_GRUND__1,LEERSTAND_GRUND__2,LEERSTAND_GRUND__3,LEERSTAND_GRUND__4,LEERSTAND_GRUND__5,LEERSTAND_GRUND__6,geo_id
20220515,130715163,Treptower Tollensewinkel,Gemeindeverband,7336,7179,7179,–,159,3965,653,1296,1331,92,1713,1046,716,828,943,681,783,374,108,145,227,5173,6,1740,103,53,5,30,1253,402,70,4437,1021,150,2182,2426,319,4,114,650,231,1253,150,3895,2791,67,580,650,1908,204,23,7,–,3,–,–,3,249,1418,1623,1113,1032,922,412,201,126,248,79,409,1587,2227,1626,776,636,4.8,7.63,58.46,93.33,580,61,49,51,420,179,106,102,58,34,98,130715163
20220515,130715164,Woldegk,Gemeindeverband,3705,3626,3580,42,76,1820,363,536,821,158,809,614,444,638,180,433,279,150,50,94,97,2449,–,1038,8,84,–,29,183,419,31,2727,257,79,2005,1031,220,–,52,70,60,183,79,1806,1371,48,479,377,885,66,34,7,–,–,–,–,–,199,847,725,541,483,462,190,84,53,116,66,272,853,1112,679,414,321,4.61,12.22,57.29,91.13,479,27,28,23,397,240,61,46,10,11,108,130715164
20220515,130720006006,"Bad Doberan, Stadt",Gemeinde,7103,7000,6968,35,100,1942,464,1660,2209,827,1172,948,172,384,1056,612,1223,465,388,685,785,3631,1108,1390,21,117,–,56,3397,406,20,3162,109,7,3372,90,20,–,108,95,15,3397,7,2267,4569,84,183,165,2010,1689,558,111,31,5,–,3,–,463,1877,1983,795,700,638,345,120,79,109,255,1235,1962,1879,1060,378,331,6.46,2.57,33.43,81.78,183,47,41,19,80,70,47,11,8,6,45,13072006
20220515,130720029029,Dummerstorf,Gemeinde,3441,3402,3402,–,41,2129,335,486,228,263,445,289,193,197,297,358,901,437,133,189,155,2737,32,405,81,31,–,–,635,232,39,2381,118,33,1948,394,127,–,181,99,24,635,33,2072,1227,25,109,148,430,463,178,15,3,–,–,–,–,96,437,573,504,655,559,289,124,92,109,90,341,515,873,888,418,318,6.31,2.96,62.81,103.29,109,23,12,10,60,24,18,12,11,–,44,13072029
20220515,130720036036,"Graal-Müritz, Ostseeheilbad",Gemeinde,3344,3309,3309,–,36,738,312,619,771,903,190,116,58,124,637,108,682,1042,277,115,1557,1420,264,–,59,14,31,4,345,94,8,2809,60,25,2766,82,20,–,56,49,–,345,25,1505,1149,594,96,94,399,371,201,55,23,–,–,–,–,239,1186,907,359,237,195,97,49,30,44,86,924,959,717,354,165,143,6.72,3.5,56.84,74.75,96,34,19,8,37,42,14,7,–,13,19,13072036
20220515,130720043043,"Güstrow, Barlachstadt",Gemeinde,17062,16694,16573,123,371,2989,823,4289,7284,1677,2633,3302,376,1705,2234,2428,2655,901,414,416,1228,7699,2628,4550,511,411,9,27,8301,812,119,7692,103,43,8002,463,56,–,118,55,29,8301,43,3578,12724,38,724,897,8200,2996,547,44,25,–,–,6,3,1243,6313,4439,1929,1365,961,400,162,87,166,494,2541,5900,4802,2073,776,480,5.55,4.14,22.31,72.65,724,188,113,70,353,427,126,3,35,21,112,13072043
20220515,130720058058,"Kröpelin, Stadt",Gemeinde,2589,2504,2504,–,86,1186,283,537,521,59,580,406,130,199,460,163,271,229,53,103,92,1960,199,288,4,15,–,26,113,161,11,2183,96,26,2069,143,119,–,61,35,23,113,26,1183,1230,77,101,125,782,260,45,8,3,–,–,3,3,120,570,591,328,351,302,155,48,40,78,72,256,648,745,452,225,196,5.61,3.66,49.62,91.0,101,15,12,9,68,23,38,–,11,11,24,13072058
20220515,130720060060,"Kühlungsborn, Ostseebad, Stadt",Gemeinde,5526,5327,5327,–,198,1348,545,1218,1369,1046,621,664,113,63,641,224,1296,1110,410,382,1797,2566,416,271,165,193,4,114,960,228,31,4262,24,16,4145,111,27,–,205,51,7,960,16,1892,2801,659,168,157,545,1103,672,221,71,20,6,4,3,386,1345,1560,713,486,474,227,116,93,127,249,1092,1561,1318,630,358,314,7.57,3.41,41.32,83.26,168,52,26,25,63,70,37,4,5,14,37,13072060
20220515,130720074074,"Neubukow, Schliemannstadt",Gemeinde,2188,2122,2122,–,64,667,202,420,835,60,371,223,84,93,392,551,208,88,69,108,103,1214,291,471,–,62,–,45,1299,48,23,753,56,11,602,174,27,–,18,45,8,1299,11,744,1347,26,72,90,929,233,90,4,–,3,–,3,–,92,696,570,238,200,171,99,52,28,44,73,310,803,406,304,137,153,5.37,3.1,36.11,82.13,72,9,11,10,42,25,12,4,8,3,18,13072074
20220515,130720091091,Sanitz,Gemeinde,3202,3161,3161,–,43,1654,270,676,353,253,258,222,199,360,233,185,830,317,174,431,254,2181,84,–,233,345,85,20,572,329,45,2162,76,20,2036,208,120,–,173,61,10,572,20,1687,1360,9,147,102,361,547,209,137,6,–,–,–,–,113,465,745,455,515,485,176,115,48,85,28,542,609,719,705,333,271,7.04,4.67,55.77,96.63,147,25,18,9,95,64,30,–,20,9,22,13072091
