Berichtszeitpunkt,_RS,Name,Reg_Ebene,0_Insgesamt_,HH_SIZE_NAT__1,HH_SIZE_NAT__2,HH_SIZE_NAT__3,HH_SIZE_NAT__4,HH_SIZE_NAT__5,HH_SIZE_NAT__6,HHTYP_FAM__1,HHTYP_FAM__2,HHTYP_FAM__3,HHTYP_FAM__4,HHTYP_FAM__5,HHTYP_LEB__1,HHTYP_LEB__2,HHTYP_LEB__3,HHTYP_LEB__4,HHTYP_LEB__5,HHTYP_LEB__6,HHTYP_LEB__7,HHTYP_SENIOR_HH__1,HHTYP_SENIOR_HH__2,HHTYP_SENIOR_HH__3,geo_id
20220515,130720091091,Sanitz,Gemeinde,2970,974,1120,461,311,74,29,974,989,721,248,41,974,1430,–,277,194,51,41,727,278,1961,13072091
20220515,130720093093,Satow,Gemeinde,2598,656,1024,433,339,105,44,656,899,783,211,48,656,1406,–,276,166,49,48,569,314,1712,13072093
20220515,130720106106,"Teterow, Bergringstadt",Gemeinde,4467,2194,1458,477,242,65,27,2194,1202,618,371,85,2194,1566,3,252,309,59,85,1469,321,2678,13072106
20220515,130725251,Bad Doberan-Land,Gemeindeverband,5754,1663,2398,867,583,175,71,1663,2163,1445,395,89,1663,3035,4,567,308,85,89,1591,593,3571,130725251
20220515,130725252,Bützow-Land,Gemeindeverband,7523,3013,2546,1054,575,196,140,3013,2152,1520,688,146,3013,3074,4,594,560,125,146,2078,818,4626,130725252
20220515,130725253,Carbäk,Gemeindeverband,3378,695,1557,583,427,84,30,695,1427,981,223,47,695,2081,4,331,172,53,47,813,347,2219,130725253
20220515,130725254,Gnoien,Gemeindeverband,2833,1174,936,380,218,78,45,1174,802,564,231,57,1174,1156,3,205,176,55,57,790,305,1738,130725254
20220515,130725255,Güstrow-Land,Gemeindeverband,4279,1350,1646,668,438,127,54,1350,1471,1072,319,69,1350,2159,5,379,243,78,69,961,521,2797,130725255
20220515,130725256,Krakow am See,Gemeindeverband,4293,1680,1555,568,344,89,51,1680,1352,826,360,78,1680,1855,–,324,276,81,78,1219,473,2602,130725256
20220515,130725257,Laage,Gemeindeverband,4180,1479,1535,600,397,105,59,1479,1280,983,345,85,1479,1897,–,372,251,97,85,1001,385,2793,130725257
20220515,130725258,Mecklenburgische Schweiz,Gemeindeverband,3573,1167,1351,514,351,126,62,1167,1170,862,304,72,1167,1692,–,333,233,72,72,905,402,2268,130725258
20220515,130725259,Neubukow-Salzhaff,Gemeindeverband,3392,1186,1304,429,329,100,47,1186,1165,719,246,77,1186,1533,9,345,193,52,77,939,409,2044,130725259
20220515,130725260,Rostocker Heide,Gemeindeverband,4506,1265,1802,706,550,150,34,1265,1594,1226,342,83,1265,2358,–,462,272,68,83,961,411,3136,130725260
20220515,130725261,Schwaan,Gemeindeverband,3714,1274,1356,537,391,117,42,1274,1165,914,291,73,1274,1719,–,361,218,71,73,984,384,2345,130725261
