Wahlkreisnummer,Wahlkreisname,Wahlberechtigte,Wahlberechtigte_ohne_Wahlschein,Wahlberechtigte_mit_Wahlschein,Wahlberechtigte_nach_§25_Abs.2_BWO,Wähler(innen),Wähler(innen)_mit_Wahlschein,Ungültige_Erststimmen,Gültige_Erststimmen,CDU_Erststimmen,SPD_Erststimmen,GRÜNE_Erststimmen,FDP_Erststimmen,AfD_Erststimmen,Die_Linke_Erststimmen,dieBasis_Erststimmen,FREIE_WÄHLER_Erststimmen,Tierschutzpartei_Erststimmen,Die_PARTEI_Erststimmen,Volt_Erststimmen,ÖDP_Erststimmen,Bündnis_C_Erststimmen,MLPD_Erststimmen,BÜNDNIS_DEUTSCHLAND_Erststimmen,BSW_Erststimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Erststimmen,Initiative_Gegenwind_Erststimmen,Parteilos_Erststimmen,Volkmar_Raidt_Erststimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Erststimmen,Ungültige_Zweitstimmen,Gültige_Zweitstimmen,CDU_Zweitstimmen,SPD_Zweitstimmen,GRÜNE_Zweitstimmen,FDP_Zweitstimmen,AfD_Zweitstimmen,Die_Linke_Zweitstimmen,dieBasis_Zweitstimmen,FREIE_WÄHLER_Zweitstimmen,Tierschutzpartei_Zweitstimmen,Die_PARTEI_Zweitstimmen,Volt_Zweitstimmen,ÖDP_Zweitstimmen,Bündnis_C_Zweitstimmen,MLPD_Zweitstimmen,BÜNDNIS_DEUTSCHLAND_Zweitstimmen,BSW_Zweitstimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Zweitstimmen,Initiative_Gegenwind_Zweitstimmen,Parteilos_Zweitstimmen,Volkmar_Raidt_Zweitstimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Zweitstimmen
268,Schwäbisch_Hall-Hohenlohe,224446,167873,56573,0,186108,54087,1414,184694,67218,27499,18528,8307,44363,8902,2067,4614,,1719,1477,,,,,,,,,,,1091,185017,58817,24445,18083,10582,46424,9845,1116,2862,1525,896,1105,460,529,70,266,7992,,,,,
269,Backnang-Schwäbisch_Gmünd,175503,123388,52115,0,146415,49860,1266,145149,53064,23870,15499,5844,33940,7486,,3174,,2041,,,,231,,,,,,,,724,145691,47449,20169,15531,7846,33901,8424,568,1733,1251,812,795,287,348,60,198,6319,,,,,
270,Aalen-Heidenheim,217574,150230,67343,1,180563,64576,1735,178828,74010,25137,14872,6425,41337,8987,,4984,,,1878,,,,1198,,,,,,,999,179564,62272,25289,16827,8746,41367,9696,581,2930,1362,699,920,334,219,68,331,7923,,,,,
271,Karlsruhe-Stadt,202812,128100,74712,0,168556,71773,1126,167430,39597,25553,51306,6399,22986,13353,,2015,,1945,4021,,,255,,,,,,,,711,167845,37645,26164,40424,8658,22678,18800,352,993,1393,1020,2745,223,269,95,139,6247,,,,,
272,Karlsruhe-Land,207276,136127,71149,0,176259,68159,1482,174777,68439,26153,22739,7330,32293,8839,,4589,,2084,2311,,,,,,,,,,,854,175405,58133,26361,23377,9723,33394,9790,458,2329,1774,889,1524,255,409,50,178,6761,,,,,
273,Rastatt,200964,137755,63209,0,163973,60389,1516,162457,63116,24569,18274,5727,36075,7608,1677,5411,,,,,,,,,,,,,,1037,162936,54348,23553,17673,8032,36771,8737,713,2610,1614,661,1021,205,143,35,139,6681,,,,,
274,Heidelberg,218284,141497,76787,0,186493,72991,1109,185384,54060,29464,51423,6767,22182,13225,,2566,,2271,3251,,,175,,,,,,,,752,185741,48787,31556,40599,10535,22414,18830,318,1377,1323,913,2100,221,171,52,157,6388,,,,,
275,Mannheim,195336,133673,61663,0,153146,58962,1225,151921,37566,34137,27493,6391,27170,12117,,2626,2759,1441,,,,221,,,,,,,,869,152277,35227,27687,24376,7839,26735,17211,310,1128,1762,820,1491,168,169,82,122,7150,,,,,
276,Odenwald-Tauber,206482,144434,62045,3,171415,59612,1515,169900,72800,24015,13334,5336,39075,7689,1892,5759,,,,,,,,,,,,,,1072,170343,61954,22572,14284,8158,40150,8333,698,3243,1476,700,778,437,235,31,196,7098,,,,,
277,Rhein-Neckar,195510,132640,62865,5,163898,60165,1419,162479,55930,33082,17909,7029,33086,8276,,4754,,,2413,,,,,,,,,,,884,163014,50682,25578,20052,9195,33687,10195,422,2214,1538,740,1437,222,288,35,180,6549,,,,,
278,Bruchsal-Schwetzingen,194216,125400,68816,0,162421,66086,1622,160799,58113,26254,17251,6699,35749,8294,,5673,,,2766,,,,,,,,,,,950,161471,51893,23196,17639,8469,36181,9276,497,2549,2053,797,1263,218,182,35,208,7015,,,,,
279,Pforzheim,212982,145372,67610,0,174321,64782,2289,172032,63762,36222,,9382,46265,11023,,,,,5378,,,,,,,,,,,980,173341,52835,22824,18237,10769,43959,9320,526,1988,2042,705,1343,263,589,51,229,7661,,,,,
280,Calw,197556,139892,57661,3,163682,55270,1274,162408,63399,20945,13187,6838,39325,6312,,5812,2425,,1526,,2021,,618,,,,,,,860,162822,55074,19875,14354,9671,41611,7649,536,2670,1520,505,898,318,1323,28,263,6527,,,,,
281,Freiburg,228338,140956,87377,5,196067,83645,1304,194763,47806,30486,63281,5541,20008,19518,,2574,,1842,3469,,,238,,,,,,,,797,195270,43345,29933,51967,8284,20285,27165,463,1400,1649,903,2139,374,275,74,156,6858,,,,,
282,Lörrach-Müllheim,229946,154258,75676,12,187809,71928,1440,186369,61900,32290,29239,5810,32848,11325,,10174,,,2783,,,,,,,,,,,1023,186786,54617,29802,28451,9156,33961,12651,601,3622,2006,919,1531,351,508,66,198,8346,,,,,
283,Emmendingen-Lahr,218790,146875,71915,0,182311,68970,1439,180872,66984,40204,18328,5695,34282,8504,,6875,,,,,,,,,,,,,,993,181318,58425,28150,23992,8497,35309,10679,509,3352,2073,880,1228,391,284,44,193,7312,,,,,
284,Offenburg,204805,139839,64965,1,167833,61888,1648,166185,63492,21575,20482,7406,34411,8993,,7685,,,2141,,,,,,,,,,,1031,166802,56001,22192,18504,8781,36363,9490,719,3183,1563,683,1164,261,183,29,153,7533,,,,,
285,Rottweil-Tuttlingen,196201,135866,60324,11,161387,57785,1559,159828,62245,17697,12461,8719,44002,7147,,4794,,,2763,,,,,,,,,,,1121,160266,55063,17307,12443,9737,43401,7541,632,2350,1504,637,1265,522,356,30,229,7249,,,,,
286,Schwarzwald-Baar,160376,110242,50128,6,131135,47968,1057,130078,55044,19396,9979,4524,29143,5295,,2933,,,1500,,,,,,,,2264,,,899,130236,44338,16814,12895,6874,30953,6591,481,2066,1243,502,929,234,285,47,167,5817,,,,,
287,Konstanz,207094,127860,79234,0,170740,75812,1166,169574,63922,26451,25390,7363,29587,9987,,3341,,,2911,,,,,,,622,,,,789,169951,51163,22599,28615,9820,31136,12660,466,1929,1349,872,1691,301,219,48,148,6935,,,,,
288,Waldshut,176262,116290,59972,0,145383,57316,978,144405,54467,26958,16809,5169,26710,6839,1372,4321,,,1760,,,,,,,,,,,712,144671,48696,20751,19776,7212,27607,8199,625,2414,1203,540,1184,286,220,41,165,5752,,,,,
289,Reutlingen,197827,135041,62786,0,165466,60173,1264,164202,63189,22440,20868,9115,32479,9118,,4649,,2054,,,,290,,,,,,,,812,164654,53652,21625,20122,10604,34596,9970,443,2127,1310,766,994,269,363,73,195,7545,,,,,
290,Tübingen,199799,130730,69069,0,172184,66300,1167,171017,54252,22149,42176,6242,26760,10521,,3862,,1667,1805,,,,,,,,,1583,,702,171482,48875,23910,32947,8579,27676,16465,407,1756,1152,719,1280,332,278,88,180,6838,,,,,
291,Ulm,223539,153893,69646,0,190020,66741,1240,188780,73225,25220,29344,6700,34990,9375,,3800,2963,,1718,,,218,1227,,,,,,,879,189141,64127,25482,25667,9749,36448,12200,530,2552,1752,737,1289,411,299,76,439,7383,,,,,
292,Biberach,169789,114117,55661,11,144530,53713,1018,143512,58651,18225,14819,5555,32077,5447,,4638,2401,,1699,,,,,,,,,,,784,143746,55026,14951,14064,7298,33316,6496,614,2696,1258,558,885,576,273,29,215,5491,,,,,
293,Bodensee,173329,115933,57396,0,145115,54730,1088,144027,57658,21966,18269,4628,29318,6090,,3535,,,2332,,,231,,,,,,,,753,144362,50586,18778,19560,8289,27290,8002,508,2020,1053,585,1117,313,208,49,154,5850,,,,,
294,Ravensburg,188225,128676,59546,3,157982,56911,1206,156776,60702,17209,23871,8948,29159,9810,,4667,,,2410,,,,,,,,,,,746,157236,55057,18446,20841,8525,29900,10188,718,2679,1232,716,1308,623,270,46,169,6518,,,,,
295,Zollernalb-Sigmaringen,180742,126074,54667,1,148788,52357,1599,147189,54656,28895,7838,6171,38498,5862,,3858,,,,,,317,1094,,,,,,,857,147931,54044,16344,11151,8082,38796,7258,457,2053,1306,613,653,287,232,102,300,6253,,,,,
BW,Baden-Württemberg,7653811,5171989,2481666,156,6382446,2376128,49732,6332714,2280707,1002327,887608,271794,1231221,360037,17282,163869,10548,20293,69168,1798,2021,3574,4821,,590,622,2264,1583,587,32448,6349998,2006866,898778,865738,357539,1256430,429484,21845,86311,55906,28041,49025,12258,11768,2379,7411,260219,,,,,
