Wahlkreisnummer,Wahlkreisname,Wahlberechtigte,Wahlberechtigte_ohne_Wahlschein,Wahlberechtigte_mit_Wahlschein,Wahlberechtigte_nach_§25_Abs.2_BWO,Wähler(innen),Wähler(innen)_mit_Wahlschein,Ungültige_Erststimmen,Gültige_Erststimmen,CDU_Erststimmen,SPD_Erststimmen,GRÜNE_Erststimmen,FDP_Erststimmen,AfD_Erststimmen,Die_Linke_Erststimmen,dieBasis_Erststimmen,FREIE_WÄHLER_Erststimmen,Tierschutzpartei_Erststimmen,Die_PARTEI_Erststimmen,Volt_Erststimmen,ÖDP_Erststimmen,Bündnis_C_Erststimmen,MLPD_Erststimmen,BÜNDNIS_DEUTSCHLAND_Erststimmen,BSW_Erststimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Erststimmen,Initiative_Gegenwind_Erststimmen,Parteilos_Erststimmen,Volkmar_Raidt_Erststimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Erststimmen,Ungültige_Zweitstimmen,Gültige_Zweitstimmen,CDU_Zweitstimmen,SPD_Zweitstimmen,GRÜNE_Zweitstimmen,FDP_Zweitstimmen,AfD_Zweitstimmen,Die_Linke_Zweitstimmen,dieBasis_Zweitstimmen,FREIE_WÄHLER_Zweitstimmen,Tierschutzpartei_Zweitstimmen,Die_PARTEI_Zweitstimmen,Volt_Zweitstimmen,ÖDP_Zweitstimmen,Bündnis_C_Zweitstimmen,MLPD_Zweitstimmen,BÜNDNIS_DEUTSCHLAND_Zweitstimmen,BSW_Zweitstimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Zweitstimmen,Initiative_Gegenwind_Zweitstimmen,Parteilos_Zweitstimmen,Volkmar_Raidt_Zweitstimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Zweitstimmen
283,Emmendingen-Lahr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Offenburg,204663,,,,167895,,1709,166186,63491,21577,20488,7405,34411,8988,,7685,,,2141,,,,,,,,,,,1094,166801,56002,22195,18512,8781,36359,9490,718,3182,1564,683,1164,261,183,29,155,7523,,,,,
285,Rottweil-Tuttlingen,196201,,,,161406,,1586,159820,62241,17696,12461,8723,43998,7144,,4794,,,2763,,,,,,,,,,,1145,160261,55063,17306,12443,9737,43400,7540,632,2350,1504,637,1264,522,356,30,229,7248,,,,,
286,Schwarzwald-Baar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Konstanz,207094,,,,170740,,1169,169571,63922,26451,25390,7363,29584,9987,,3341,,,2911,,,,,,,622,,,,794,169946,51150,22599,28614,9833,31134,12660,466,1929,1349,872,1691,301,219,48,148,6933,,,,,
288,Waldshut,176269,,,,145432,,1029,144403,54464,26960,16809,5169,26708,6839,1372,4321,,,1761,,,,,,,,,,,761,144671,48694,20751,19776,7212,27608,8199,623,2411,1207,541,1184,286,220,41,176,5742,,,,,
289,Reutlingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Tübingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Ulm,223539,,,,190052,,1282,188770,73229,25216,29343,6700,34984,9376,,3799,2962,,1717,,,218,1226,,,,,,,932,189120,64118,25474,25669,9748,36440,12210,530,2556,1751,737,1289,409,297,76,439,7377,,,,,
292,Biberach,169789,,,,144530,,1020,143510,58651,18225,14819,5555,32075,5447,,4638,2401,,1699,,,,,,,,,,,788,143742,55024,14951,14064,7298,33315,6496,613,2696,1258,558,885,576,273,29,215,5491,,,,,
293,Bodensee,173329,,,,145122,,1102,144020,57654,21967,18268,4629,29316,6089,,3534,,,2332,,,231,,,,,,,,770,144352,50583,18778,19560,8286,27287,8004,507,2020,1053,585,1117,313,209,50,153,5847,,,,,
294,Ravensburg,188226,,,,157997,,1224,156773,60700,17209,23870,8948,29160,9809,,4667,,,2410,,,,,,,,,,,761,157236,55057,18446,20841,8525,29900,10188,730,2667,1232,716,1308,623,270,46,169,6518,,,,,
295,Zollernalb-Sigmaringen,180742,,,,148786,,1625,147161,54652,28895,7836,6169,38498,5850,,3849,,,,,,318,1094,,,,,,,865,147921,54043,16343,11151,8083,38788,7256,455,2053,1305,613,654,285,232,101,366,6193,,,,,
BW,Baden-Württemberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
