AGS,Gemeindename,Wahlberechtigte,Wahlberechtigte_ohne_Wahlschein,Wahlberechtigte_mit_Wahlschein,Wahlberechtigte_nach_§25_Abs.2_BWO,Wähler(innen),Wähler(innen)_mit_Wahlschein,Ungültige_Erststimmen,Gültige_Erststimmen,CDU_Erststimmen,SPD_Erststimmen,GRÜNE_Erststimmen,FDP_Erststimmen,AfD_Erststimmen,Die_Linke_Erststimmen,dieBasis_Erststimmen,FREIE_WÄHLER_Erststimmen,Tierschutzpartei_Erststimmen,Die_PARTEI_Erststimmen,Volt_Erststimmen,ÖDP_Erststimmen,Bündnis_C_Erststimmen,MLPD_Erststimmen,BÜNDNIS_DEUTSCHLAND_Erststimmen,BSW_Erststimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Erststimmen,Initiative_Gegenwind_Erststimmen,Parteilos_Erststimmen,Volkmar_Raidt_Erststimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Erststimmen,Ungültige_Zweitstimmen,Gültige_Zweitstimmen,CDU_Zweitstimmen,SPD_Zweitstimmen,GRÜNE_Zweitstimmen,FDP_Zweitstimmen,AfD_Zweitstimmen,Die_Linke_Zweitstimmen,dieBasis_Zweitstimmen,FREIE_WÄHLER_Zweitstimmen,Tierschutzpartei_Zweitstimmen,Die_PARTEI_Zweitstimmen,Volt_Zweitstimmen,ÖDP_Zweitstimmen,Bündnis_C_Zweitstimmen,MLPD_Zweitstimmen,BÜNDNIS_DEUTSCHLAND_Zweitstimmen,BSW_Zweitstimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Zweitstimmen,Initiative_Gegenwind_Zweitstimmen,Parteilos_Zweitstimmen,Volkmar_Raidt_Zweitstimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Zweitstimmen,Initiative_Gegenwind_Zweitstimmen_rel,Parteilos_Erststimmen_rel,Ungültige_Zweitstimmen_rel,Volt_Erststimmen_rel,Volt_Zweitstimmen_rel,BÜNDNIS_DEUTSCHLAND_Zweitstimmen_rel,Initiative_Gegenwind_Erststimmen_rel,BSW_Zweitstimmen_rel,CDU_Erststimmen_rel,dieBasis_Erststimmen_rel,FREIE_WÄHLER_Zweitstimmen_rel,MLPD_Erststimmen_rel,Bündnis_C_Erststimmen_rel,dieBasis_Zweitstimmen_rel,ÖDP_Erststimmen_rel,BÜNDNIS_DEUTSCHLAND_Erststimmen_rel,Tierschutzpartei_Erststimmen_rel,SPD_Erststimmen_rel,Die_PARTEI_Erststimmen_rel,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Erststimmen_rel,Ungültige_Erststimmen_rel,Bündnis_C_Zweitstimmen_rel,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Erststimmen_rel,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Zweitstimmen_rel,Gültige_Erststimmen_rel,FDP_Erststimmen_rel,Tierschutzpartei_Zweitstimmen_rel,CDU_Zweitstimmen_rel,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Zweitstimmen_rel,MLPD_Zweitstimmen_rel,ÖDP_Zweitstimmen_rel,SPD_Zweitstimmen_rel,Volkmar_Raidt_Erststimmen_rel,Die_Linke_Erststimmen_rel,FREIE_WÄHLER_Erststimmen_rel,Die_Linke_Zweitstimmen_rel,FDP_Zweitstimmen_rel,Parteilos_Zweitstimmen_rel,GRÜNE_Zweitstimmen_rel,GRÜNE_Erststimmen_rel,AfD_Zweitstimmen_rel,Gültige_Zweitstimmen_rel,Die_PARTEI_Zweitstimmen_rel,BSW_Erststimmen_rel,Volkmar_Raidt_Zweitstimmen_rel,AfD_Erststimmen_rel
08117026,Göppingen-_Stadt,36407.0,27006,9401,0,28639,8913,286,28353,9142,5161,2869.0,1246,6974,1663,316.0,721.0,,,223.0,,,38.0,,,,,,,,193,28446,8408,4156,2874,1579,7045,1910,122,327,234,131,133,40,36,20,32,1399,,,,,,,,0.006784785207058989,0.007865128910520932,0.004675525557196091,0.001124938479926879,,0.04918090416930324,0.32243501569498817,0.011145205092935493,0.011495465091752794,0.001340246182061863,,0.004288827954721226,,,,0.18202659330582302,,,0.010087116001834021,0.0012655557899177389,,,1.0,0.04394596691708109,0.008226112634465302,0.29557758560078745,,0.0007030865499542993,0.0014061730999085987,0.1461013850805034,,0.05865340528339153,0.025429407822805346,0.06714476552063559,0.055508683118891934,,0.10103353722843282,0.10118858674567065,0.24766223722140196,1.0,0.004605216902200661,,,0.2459704440447219
08117028,Gruibingen,1571.0,1058,513,0,1335,493,4,1331,494,237,125.0,72,303,54,12.0,27.0,,,6.0,,,1.0,,,,,,,,3,1332,438,192,114,90,305,70,12,19,9,6,5,2,5,0,1,64,,,,,,,,0.0022522522522522522,0.004507888805409466,0.0037537537537537537,0.0007507507507507507,,0.04804804804804805,0.3711495116453794,0.009015777610818933,0.014264264264264264,0.0007513148009015778,,0.009009009009009009,,,,0.17806160781367392,,,0.003005259203606311,0.0037537537537537537,,,1.0,0.054094665664913597,0.006756756756756757,0.32882882882882886,,0.0,0.0015015015015015015,0.14414414414414414,,0.0405709992486852,0.0202854996243426,0.052552552552552555,0.06756756756756757,,0.08558558558558559,0.09391435011269722,0.22897897897897898,1.0,0.0045045045045045045,,,0.22764838467317805
08117029,Hattenhofen,2272.0,1532,740,0,1995,712,7,1988,732,291,201.0,109,485,75,20.0,55.0,,,17.0,,,3.0,,,,,,,,6,1989,676,256,186,141,497,70,10,29,21,3,13,6,3,0,1,77,,,,,,,,0.0030165912518853697,0.008551307847082495,0.006535947712418301,0.0005027652086475615,,0.038712921065862244,0.3682092555331992,0.01006036217303823,0.014580191050779286,0.0015090543259557343,,0.005027652086475616,,,,0.14637826961770622,,,0.0035211267605633804,0.0015082956259426848,,,1.0,0.05482897384305835,0.010558069381598794,0.33986928104575165,,0.0,0.0030165912518853697,0.12870789341377575,,0.03772635814889336,0.02766599597585513,0.03519356460532931,0.07088989441930618,,0.09351432880844646,0.1011066398390342,0.2498743086978381,1.0,0.0015082956259426848,,,0.24396378269617705
08117030,Heiningen,3711.0,2629,1082,0,3192,1054,28,3164,1167,569,356.0,141,649,118,49.0,93.0,,,19.0,,,3.0,,,,,,,,17,3175,1103,527,325,176,674,140,14,50,24,17,14,4,4,3,2,98,,,,,,,,0.005354330708661417,0.0060050568900126425,0.004409448818897638,0.0006299212598425197,,0.030866141732283466,0.3688369152970923,0.015486725663716814,0.015748031496062992,0.0009481668773704172,,0.004409448818897638,,,,0.17983565107458913,,,0.008849557522123894,0.0012598425196850393,,,1.0,0.044563843236409606,0.007559055118110236,0.3474015748031496,,0.0009448818897637795,0.0012598425196850393,0.16598425196850394,,0.03729456384323641,0.029393173198482933,0.04409448818897638,0.055433070866141736,,0.10236220472440945,0.1125158027812895,0.21228346456692915,1.0,0.005354330708661417,,,0.20512010113780024
08117031,Hohenstadt,586.0,409,177,0,508,171,4,504,237,41,39.0,25,117,24,3.0,9.0,,,7.0,,,2.0,,,,,,,,1,507,195,41,44,39,124,23,0,8,4,1,6,2,0,1,1,18,,,,,,,,0.0019723865877712033,0.013888888888888888,0.011834319526627219,0.0019723865877712033,,0.03550295857988166,0.47023809523809523,0.005952380952380952,0.015779092702169626,0.003968253968253968,,0.0,,,,0.08134920634920635,,,0.007936507936507936,0.0,,,1.0,0.0496031746031746,0.007889546351084813,0.38461538461538464,,0.0019723865877712033,0.0039447731755424065,0.08086785009861933,,0.047619047619047616,0.017857142857142856,0.045364891518737675,0.07692307692307693,,0.08678500986193294,0.07738095238095238,0.2445759368836292,1.0,0.0019723865877712033,,,0.23214285714285715
08117033,Kuchen,3959.0,2634,1325,0,3224,1276,32,3192,1227,616,254.0,114,694,131,35.0,101.0,,,18.0,,,2.0,,,,,,,,17,3207,1091,538,279,149,718,157,13,54,29,17,12,4,3,0,5,138,,,,,,,,0.005300904271905207,0.005639097744360902,0.0037418147801683817,0.0015590894917368258,,0.04303086997193639,0.3843984962406015,0.010964912280701754,0.01683816651075772,0.0006265664160401002,,0.004053632678515747,,,,0.19298245614035087,,,0.010025062656641603,0.0009354536950420954,,,1.0,0.03571428571428571,0.00904271905207359,0.34019332709697536,,0.0,0.0012472715933894605,0.16775802931088243,,0.041040100250626564,0.03164160401002506,0.04895541004053633,0.04646086685375741,,0.08699719363891488,0.07957393483709273,0.22388525101340817,1.0,0.005300904271905207,,,0.2174185463659148
08117035,Mühlhausen_im_Täle,789.0,544,245,0,680,236,1,679,305,83,50.0,17,168,26,5.0,18.0,,,7.0,,,0.0,,,,,,,,3,677,259,76,49,37,173,31,4,10,8,4,2,0,0,0,0,24,,,,,,,,0.004431314623338257,0.010309278350515464,0.0029542097488921715,0.0,,0.03545051698670606,0.4491899852724595,0.007363770250368188,0.014771048744460856,0.0,,0.005908419497784343,,,,0.12223858615611193,,,0.0014727540500736377,0.0,,,1.0,0.025036818851251842,0.011816838995568686,0.3825701624815362,,0.0,0.0,0.11225997045790251,,0.03829160530191458,0.026509572901325478,0.04579025110782865,0.05465288035450517,,0.0723781388478582,0.07363770250368189,0.2555391432791728,1.0,0.005908419497784343,,,0.24742268041237114
08117037,Ottenbach,1878.0,1319,559,0,1677,542,10,1667,769,227,125.0,86,333,38,11.0,61.0,,,13.0,,,4.0,,,,,,,,5,1672,717,181,154,101,357,48,6,30,9,1,9,1,1,0,5,52,,,,,,,,0.0029904306220095694,0.007798440311937612,0.005382775119617225,0.0029904306220095694,,0.03110047846889952,0.46130773845230955,0.0065986802639472104,0.017942583732057416,0.0023995200959808036,,0.0035885167464114833,,,,0.13617276544691062,,,0.00599880023995201,0.0005980861244019139,,,1.0,0.05158968206358728,0.005382775119617225,0.4288277511961722,,0.0,0.0005980861244019139,0.10825358851674641,,0.022795440911817635,0.03659268146370726,0.028708133971291867,0.060406698564593304,,0.09210526315789473,0.07498500299940011,0.21351674641148324,1.0,0.0005980861244019139,,,0.19976004799040192
08117038,Rechberghausen,4081.0,2557,1524,0,3480,1478,20,3460,1328,588,353.0,166,716,144,33.0,114.0,,,12.0,,,6.0,,,,,,,,19,3461,1240,477,361,212,741,152,15,53,31,20,14,5,4,3,3,130,,,,,,,,0.005489742848887605,0.003468208092485549,0.004045073678127709,0.0008668015024559376,,0.037561398439757296,0.3838150289017341,0.00953757225433526,0.015313493210054898,0.0017341040462427746,,0.004334007512279688,,,,0.1699421965317919,,,0.005780346820809248,0.0011557353366079169,,,1.0,0.04797687861271676,0.008956948858711355,0.3582779543484542,,0.0008668015024559376,0.001444669170759896,0.13782143889049409,,0.04161849710982659,0.032947976878612714,0.04391794279110084,0.06125397284021959,,0.10430511412886449,0.10202312138728324,0.21409997110661658,1.0,0.005778676683039584,,,0.2069364161849711
08117042,Salach,5376.0,3910,1466,0,4392,1413,37,4355,1640,776,335.0,180,961,231,51.0,145.0,,,32.0,,,4.0,,,,,,,,24,4368,1485,643,375,226,1003,234,22,59,33,21,22,7,3,2,2,231,,,,,,,,0.005494505494505495,0.0073478760045924225,0.005036630036630037,0.0004578754578754579,,0.052884615384615384,0.37657864523536166,0.011710677382319174,0.013507326007326008,0.0009184845005740528,,0.005036630036630037,,,,0.17818599311136624,,,0.008495981630309988,0.0006868131868131869,,,1.0,0.04133180252583238,0.007554945054945055,0.3399725274725275,,0.0004578754578754579,0.0016025641025641025,0.1472069597069597,,0.05304247990815155,0.03329506314580941,0.05357142857142857,0.051739926739926737,,0.08585164835164835,0.07692307692307693,0.2296245421245421,1.0,0.004807692307692308,,,0.2206659012629162
08117043,Schlat,1347.0,894,453,0,1195,445,11,1184,466,189,129.0,54,228,43,18.0,48.0,,,9.0,,,0.0,,,,,,,,8,1187,428,163,127,84,240,52,9,21,8,3,8,4,2,0,2,36,,,,,,,,0.006739679865206402,0.007601351351351352,0.006739679865206402,0.0016849199663016006,,0.030328559393428812,0.3935810810810811,0.015202702702702704,0.017691659646166806,0.0,,0.007582139848357203,,,,0.15962837837837837,,,0.009290540540540541,0.0016849199663016006,,,1.0,0.04560810810810811,0.006739679865206402,0.36057287278854255,,0.0,0.003369839932603201,0.13732097725358045,,0.036317567567567564,0.04054054054054054,0.04380791912384162,0.07076663858466722,,0.10699241786015164,0.1089527027027027,0.2021903959561921,1.0,0.002527379949452401,,,0.19256756756756757
08117044,Schlierbach,2804.0,1799,1005,0,2427,968,14,2413,1010,326,237.0,123,487,101,29.0,87.0,,,9.0,,,4.0,,,,,,,,8,2419,895,312,241,148,525,96,12,46,19,8,6,3,6,4,2,96,,,,,,,,0.0033071517155849523,0.0037297969332780773,0.0024803637866887144,0.0008267879288962381,,0.03968582058701943,0.41856610029009533,0.012018234562784915,0.019016122364613478,0.0016576875259013675,,0.004960727573377429,,,,0.13510153336096145,,,0.005801906340654786,0.0024803637866887144,,,1.0,0.050973891421467056,0.007854485324514262,0.3699875981810666,,0.0016535758577924762,0.0012401818933443572,0.12897891690781316,,0.04185661002900953,0.03605470368835474,0.03968582058701943,0.06118230673832162,,0.0996279454319967,0.09821798590965602,0.2170318313352625,1.0,0.0033071517155849523,,,0.2018234562784915
08117049,Süßen-_Stadt,6805.0,4967,1838,0,5655,1790,47,5608,2017,1002,455.0,243,1328,299,70.0,133.0,,,55.0,,,6.0,,,,,,,,31,5624,1811,841,488,335,1379,318,26,59,41,21,32,17,7,1,9,239,,,,,,,,0.005512091038406828,0.009807417974322396,0.005689900426742532,0.001600284495021337,,0.04249644381223329,0.3596647646219686,0.012482168330955777,0.010490753911806544,0.0010699001426533524,,0.004623044096728307,,,,0.17867332382310985,,,0.008380884450784594,0.0012446657183499289,,,1.0,0.043330955777460774,0.007290184921763869,0.3220128022759602,,0.00017780938833570413,0.00302275960170697,0.14953769559032717,,0.053316690442225395,0.02371611982881598,0.05654338549075391,0.05956614509246088,,0.08677098150782361,0.08113409415121256,0.245199146514936,1.0,0.0037339971550497866,,,0.23680456490727533
08117051,Uhingen-_Stadt,9845.0,7133,2712,0,8163,2564,70,8093,2700,1440,718.0,329,2134,342,118.0,236.0,,,69.0,,,7.0,,,,,,,,51,8112,2458,1182,736,458,2125,412,48,123,62,39,39,19,13,2,7,389,,,,,,,,0.00628698224852071,0.008525886568639566,0.004807692307692308,0.0008629191321499013,,0.04795364891518738,0.33362164833806995,0.014580501668108242,0.015162721893491124,0.000864945014209811,,0.005917159763313609,,,,0.17793154578030396,,,0.008649450142098109,0.0016025641025641025,,,1.0,0.04065241566786112,0.007642998027613412,0.3030078895463511,,0.0002465483234714004,0.0023422090729783036,0.14571005917159763,,0.04225874212282219,0.029161003336216483,0.050788954635108484,0.05645956607495069,,0.09072978303747535,0.08871864574323489,0.2619575936883629,1.0,0.004807692307692308,,,0.2636846657605338
08117053,Wäschenbeuren,3089.0,2057,1032,0,2724,1004,19,2705,1104,434,268.0,100,547,99,35.0,95.0,,,18.0,,,5.0,,,,,,,,10,2714,999,378,305,153,588,106,13,50,16,9,10,3,2,0,5,77,,,,,,,,0.0036845983787767134,0.006654343807763401,0.0036845983787767134,0.0018422991893883567,,0.028371407516580693,0.4081330868761553,0.012939001848428836,0.018422991893883568,0.0018484288354898336,,0.004789977892409728,,,,0.16044362292051756,,,0.007024029574861368,0.0007369196757553427,,,1.0,0.036968576709796676,0.0058953574060427415,0.36809137803979364,,0.0,0.001105379513633014,0.13927781871775977,,0.036598890942698706,0.03512014787430684,0.039056742815033164,0.056374355195283714,,0.11238025055268976,0.09907578558225508,0.21665438467207074,1.0,0.003316138540899042,,,0.2022181146025878
08117055,Wangen,2449.0,1629,820,0,2099,790,10,2089,777,393,242.0,74,438,77,18.0,56.0,,,13.0,,,1.0,,,,,,,,12,2087,733,331,250,113,434,92,8,28,14,17,5,3,4,1,2,52,,,,,,,,0.005749880210828941,0.006223073240785065,0.0023957834211787254,0.0009583133684714902,,0.024916147580258743,0.3719483006223073,0.00861656294877932,0.013416387158600862,0.0004786979415988511,,0.003833253473885961,,,,0.1881282910483485,,,0.004786979415988511,0.0019166267369429804,,,1.0,0.03542364767831498,0.006708193579300431,0.3512218495448011,,0.0004791566842357451,0.0014374700527072352,0.15860086248203162,,0.03685974150311154,0.026807084729535663,0.04408241494968855,0.05414470531863919,,0.11978917105893627,0.11584490186692198,0.20795400095831337,1.0,0.008145663632007666,,,0.20966969842029679
08117058,Wiesensteig-_Stadt,1402.0,901,501,0,1146,488,4,1142,530,154,93.0,30,228,60,10.0,25.0,,,12.0,,,0.0,,,,,,,,2,1144,471,119,106,51,234,64,1,16,24,6,5,3,0,0,0,44,,,,,,,,0.0017482517482517483,0.010507880910683012,0.004370629370629371,0.0,,0.038461538461538464,0.46409807355516636,0.008756567425569177,0.013986013986013986,0.0,,0.0008741258741258741,,,,0.13485113835376533,,,0.0035026269702276708,0.0,,,1.0,0.02626970227670753,0.02097902097902098,0.4117132867132867,,0.0,0.0026223776223776225,0.10402097902097902,,0.05253940455341506,0.021891418563922942,0.055944055944055944,0.044580419580419584,,0.09265734265734266,0.08143607705779335,0.20454545454545456,1.0,0.005244755244755245,,,0.19964973730297722
08117060,Zell_unter_Aichelberg,2404.0,1522,882,0,2106,853,17,2089,874,279,226.0,63,475,88,18.0,50.0,,,14.0,,,2.0,,,,,,,,7,2099,801,251,217,105,483,97,12,26,16,7,5,3,1,2,0,73,,,,,,,,0.0033349213911386373,0.006701771182383916,0.0023820867079561697,0.0,,0.034778465936160075,0.41838200095739586,0.00861656294877932,0.012386850881372083,0.0009573958831977022,,0.005717008099094807,,,,0.13355672570607946,,,0.008137865007180469,0.0004764173415912339,,,1.0,0.03015797032072762,0.007622677465459742,0.38161029061457835,,0.0009528346831824678,0.0014292520247737017,0.11958075273939972,,0.0421254188606989,0.023934897079942556,0.04621248213434969,0.050023820867079564,,0.10338256312529776,0.10818573480134036,0.230109575988566,1.0,0.0033349213911386373,,,0.2273815222594543
08117061,Lauterstein-_Stadt,1893.0,1181,712,0,1623,688,11,1612,794,196,84.0,57,386,41,11.0,36.0,,,6.0,,,1.0,,,,,,,,9,1614,681,197,76,93,406,56,4,19,13,5,6,1,1,0,0,56,,,,,,,,0.0055762081784386614,0.0037220843672456576,0.0037174721189591076,0.0,,0.03469640644361834,0.49255583126550867,0.006823821339950372,0.011771995043370507,0.0006203473945409429,,0.0024783147459727386,,,,0.12158808933002481,,,0.006823821339950372,0.0006195786864931846,,,1.0,0.03535980148883375,0.0080545229244114,0.42193308550185876,,0.0,0.0006195786864931846,0.12205700123915737,,0.02543424317617866,0.022332506203473945,0.03469640644361834,0.05762081784386617,,0.04708798017348203,0.052109181141439205,0.25154894671623296,1.0,0.0030978934324659233,,,0.23945409429280398
08118001,Affalterbach,3192.0,2013,1179,0,2831,1140,13,2818,1211,442,290.0,117,522,104,31.0,63.0,,,26.0,12.0,,,,,,,,,,10,2821,1027,410,308,200,556,115,19,34,16,11,16,4,5,0,2,98,,,,,,,,0.003544842254519674,0.009226401703335699,0.005671747607231478,0.0007089684509039348,,0.034739454094292806,0.4297374024130589,0.01100070972320795,0.012052463665366891,,,0.00673520028358738,0.0042583392476933995,,,0.15684882895670688,,,0.0046132008516678496,0.001772421127259837,,,1.0,0.04151880766501065,0.005671747607231478,0.3640552995391705,,0.0,0.0014179369018078695,0.14533853243530662,,0.036905606813342796,0.022356281050390347,0.04076568592697625,0.07089684509039348,,0.10918114143920596,0.10290986515259049,0.19709322935129386,1.0,0.0038993264799716413,,,0.18523775727466288
08118003,Asperg-_Stadt,8945.0,5766,3179,0,7582,3042,49,7533,2809,1108,1262.0,349,1220,486,55.0,152.0,,,67.0,25.0,,,,,,,,,,28,7554,2509,1119,1152,473,1190,515,23,96,55,38,43,18,7,2,7,307,,,,,,,,0.003706645485835319,0.008894198858356564,0.005692348424675669,0.0009266613714588298,,0.04064072014826582,0.37289260586751627,0.007301208018053896,0.012708498808578236,,,0.0030447445062218694,0.0033187309172972254,,,0.14708615425461305,,,0.006504712597902562,0.0009266613714588298,,,1.0,0.04632948360546927,0.007280910775747948,0.33214191157002915,,0.00026476039184537993,0.0023828435266084196,0.14813343923749006,,0.06451612903225806,0.020177883977167133,0.06817580090018534,0.06261583267143235,,0.15250198570293885,0.16752953670516393,0.15753243314800106,1.0,0.005030447445062218,,,0.16195406876410462
08118006,Benningen_am_Neckar,4453.0,2898,1555,0,3909,1500,16,3893,1500,661,550.0,170,582,198,39.0,126.0,,,59.0,8.0,,,,,,,,,,11,3898,1290,618,603,275,614,207,16,61,26,19,33,3,3,0,1,129,,,,,,,,0.0028219599794766545,0.015155407141022348,0.008465879938429965,0.0002565418163160595,,0.03309389430477168,0.3853069612124326,0.010017980991523246,0.01564905079527963,,,0.004104669061056952,0.0020549704597996403,,,0.1697919342409453,,,0.004109940919599281,0.0007696254489481786,,,1.0,0.043668122270742356,0.006670087224217547,0.33093894304771676,,0.0,0.0007696254489481786,0.1585428424833248,,0.050860518880041096,0.03236578474184434,0.05310415597742432,0.07054899948691637,,0.15469471523858389,0.14127921911122526,0.15751667521806054,1.0,0.0048742945100051305,,,0.14949910095042385
08118007,Besigheim-_Stadt,8843.0,6273,2570,0,7662,2489,53,7609,2959,1077,1075.0,265,1387,416,58.0,190.0,,,150.0,32.0,,,,,,,,,,38,7624,2428,1098,1105,429,1473,448,30,123,62,30,62,18,9,2,4,303,,,,,,,,0.004984260230849948,0.01971349717439874,0.00813221406086044,0.0005246589716684155,,0.039742917103882475,0.3888815875936391,0.007622552240767512,0.01613326337880378,,,0.003934942287513116,0.004205546063871731,,,0.14154290971218295,,,0.0069654356682875545,0.001180482686253935,,,1.0,0.034827178341437774,0.00813221406086044,0.3184679958027282,,0.00026232948583420777,0.00236096537250787,0.14401888772298008,,0.0546720988303325,0.024970429754238403,0.05876180482686254,0.05626967471143757,,0.1449370409233998,0.14128006308319097,0.193205666316894,1.0,0.003934942287513116,,,0.18228413720594033
08118010,Bönnigheim-_Stadt,5450.0,3592,1858,0,4680,1794,25,4655,1903,681,520.0,167,821,272,44.0,125.0,,,102.0,20.0,,,,,,,,,,20,4660,1591,694,530,267,856,283,23,81,48,16,62,17,9,2,3,178,,,,,,,,0.004291845493562232,0.021911922663802364,0.013304721030042918,0.0006437768240343348,,0.03819742489270386,0.4088077336197637,0.00945220193340494,0.01738197424892704,,,0.004935622317596567,0.004296455424274973,,,0.14629430719656283,,,0.0053705692803437165,0.0019313304721030042,,,1.0,0.03587540279269603,0.010300429184549357,0.34141630901287556,,0.00042918454935622315,0.003648068669527897,0.14892703862660944,,0.058431793770139635,0.02685284640171858,0.06072961373390558,0.057296137339055794,,0.11373390557939914,0.11170784103114931,0.18369098712446352,1.0,0.0034334763948497852,,,0.17636949516648764
08118011,Ditzingen-_Stadt,15907.0,10468,5439,0,13663,5238,65,13598,5330,2118,2068.0,703,2097,689,105.0,310.0,,,120.0,58.0,,,,,,,,,,53,13610,4700,2027,2091,897,2161,745,57,204,102,52,104,22,19,4,7,418,,,,,,,,0.003894195444526084,0.008824827180467716,0.007641440117560617,0.0005143277002204262,,0.03071271124173402,0.3919694072657744,0.007721723782909251,0.014988978692138133,,,0.004188096987509184,0.004265333137226063,,,0.15575819973525518,,,0.004780114722753346,0.0013960323291697281,,,1.0,0.05169877923224003,0.007494489346069067,0.3453343130051433,,0.00029390154298310065,0.0016164584864070536,0.14893460690668625,,0.05066921606118547,0.022797470216208267,0.054739162380602495,0.06590742101396033,,0.15363703159441586,0.1520811884100603,0.15878030859662012,1.0,0.0038207200587803084,,,0.15421385497867335
08118012,Eberdingen,4614.0,3009,1605,0,4023,1528,26,3997,1654,490,503.0,211,742,222,43.0,90.0,,,30.0,12.0,,,,,,,,,,21,4002,1403,503,481,281,760,238,18,83,29,16,28,13,7,1,4,137,,,,,,,,0.005247376311844078,0.007505629221916437,0.0069965017491254375,0.0009995002498750624,,0.03423288355822089,0.41381035776832625,0.01075806855141356,0.020739630184907546,,,0.004497751124437781,0.003002251688766575,,,0.12259194395796848,,,0.006504878658994246,0.0017491254372813594,,,1.0,0.05278959219414561,0.007246376811594203,0.3505747126436782,,0.0002498750624687656,0.003248375812093953,0.1256871564217891,,0.05554165624218164,0.022516887665749313,0.059470264867566215,0.07021489255372314,,0.12018990504747626,0.1258443832874656,0.18990504747626186,1.0,0.00399800099950025,,,0.18563922942206654
08118014,Erdmannhausen,3710.0,2285,1425,0,3201,1350,14,3187,1216,477,475.0,124,541,183,30.0,80.0,,,37.0,24.0,,,,,,,,,,6,3195,1051,506,471,168,559,173,17,45,20,17,27,15,1,2,3,120,,,,,,,,0.0018779342723004694,0.011609664261060559,0.008450704225352112,0.0009389671361502347,,0.03755868544600939,0.3815500470662065,0.009413241292751805,0.014084507042253521,,,0.005320813771517997,0.007530593034201443,,,0.14967053655475368,,,0.004392845936617509,0.00031298904538341156,,,1.0,0.038908064010040794,0.006259780907668232,0.3289514866979656,,0.0006259780907668231,0.004694835680751174,0.15837245696400626,,0.057420771885786,0.025101976780671477,0.0541471048513302,0.05258215962441314,,0.14741784037558686,0.1490429871352369,0.17496087636932708,1.0,0.005320813771517997,,,0.16975211797929088
08118015,Erligheim,2258.0,1440,818,0,1974,788,17,1957,786,313,199.0,65,368,98,24.0,51.0,,,41.0,12.0,,,,,,,,,,16,1958,690,294,224,91,378,100,11,38,22,11,28,4,3,0,6,58,,,,,,,,0.008171603677221655,0.020950434338272865,0.014300306435137897,0.0030643513789581204,,0.0296220633299285,0.401635155850792,0.012263668880940215,0.01940755873340143,,,0.0056179775280898875,0.0061318344404701075,,,0.1599386816555953,,,0.008686765457332652,0.0015321756894790602,,,1.0,0.03321410321921308,0.011235955056179775,0.35240040858018384,,0.0,0.0020429009193054137,0.1501532175689479,,0.050076647930505876,0.026060296371997957,0.05107252298263534,0.04647599591419816,,0.11440245148110317,0.10168625447112928,0.1930541368743616,1.0,0.0056179775280898875,,,0.1880429228410833
08118016,Freudental,1891.0,1321,570,0,1630,548,10,1620,611,276,214.0,65,276,80,32.0,27.0,,,31.0,8.0,,,,,,,,,,5,1625,514,260,218,102,288,99,10,18,14,6,17,4,1,0,2,72,,,,,,,,0.003076923076923077,0.019135802469135803,0.010461538461538461,0.0012307692307692308,,0.044307692307692305,0.3771604938271605,0.019753086419753086,0.011076923076923076,,,0.006153846153846154,0.0049382716049382715,,,0.17037037037037037,,,0.006172839506172839,0.0006153846153846154,,,1.0,0.040123456790123455,0.008615384615384615,0.3163076923076923,,0.0,0.0024615384615384616,0.16,,0.04938271604938271,0.016666666666666666,0.06092307692307692,0.06276923076923077,,0.13415384615384615,0.13209876543209875,0.17723076923076922,1.0,0.0036923076923076922,,,0.17037037037037037
08118018,Gemmrigheim,3016.0,1931,1085,0,2551,1054,16,2535,1056,306,233.0,115,569,112,23.0,60.0,,,52.0,9.0,,,,,,,,,,14,2537,866,322,267,169,591,106,13,50,18,9,16,3,4,2,1,100,,,,,,,,0.005518328734726055,0.020512820512820513,0.0063066614111154905,0.00039416633819471815,,0.039416633819471816,0.4165680473372781,0.009072978303747535,0.019708316909735908,,,0.005124162396531336,0.0035502958579881655,,,0.12071005917159763,,,0.00631163708086785,0.0015766653527788726,,,1.0,0.045364891518737675,0.007094994087504927,0.34134804887662595,,0.0007883326763894363,0.0011824990145841545,0.12692156089869924,,0.04418145956607495,0.023668639053254437,0.04178163184864012,0.06661411115490737,,0.10524241229798975,0.09191321499013806,0.23295230587307844,1.0,0.0035474970437524636,,,0.2244575936883629
