ags,municipality_name,vote_type,party,votes,percent
08128014,"Boxberg, Stadt",Erststimmen,AfD,28,43.1
08128014,"Boxberg, Stadt",Zweitstimmen,AfD,29,43.9
08128020,"Creglingen, Stadt",Erststimmen,AfD,106,29.1
08128020,"Creglingen, Stadt",Zweitstimmen,AfD,113,30.8
08128039,"Freudenberg, Stadt",Erststimmen,AfD,45,15.7
08128039,"Freudenberg, Stadt",Zweitstimmen,AfD,47,16.5
08128047,"Grünsfeld, Stadt",Erststimmen,AfD,36,17.0
08128047,"Grünsfeld, Stadt",Zweitstimmen,AfD,39,18.4
08128058,Igersheim,Erststimmen,AfD,71,21.5
08128058,Igersheim,Zweitstimmen,AfD,83,24.9
08128061,Königheim,Erststimmen,AfD,117,17.6
08128061,Königheim,Zweitstimmen,AfD,120,18.1
08128064,"Külsheim, Stadt",Erststimmen,AfD,13,23.6
08128064,"Külsheim, Stadt",Zweitstimmen,AfD,12,22.6
08128082,"Niederstetten, Stadt",Erststimmen,AfD,29,26.1
08128082,"Niederstetten, Stadt",Zweitstimmen,AfD,29,26.9
08128126,"Weikersheim, Stadt",Erststimmen,AfD,13,21.0
08128126,"Weikersheim, Stadt",Zweitstimmen,AfD,13,21.0
08128128,Werbach,Erststimmen,AfD,45,24.1
08128128,Werbach,Zweitstimmen,AfD,47,24.9
08128131,"Wertheim, Stadt",Erststimmen,AfD,58,30.7
08128131,"Wertheim, Stadt",Zweitstimmen,AfD,57,30.2
08128139,"Lauda-Königshofen, Stadt",Erststimmen,AfD,67,24.2
08128139,"Lauda-Königshofen, Stadt",Zweitstimmen,AfD,60,21.7
08135010,Dischingen,Erststimmen,AfD,83,33.6
08135010,Dischingen,Zweitstimmen,AfD,79,31.7
08135016,"Giengen an der Brenz, Stadt",Erststimmen,AfD,246,29.9
08135016,"Giengen an der Brenz, Stadt",Zweitstimmen,AfD,232,28.1
08135020,"Herbrechtingen, Stadt",Erststimmen,AfD,23,34.8
08135020,"Herbrechtingen, Stadt",Zweitstimmen,AfD,22,33.3
08135026,Nattheim,Erststimmen,AfD,50,33.6
08135026,Nattheim,Zweitstimmen,AfD,47,31.1
08135027,"Niederstotzingen, Stadt",Erststimmen,AfD,48,34.0
08135027,"Niederstotzingen, Stadt",Zweitstimmen,AfD,47,33.1
08135031,Sontheim an der Brenz,Erststimmen,AfD,80,29.6
08135031,Sontheim an der Brenz,Zweitstimmen,AfD,81,30.0
08216013,Forbach,Erststimmen,AfD,31,23.7
08216013,Forbach,Zweitstimmen,AfD,29,22.1
08235006,"Altensteig, Stadt",Erststimmen,AfD,76,29.1
08235006,"Altensteig, Stadt",Zweitstimmen,AfD,75,29.0
08235020,Ebhausen,Erststimmen,AfD,24,21.1
08235020,Ebhausen,Zweitstimmen,AfD,26,22.8
08235050,Neuweiler,Erststimmen,AfD,85,31.5
08235050,Neuweiler,Zweitstimmen,AfD,90,33.1
08236031,Kieselbronn,Erststimmen,AfD,46,15.6
08236031,Kieselbronn,Zweitstimmen,AfD,42,14.2
08236038,"Maulbronn, Stadt",Erststimmen,AfD,71,24.7
08236038,"Maulbronn, Stadt",Zweitstimmen,AfD,76,26.4
08237040,"Horb am Neckar, Stadt",Erststimmen,AfD,52,32.9
08237040,"Horb am Neckar, Stadt",Zweitstimmen,AfD,54,34.2
08237072,Wörnersberg,Erststimmen,AfD,31,34.4
08237072,Wörnersberg,Zweitstimmen,AfD,27,30.0
08237073,Seewald,Erststimmen,AfD,17,22.4
08237073,Seewald,Zweitstimmen,AfD,18,23.7
08316011,"Emmendingen, Stadt",Erststimmen,AfD,11,12.0
08316011,"Emmendingen, Stadt",Zweitstimmen,AfD,12,13.0
08316055,Winden im Elztal,Erststimmen,AfD,26,12.8
08316055,Winden im Elztal,Zweitstimmen,AfD,30,14.8
08325012,"Dornhan, Stadt",Erststimmen,AfD,35,37.6
08325012,"Dornhan, Stadt",Zweitstimmen,AfD,35,37.6
08325015,Epfendorf,Erststimmen,AfD,17,29.3
08325015,Epfendorf,Zweitstimmen,AfD,17,29.3
08325057,"Sulz am Neckar, Stadt",Erststimmen,AfD,77,27.6
08325057,"Sulz am Neckar, Stadt",Zweitstimmen,AfD,78,28.1
08326003,"Bad Dürrheim, Stadt",Erststimmen,AfD,55,35.3
08326003,"Bad Dürrheim, Stadt",Zweitstimmen,AfD,56,35.4
08326005,"Blumberg, Stadt",Erststimmen,AfD,48,24.9
08326005,"Blumberg, Stadt",Zweitstimmen,AfD,57,29.5
08326006,"Bräunlingen, Stadt",Erststimmen,AfD,19,43.2
08326006,"Bräunlingen, Stadt",Zweitstimmen,AfD,18,40.9
08326017,"Furtwangen im Schwarzwald, Stadt",Erststimmen,AfD,12,17.1
08326017,"Furtwangen im Schwarzwald, Stadt",Zweitstimmen,AfD,11,15.7
08326052,"St. Georgen im Schwarzwald, Stadt",Erststimmen,AfD,76,16.7
08326052,"St. Georgen im Schwarzwald, Stadt",Zweitstimmen,AfD,69,15.0
08326060,"Triberg im Schwarzwald, Stadt",Erststimmen,AfD,45,30.8
08326060,"Triberg im Schwarzwald, Stadt",Zweitstimmen,AfD,44,30.1
08326068,"Vöhrenbach, Stadt",Erststimmen,AfD,27,26.5
08326068,"Vöhrenbach, Stadt",Zweitstimmen,AfD,28,27.5
08327050,"Tuttlingen, Stadt",Erststimmen,AfD,86,22.9
08327050,"Tuttlingen, Stadt",Zweitstimmen,AfD,84,22.5
08336069,"Rheinfelden (Baden), Stadt",Erststimmen,AfD,23,21.7
08336069,"Rheinfelden (Baden), Stadt",Zweitstimmen,AfD,21,19.4
08336087,"Todtnau, Stadt",Erststimmen,AfD,60,16.4
08336087,"Todtnau, Stadt",Zweitstimmen,AfD,60,16.4
08336089,Tunau,Erststimmen,AfD,21,24.1
08336089,Tunau,Zweitstimmen,AfD,21,24.1
08336091,"Weil am Rhein, Stadt",Erststimmen,AfD,60,13.0
08336091,"Weil am Rhein, Stadt",Zweitstimmen,AfD,64,13.8
08336103,"Zell im Wiesental, Stadt",Erststimmen,AfD,11,13.8
08336103,"Zell im Wiesental, Stadt",Zweitstimmen,AfD,11,13.8
08336107,Kleines Wiesental,Erststimmen,AfD,58,30.2
08336107,Kleines Wiesental,Zweitstimmen,AfD,56,28.9
08337062,Klettgau,Erststimmen,AfD,50,24.5
08337062,Klettgau,Zweitstimmen,AfD,50,24.5
08337096,"Bad Säckingen, Stadt",Erststimmen,AfD,51,22.5
08337096,"Bad Säckingen, Stadt",Zweitstimmen,AfD,47,20.7
08337116,"Wehr, Stadt",Erststimmen,AfD,59,31.4
08337116,"Wehr, Stadt",Zweitstimmen,AfD,58,30.7
08337125,Küssaberg,Erststimmen,AfD,16,29.1
08337125,Küssaberg,Zweitstimmen,AfD,16,30.8
08416036,"Rottenburg am Neckar, Stadt",Erststimmen,AfD,105,26.6
08416036,"Rottenburg am Neckar, Stadt",Zweitstimmen,AfD,104,26.2
08425020,"Blaubeuren, Stadt",Erststimmen,AfD,25,25.8
08425020,"Blaubeuren, Stadt",Zweitstimmen,AfD,27,28.1
08425033,"Ehingen (Donau), Stadt",Erststimmen,AfD,90,18.8
08425033,"Ehingen (Donau), Stadt",Zweitstimmen,AfD,97,20.5
08425052,Grundsheim,Erststimmen,AfD,26,19.8
08425052,Grundsheim,Zweitstimmen,AfD,25,19.1
08425075,Lonsee,Erststimmen,AfD,17,23.6
08425075,Lonsee,Zweitstimmen,AfD,21,28.8
08425085,Nerenstetten,Erststimmen,AfD,42,22.0
08425085,Nerenstetten,Zweitstimmen,AfD,45,23.4
08425090,Obermarchtal,Erststimmen,AfD,37,23.4
08425090,Obermarchtal,Zweitstimmen,AfD,37,23.7
08426008,Altheim,Erststimmen,AfD,29,34.1
08426008,Altheim,Zweitstimmen,AfD,30,35.7
08426097,"Riedlingen, Stadt",Erststimmen,AfD,22,15.6
08426097,"Riedlingen, Stadt",Zweitstimmen,AfD,27,19.1
08426108,Schwendi,Erststimmen,AfD,67,27.9
08426108,Schwendi,Zweitstimmen,AfD,66,27.4
08426121,Unlingen,Erststimmen,AfD,23,32.9
08426121,Unlingen,Zweitstimmen,AfD,24,34.3
08426124,Uttenweiler,Erststimmen,AfD,63,30.1
08426124,Uttenweiler,Zweitstimmen,AfD,67,31.9
08426128,Warthausen,Erststimmen,AfD,40,20.6
08426128,Warthausen,Zweitstimmen,AfD,37,19.2
08437031,"Gammertingen, Stadt",Erststimmen,AfD,43,31.4
08437031,"Gammertingen, Stadt",Zweitstimmen,AfD,40,29.2
08437078,"Meßkirch, Stadt",Erststimmen,AfD,43,20.7
08437078,"Meßkirch, Stadt",Zweitstimmen,AfD,47,22.8
08437088,"Pfullendorf, Stadt",Erststimmen,AfD,12,13.2
08437088,"Pfullendorf, Stadt",Zweitstimmen,AfD,13,14.6
08437100,"Bad Saulgau, Stadt",Erststimmen,AfD,133,21.8
08437100,"Bad Saulgau, Stadt",Zweitstimmen,AfD,135,22.0
08437114,"Veringenstadt, Stadt",Erststimmen,AfD,17,25.4
08437114,"Veringenstadt, Stadt",Zweitstimmen,AfD,17,25.8
08126011,Bretzfeld,Erststimmen,BSW,0,0.0
08126011,Bretzfeld,Zweitstimmen,BSW,0,0.0
08126020,Dörzbach,Erststimmen,BSW,0,0.0
08126020,Dörzbach,Zweitstimmen,BSW,2,2.0
08126039,"Ingelfingen, Stadt",Erststimmen,BSW,0,0.0
08126039,"Ingelfingen, Stadt",Zweitstimmen,BSW,0,0.0
08126046,"Künzelsau, Stadt",Erststimmen,BSW,0,0.0
08126046,"Künzelsau, Stadt",Zweitstimmen,BSW,1,0.5
08126056,Mulfingen,Erststimmen,BSW,0,0.0
08126056,Mulfingen,Zweitstimmen,BSW,2,0.5
08126072,Schöntal,Erststimmen,BSW,3,1.7
08126072,Schöntal,Zweitstimmen,BSW,3,1.7
08126085,"Waldenburg, Stadt",Erststimmen,BSW,1,0.6
08126085,"Waldenburg, Stadt",Zweitstimmen,BSW,1,0.6
08127008,Blaufelden,Erststimmen,BSW,2,1.3
08127008,Blaufelden,Zweitstimmen,BSW,3,2.0
08127014,"Crailsheim, Stadt",Erststimmen,BSW,3,2.9
08127014,"Crailsheim, Stadt",Zweitstimmen,BSW,0,0.0
08127032,"Gerabronn, Stadt",Erststimmen,BSW,5,1.6
08127032,"Gerabronn, Stadt",Zweitstimmen,BSW,6,2.0
08127047,"Langenburg, Stadt",Erststimmen,BSW,0,0.0
08127047,"Langenburg, Stadt",Zweitstimmen,BSW,2,1.5
08127059,Michelfeld,Erststimmen,BSW,4,2.8
08127059,Michelfeld,Zweitstimmen,BSW,2,1.4
08127062,Oberrot,Erststimmen,BSW,3,1.4
08127062,Oberrot,Zweitstimmen,BSW,3,1.4
08127073,Satteldorf,Erststimmen,BSW,4,0.8
08127073,Satteldorf,Zweitstimmen,BSW,4,0.8
08127100,Rosengarten,Erststimmen,BSW,2,1.7
08127100,Rosengarten,Zweitstimmen,BSW,2,1.7
08128007,"Bad Mergentheim, Stadt",Erststimmen,BSW,,
08128007,"Bad Mergentheim, Stadt",Zweitstimmen,BSW,1,0.7
08128014,"Boxberg, Stadt",Erststimmen,BSW,,
08128014,"Boxberg, Stadt",Zweitstimmen,BSW,1,1.5
08128020,"Creglingen, Stadt",Erststimmen,BSW,,
08128020,"Creglingen, Stadt",Zweitstimmen,BSW,5,1.4
08128039,"Freudenberg, Stadt",Erststimmen,BSW,,
08128039,"Freudenberg, Stadt",Zweitstimmen,BSW,2,0.7
08128047,"Grünsfeld, Stadt",Erststimmen,BSW,,
08128047,"Grünsfeld, Stadt",Zweitstimmen,BSW,0,0.0
08128058,Igersheim,Erststimmen,BSW,,
08128058,Igersheim,Zweitstimmen,BSW,1,0.3
08128061,Königheim,Erststimmen,BSW,,
08128061,Königheim,Zweitstimmen,BSW,2,0.3
08128064,"Külsheim, Stadt",Erststimmen,BSW,,
08128064,"Külsheim, Stadt",Zweitstimmen,BSW,1,1.9
08128082,"Niederstetten, Stadt",Erststimmen,BSW,,
08128082,"Niederstetten, Stadt",Zweitstimmen,BSW,0,0.0
08128126,"Weikersheim, Stadt",Erststimmen,BSW,,
08128126,"Weikersheim, Stadt",Zweitstimmen,BSW,0,0.0
08128128,Werbach,Erststimmen,BSW,,
08128128,Werbach,Zweitstimmen,BSW,2,1.1
08128131,"Wertheim, Stadt",Erststimmen,BSW,,
08128131,"Wertheim, Stadt",Zweitstimmen,BSW,3,1.6
08128139,"Lauda-Königshofen, Stadt",Erststimmen,BSW,,
08128139,"Lauda-Königshofen, Stadt",Zweitstimmen,BSW,2,0.7
08135010,Dischingen,Erststimmen,BSW,0,0.0
08135010,Dischingen,Zweitstimmen,BSW,2,0.8
08135016,"Giengen an der Brenz, Stadt",Erststimmen,BSW,7,0.9
08135016,"Giengen an der Brenz, Stadt",Zweitstimmen,BSW,11,1.3
08135020,"Herbrechtingen, Stadt",Erststimmen,BSW,1,1.5
08135020,"Herbrechtingen, Stadt",Zweitstimmen,BSW,1,1.5
08135026,Nattheim,Erststimmen,BSW,2,1.3
08135026,Nattheim,Zweitstimmen,BSW,2,1.3
08135027,"Niederstotzingen, Stadt",Erststimmen,BSW,2,1.4
08135027,"Niederstotzingen, Stadt",Zweitstimmen,BSW,1,0.7
08135031,Sontheim an der Brenz,Erststimmen,BSW,3,1.1
08135031,Sontheim an der Brenz,Zweitstimmen,BSW,3,1.1
08216013,Forbach,Erststimmen,BSW,,
08216013,Forbach,Zweitstimmen,BSW,0,0.0
08235006,"Altensteig, Stadt",Erststimmen,BSW,,
08235006,"Altensteig, Stadt",Zweitstimmen,BSW,2,0.8
08235020,Ebhausen,Erststimmen,BSW,,
08235020,Ebhausen,Zweitstimmen,BSW,0,0.0
08235050,Neuweiler,Erststimmen,BSW,,
08235050,Neuweiler,Zweitstimmen,BSW,3,1.1
08236031,Kieselbronn,Erststimmen,BSW,,
08236031,Kieselbronn,Zweitstimmen,BSW,2,0.7
08236038,"Maulbronn, Stadt",Erststimmen,BSW,,
08236038,"Maulbronn, Stadt",Zweitstimmen,BSW,1,0.3
08237040,"Horb am Neckar, Stadt",Erststimmen,BSW,1,0.6
08237040,"Horb am Neckar, Stadt",Zweitstimmen,BSW,1,0.6
08237072,Wörnersberg,Erststimmen,BSW,0,0.0
08237072,Wörnersberg,Zweitstimmen,BSW,3,3.3
08237073,Seewald,Erststimmen,BSW,1,1.3
08237073,Seewald,Zweitstimmen,BSW,0,0.0
08316011,"Emmendingen, Stadt",Erststimmen,BSW,,
08316011,"Emmendingen, Stadt",Zweitstimmen,BSW,0,0.0
08316055,Winden im Elztal,Erststimmen,BSW,,
08316055,Winden im Elztal,Zweitstimmen,BSW,0,0.0
08325012,"Dornhan, Stadt",Erststimmen,BSW,2,2.2
08325012,"Dornhan, Stadt",Zweitstimmen,BSW,2,2.2
08325015,Epfendorf,Erststimmen,BSW,3,5.2
08325015,Epfendorf,Zweitstimmen,BSW,2,3.4
08325057,"Sulz am Neckar, Stadt",Erststimmen,BSW,2,0.7
08325057,"Sulz am Neckar, Stadt",Zweitstimmen,BSW,0,0.0
08326003,"Bad Dürrheim, Stadt",Erststimmen,BSW,,
08326003,"Bad Dürrheim, Stadt",Zweitstimmen,BSW,1,0.6
08326005,"Blumberg, Stadt",Erststimmen,BSW,,
08326005,"Blumberg, Stadt",Zweitstimmen,BSW,2,1.0
08326006,"Bräunlingen, Stadt",Erststimmen,BSW,,
08326006,"Bräunlingen, Stadt",Zweitstimmen,BSW,1,2.3
08326017,"Furtwangen im Schwarzwald, Stadt",Erststimmen,BSW,,
08326017,"Furtwangen im Schwarzwald, Stadt",Zweitstimmen,BSW,2,2.9
08326052,"St. Georgen im Schwarzwald, Stadt",Erststimmen,BSW,,
08326052,"St. Georgen im Schwarzwald, Stadt",Zweitstimmen,BSW,4,0.9
08326060,"Triberg im Schwarzwald, Stadt",Erststimmen,BSW,,
08326060,"Triberg im Schwarzwald, Stadt",Zweitstimmen,BSW,1,0.7
08326068,"Vöhrenbach, Stadt",Erststimmen,BSW,,
08326068,"Vöhrenbach, Stadt",Zweitstimmen,BSW,2,2.0
08327050,"Tuttlingen, Stadt",Erststimmen,BSW,,
08327050,"Tuttlingen, Stadt",Zweitstimmen,BSW,6,1.6
08336069,"Rheinfelden (Baden), Stadt",Erststimmen,BSW,,
08336069,"Rheinfelden (Baden), Stadt",Zweitstimmen,BSW,5,4.6
08336087,"Todtnau, Stadt",Erststimmen,BSW,,
08336087,"Todtnau, Stadt",Zweitstimmen,BSW,4,1.1
08336089,Tunau,Erststimmen,BSW,,
08336089,Tunau,Zweitstimmen,BSW,0,0.0
08336091,"Weil am Rhein, Stadt",Erststimmen,BSW,,
08336091,"Weil am Rhein, Stadt",Zweitstimmen,BSW,4,0.9
08336103,"Zell im Wiesental, Stadt",Erststimmen,BSW,,
08336103,"Zell im Wiesental, Stadt",Zweitstimmen,BSW,0,0.0
08336107,Kleines Wiesental,Erststimmen,BSW,,
08336107,Kleines Wiesental,Zweitstimmen,BSW,3,1.5
08337062,Klettgau,Erststimmen,BSW,,
08337062,Klettgau,Zweitstimmen,BSW,2,1.0
08337096,"Bad Säckingen, Stadt",Erststimmen,BSW,,
08337096,"Bad Säckingen, Stadt",Zweitstimmen,BSW,3,1.3
08337116,"Wehr, Stadt",Erststimmen,BSW,,
08337116,"Wehr, Stadt",Zweitstimmen,BSW,5,2.6
08337125,Küssaberg,Erststimmen,BSW,,
08337125,Küssaberg,Zweitstimmen,BSW,0,0.0
08416036,"Rottenburg am Neckar, Stadt",Erststimmen,BSW,4,1.0
08416036,"Rottenburg am Neckar, Stadt",Zweitstimmen,BSW,6,1.5
08425020,"Blaubeuren, Stadt",Erststimmen,BSW,1,1.0
08425020,"Blaubeuren, Stadt",Zweitstimmen,BSW,1,1.0
08425033,"Ehingen (Donau), Stadt",Erststimmen,BSW,3,0.6
08425033,"Ehingen (Donau), Stadt",Zweitstimmen,BSW,3,0.6
08425052,Grundsheim,Erststimmen,BSW,0,0.0
08425052,Grundsheim,Zweitstimmen,BSW,1,0.8
08425075,Lonsee,Erststimmen,BSW,0,0.0
08425075,Lonsee,Zweitstimmen,BSW,0,0.0
08425085,Nerenstetten,Erststimmen,BSW,4,2.1
08425085,Nerenstetten,Zweitstimmen,BSW,5,2.6
08425090,Obermarchtal,Erststimmen,BSW,0,0.0
08425090,Obermarchtal,Zweitstimmen,BSW,0,0.0
08426008,Altheim,Erststimmen,BSW,,
08426008,Altheim,Zweitstimmen,BSW,2,2.4
08426097,"Riedlingen, Stadt",Erststimmen,BSW,,
08426097,"Riedlingen, Stadt",Zweitstimmen,BSW,2,1.4
08426108,Schwendi,Erststimmen,BSW,,
08426108,Schwendi,Zweitstimmen,BSW,5,2.1
08426121,Unlingen,Erststimmen,BSW,,
08426121,Unlingen,Zweitstimmen,BSW,0,0.0
08426124,Uttenweiler,Erststimmen,BSW,,
08426124,Uttenweiler,Zweitstimmen,BSW,4,1.9
08426128,Warthausen,Erststimmen,BSW,,
08426128,Warthausen,Zweitstimmen,BSW,0,0.0
08437031,"Gammertingen, Stadt",Erststimmen,BSW,5,3.6
08437031,"Gammertingen, Stadt",Zweitstimmen,BSW,2,1.5
08437078,"Meßkirch, Stadt",Erststimmen,BSW,0,0.0
08437078,"Meßkirch, Stadt",Zweitstimmen,BSW,0,0.0
08437088,"Pfullendorf, Stadt",Erststimmen,BSW,0,0.0
08437088,"Pfullendorf, Stadt",Zweitstimmen,BSW,0,0.0
08437100,"Bad Saulgau, Stadt",Erststimmen,BSW,9,1.5
08437100,"Bad Saulgau, Stadt",Zweitstimmen,BSW,6,1.0
08437114,"Veringenstadt, Stadt",Erststimmen,BSW,2,3.0
08437114,"Veringenstadt, Stadt",Zweitstimmen,BSW,3,4.5
08135010,Dischingen,Erststimmen,BÜNDNIS DEUTSCHLAND,0,0.0
08135010,Dischingen,Zweitstimmen,BÜNDNIS DEUTSCHLAND,,
08135016,"Giengen an der Brenz, Stadt",Erststimmen,BÜNDNIS DEUTSCHLAND,2,0.2
08135016,"Giengen an der Brenz, Stadt",Zweitstimmen,BÜNDNIS DEUTSCHLAND,,
08135020,"Herbrechtingen, Stadt",Erststimmen,BÜNDNIS DEUTSCHLAND,0,0.0
08135020,"Herbrechtingen, Stadt",Zweitstimmen,BÜNDNIS DEUTSCHLAND,,
08135026,Nattheim,Erststimmen,BÜNDNIS DEUTSCHLAND,0,0.0
08135026,Nattheim,Zweitstimmen,BÜNDNIS DEUTSCHLAND,,
08135027,"Niederstotzingen, Stadt",Erststimmen,BÜNDNIS DEUTSCHLAND,0,0.0
08135027,"Niederstotzingen, Stadt",Zweitstimmen,BÜNDNIS DEUTSCHLAND,,
08135031,Sontheim an der Brenz,Erststimmen,BÜNDNIS DEUTSCHLAND,1,0.4
08135031,Sontheim an der Brenz,Zweitstimmen,BÜNDNIS DEUTSCHLAND,,
08425020,"Blaubeuren, Stadt",Erststimmen,BÜNDNIS DEUTSCHLAND,0,0.0
08425020,"Blaubeuren, Stadt",Zweitstimmen,BÜNDNIS DEUTSCHLAND,,
08425033,"Ehingen (Donau), Stadt",Erststimmen,BÜNDNIS DEUTSCHLAND,0,0.0
08425033,"Ehingen (Donau), Stadt",Zweitstimmen,BÜNDNIS DEUTSCHLAND,,
08425052,Grundsheim,Erststimmen,BÜNDNIS DEUTSCHLAND,1,0.8
08425052,Grundsheim,Zweitstimmen,BÜNDNIS DEUTSCHLAND,,
08425075,Lonsee,Erststimmen,BÜNDNIS DEUTSCHLAND,0,0.0
08425075,Lonsee,Zweitstimmen,BÜNDNIS DEUTSCHLAND,,
08425085,Nerenstetten,Erststimmen,BÜNDNIS DEUTSCHLAND,0,0.0
08425085,Nerenstetten,Zweitstimmen,BÜNDNIS DEUTSCHLAND,,
08425090,Obermarchtal,Erststimmen,BÜNDNIS DEUTSCHLAND,0,0.0
08425090,Obermarchtal,Zweitstimmen,BÜNDNIS DEUTSCHLAND,,
08126011,Bretzfeld,Erststimmen,Bündnis C,,
08126011,Bretzfeld,Zweitstimmen,Bündnis C,0,0.0
08126020,Dörzbach,Erststimmen,Bündnis C,,
08126020,Dörzbach,Zweitstimmen,Bündnis C,1,1.0
08126039,"Ingelfingen, Stadt",Erststimmen,Bündnis C,,
08126039,"Ingelfingen, Stadt",Zweitstimmen,Bündnis C,2,1.3
08126046,"Künzelsau, Stadt",Erststimmen,Bündnis C,,
08126046,"Künzelsau, Stadt",Zweitstimmen,Bündnis C,0,0.0
08126056,Mulfingen,Erststimmen,Bündnis C,,
08126056,Mulfingen,Zweitstimmen,Bündnis C,1,0.3
08126072,Schöntal,Erststimmen,Bündnis C,,
08126072,Schöntal,Zweitstimmen,Bündnis C,0,0.0
08126085,"Waldenburg, Stadt",Erststimmen,Bündnis C,,
08126085,"Waldenburg, Stadt",Zweitstimmen,Bündnis C,2,1.2
08127008,Blaufelden,Erststimmen,Bündnis C,,
08127008,Blaufelden,Zweitstimmen,Bündnis C,0,0.0
08127014,"Crailsheim, Stadt",Erststimmen,Bündnis C,0,0.0
08127014,"Crailsheim, Stadt",Zweitstimmen,Bündnis C,0,0.0
08127032,"Gerabronn, Stadt",Erststimmen,Bündnis C,,
08127032,"Gerabronn, Stadt",Zweitstimmen,Bündnis C,2,0.7
08127047,"Langenburg, Stadt",Erststimmen,Bündnis C,,
08127047,"Langenburg, Stadt",Zweitstimmen,Bündnis C,0,0.0
08127059,Michelfeld,Erststimmen,Bündnis C,2,1.4
08127059,Michelfeld,Zweitstimmen,Bündnis C,2,1.4
08127062,Oberrot,Erststimmen,Bündnis C,1,0.5
08127062,Oberrot,Zweitstimmen,Bündnis C,1,0.5
08127073,Satteldorf,Erststimmen,Bündnis C,2,0.4
08127073,Satteldorf,Zweitstimmen,Bündnis C,2,0.4
08127100,Rosengarten,Erststimmen,Bündnis C,1,0.8
08127100,Rosengarten,Zweitstimmen,Bündnis C,0,0.0
08128007,"Bad Mergentheim, Stadt",Erststimmen,Bündnis C,,
08128007,"Bad Mergentheim, Stadt",Zweitstimmen,Bündnis C,0,0.0
08128014,"Boxberg, Stadt",Erststimmen,Bündnis C,,
08128014,"Boxberg, Stadt",Zweitstimmen,Bündnis C,0,0.0
08128020,"Creglingen, Stadt",Erststimmen,Bündnis C,,
08128020,"Creglingen, Stadt",Zweitstimmen,Bündnis C,0,0.0
08128039,"Freudenberg, Stadt",Erststimmen,Bündnis C,,
08128039,"Freudenberg, Stadt",Zweitstimmen,Bündnis C,0,0.0
08128047,"Grünsfeld, Stadt",Erststimmen,Bündnis C,,
08128047,"Grünsfeld, Stadt",Zweitstimmen,Bündnis C,0,0.0
08128058,Igersheim,Erststimmen,Bündnis C,,
08128058,Igersheim,Zweitstimmen,Bündnis C,2,0.6
08128061,Königheim,Erststimmen,Bündnis C,,
08128061,Königheim,Zweitstimmen,Bündnis C,0,0.0
08128064,"Külsheim, Stadt",Erststimmen,Bündnis C,,
08128064,"Külsheim, Stadt",Zweitstimmen,Bündnis C,0,0.0
08128082,"Niederstetten, Stadt",Erststimmen,Bündnis C,,
08128082,"Niederstetten, Stadt",Zweitstimmen,Bündnis C,0,0.0
08128126,"Weikersheim, Stadt",Erststimmen,Bündnis C,,
08128126,"Weikersheim, Stadt",Zweitstimmen,Bündnis C,0,0.0
08128128,Werbach,Erststimmen,Bündnis C,,
08128128,Werbach,Zweitstimmen,Bündnis C,0,0.0
08128131,"Wertheim, Stadt",Erststimmen,Bündnis C,,
08128131,"Wertheim, Stadt",Zweitstimmen,Bündnis C,0,0.0
08128139,"Lauda-Königshofen, Stadt",Erststimmen,Bündnis C,,
08128139,"Lauda-Königshofen, Stadt",Zweitstimmen,Bündnis C,0,0.0
