Berichtszeitpunkt,_RS,Name,Regionalebene,SCHULABS_STP,SCHULABS_STP__M,SCHULABS_STP__W,SCHULABS_STP__1,SCHULABS_STP__1_M,SCHULABS_STP__1_W,SCHULABS_STP__2,SCHULABS_STP__2_M,SCHULABS_STP__2_W,SCHULABS_STP__21,SCHULABS_STP__21_M,SCHULABS_STP__21_W,SCHULABS_STP__22,SCHULABS_STP__22_M,SCHULABS_STP__22_W,SCHULABS_STP__23,SCHULABS_STP__23_M,SCHULABS_STP__23_W,SCHULABS_STP__24,SCHULABS_STP__24_M,SCHULABS_STP__24_W,SCHULABS_STP__3,SCHULABS_STP__3_M,SCHULABS_STP__3_W,ags
20220515,150885051250,Nemsdorf-Göhrendorf,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15088250
20220515,150885051265,Obhausen,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15088265
20220515,150885051340,"Schraplau, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15088340
20220515,150885051355,Steigra,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15088355
20220515,150890015015,"Aschersleben, Stadt",Gemeinde,22180,10430,11740,770,420,360,20050,9380,10670,3030,1400,1620,7870,3420,4440,4260,2050,2210,4900,2500,2400,1350,640,710,15089015
20220515,150890026026,"Barby, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15089026
20220515,150890030030,"Bernburg (Saale), Stadt",Gemeinde,27070,12950,14120,910,540,370,24730,11630,13100,4390,2090,2300,8970,4050,4920,6330,3130,3200,5030,2350,2680,1440,780,660,15089030
20220515,150890042042,Bördeland,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15089042
20220515,150890055055,"Calbe (Saale), Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15089055
20220515,150890175175,"Hecklingen, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15089175
20220515,150890195195,"Könnern, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15089195
20220515,150890235235,"Nienburg (Saale), Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15089235
20220515,150890305305,"Schönebeck (Elbe), Stadt",Gemeinde,26130,12530,13600,1000,450,550,23560,11340,12210,4920,2270,2650,8150,3850,4300,5440,2770,2680,5040,2450,2590,1580,740,840,15089305
20220515,150890307307,"Seeland, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15089307
20220515,150890310310,"Staßfurt, Stadt",Gemeinde,20610,9920,10690,950,430,530,18370,8740,9630,3600,1770,1830,7570,3710,3870,4420,2110,2310,2770,1160,1620,1290,750,530,15089310
20220515,150895051041,Bördeaue,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15089041
20220515,150895051043,Börde-Hakel,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15089043
20220515,150895051045,Borne,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15089045
20220515,150895051075,"Egeln, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15089075
20220515,150895051365,Wolmirsleben,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15089365
20220515,150895052005,"Alsleben (Saale), Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15089005
20220515,150895052130,Giersleben,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15089130
20220515,150895052165,"Güsten, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15089165
20220515,150895052185,Ilberstedt,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15089185
20220515,150895052245,Plötzkau,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15089245
20220515,150900070070,"Bismark (Altmark), Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090070
20220515,150900225225,"Havelberg, Hansestadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090225
20220515,150900415415,"Osterburg (Altmark), Hansestadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090415
20220515,150900535535,"Stendal, Hansestadt",Gemeinde,30750,14710,16040,930,390,540,28130,13430,14700,4630,2360,2270,9640,4440,5200,6690,3240,3460,7170,3390,3780,1690,890,800,15090535
20220515,150900546546,"Tangerhütte, Stadt",Gemeinde,8780,4300,4480,/,/,/,8190,3890,4300,1270,620,650,3230,1510,1730,1920,910,1010,1770,860,910,420,300,/,15090546
20220515,150900550550,"Tangermünde, Stadt",Gemeinde,8690,4170,4520,/,/,/,8050,3810,4250,1270,590,680,3240,1580,1660,1430,720,710,2120,920,1200,480,270,/,15090550
20220515,150905051010,"Arneburg, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090010
20220515,150905051135,Eichstedt (Altmark),Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090135
20220515,150905051180,Goldbeck,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090180
20220515,150905051220,Hassel,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090220
20220515,150905051245,Hohenberg-Krusemark,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090245
20220515,150905051270,Iden,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090270
20220515,150905051435,Rochau,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090435
20220515,150905051610,"Werben (Elbe), Hansestadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090610
20220515,150905052285,Kamern,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090285
20220515,150905052310,Klietz,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090310
20220515,150905052445,"Sandau (Elbe), Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090445
20220515,150905052485,Schollene,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090485
20220515,150905052500,Schönhausen (Elbe),Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090500
20220515,150905052631,Wust-Fischbeck,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090631
20220515,150905053003,Aland,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090003
20220515,150905053007,Altmärkische Höhe,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090007
20220515,150905053008,Altmärkische Wische,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090008
20220515,150905053520,"Seehausen (Altmark), Hansestadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090520
20220515,150905053635,Zehrental,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15090635
20220515,150910010010,"Annaburg, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15091010
20220515,150910020020,"Bad Schmiedeberg, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15091020
20220515,150910060060,"Coswig (Anhalt), Stadt",Gemeinde,9780,4830,4940,270,/,/,9020,4430,4590,1630,880,750,3680,1890,1790,2030,950,1080,1680,710,970,490,270,220,15091060
20220515,150910110110,"Gräfenhainichen, Stadt",Gemeinde,10020,4790,5240,450,290,/,9220,4350,4880,1470,680,780,3220,1560,1670,2870,1330,1540,1660,780,890,350,/,/,15091110
20220515,150910145145,"Jessen (Elster), Stadt",Gemeinde,11760,5840,5920,440,220,230,10690,5300,5390,1820,760,1050,3780,1870,1920,2710,1470,1240,2380,1210,1180,630,320,310,15091145
20220515,150910160160,"Kemberg, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15091160
20220515,150910241241,"Oranienbaum-Wörlitz, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15091241
20220515,150910375375,"Wittenberg, Lutherstadt",Gemeinde,38760,18630,20140,1020,550,470,35890,17100,18780,6420,2960,3450,12460,5710,6750,8640,4320,4320,8370,4110,4270,1850,970,880,15091375
20220515,150910391391,"Zahna-Elster, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15091391
