Berichtszeitpunkt,_RS,Name,Regionalebene,GEBAEUDEART_SYS_1,GEBAEUDEART_SYS_11,GEBAEUDEART_SYS_111,GEBAEUDEART_SYS_112,GEBAEUDEART_SYS_12,ZAHLWOHNGN_HHG__1,ZAHLWOHNGN_HHG__2,ZAHLWOHNGN_HHG__3,ZAHLWOHNGN_HHG__4,ZAHLWOHNGN_HHG__5,BAUJAHR_10JA__01,BAUJAHR_10JA__02,BAUJAHR_10JA__03,BAUJAHR_10JA__04,BAUJAHR_10JA__05,BAUJAHR_10JA__06,BAUJAHR_10JA__07,BAUJAHR_10JA__08,BAUJAHR_10JA__09,BAUJAHR_10JA__10,EIGENTUM__1,EIGENTUM__2,EIGENTUM__3,EIGENTUM__4,EIGENTUM__5,EIGENTUM__6,EIGENTUM__7,EIGENTUM__8,HEIZTYP__1,HEIZTYP__2,HEIZTYP__3,HEIZTYP__4,HEIZTYP__5,HEIZTYP__6,ENERGIETRAEGER__1,ENERGIETRAEGER__2,ENERGIETRAEGER__3,ENERGIETRAEGER__4,ENERGIETRAEGER__5,ENERGIETRAEGER__6,ENERGIETRAEGER__7,NERGIETRAEGER__8,ENERGIETRAEGER__9,NUTZUNG__01,NUTZUNG__02,NUTZUNG__03,NUTZUNG__04,MIETE_EURM2_2__01,MIETE_EURM2_2__02,MIETE_EURM2_2__03,MIETE_EURM2_2__04,MIETE_EURM2_2__05,MIETE_EURM2_2__06,MIETE_EURM2_2__07,MIETE_EURM2_2__08,MIETE_EURM2_2__09,MIETE_EURM2_2__10,WOHNFLAECHE_20S__01,WOHNFLAECHE_20S__02,WOHNFLAECHE_20S__03,WOHNFLAECHE_20S__04,WOHNFLAECHE_20S__05,WOHNFLAECHE_20S__06,WOHNFLAECHE_20S__07,WOHNFLAECHE_20S__08,WOHNFLAECHE_20S__09,WOHNFLAECHE_20S__10,RAUMANZAHL__01,RAUMANZAHL__02,RAUMANZAHL__03,RAUMANZAHL__04,RAUMANZAHL__05,RAUMANZAHL__06,RAUMANZAHL__07,QMMIETE,LEQ,ETQ,FLAECHE,LEERSTAND_INSGESAMT,LEERSTAND_DAUER__1,LEERSTAND_DAUER__2,LEERSTAND_DAUER__3,LEERSTAND_DAUER__4,LEERSTAND_GRUND__1,LEERSTAND_GRUND__2,LEERSTAND_GRUND__3,LEERSTAND_GRUND__4,LEERSTAND_GRUND__5,LEERSTAND_GRUND__6,ags
20220515,150820301301,"Raguhn-Jeßnitz, Stadt",Gemeinde,4855,4756,4756,–,97,2902,771,768,364,49,1168,1852,251,330,233,198,426,223,86,86,343,4062,–,357,3,79,5,10,208,319,56,3868,323,84,3011,975,179,–,126,176,97,208,84,3099,1352,49,356,280,866,191,12,4,–,–,–,–,3,72,731,1003,958,908,613,286,106,72,105,39,311,873,1472,1106,569,489,5.21,7.28,69.99,94.86,356,27,31,26,265,73,100,17,35,30,106,15082301
20220515,150820340340,"Sandersdorf-Brehna, Stadt",Gemeinde,8296,8207,8122,87,86,3658,992,1561,1517,567,1324,2309,265,1244,888,265,1009,453,207,332,916,5329,348,1395,164,126,–,19,1872,638,55,5366,298,62,4722,925,80,–,343,214,76,1872,62,4073,3421,20,779,425,2065,792,73,36,9,5,7,3,–,411,1837,1838,1286,1144,939,411,191,90,147,267,597,2012,2410,1529,801,673,5.6,9.38,55.05,87.75,779,88,73,92,528,200,283,103,34,45,121,15082340
20220515,150820377377,"Südliches Anhalt, Stadt",Gemeinde,6848,6722,6719,3,128,4233,796,1014,678,127,1892,1689,604,339,685,387,753,310,61,127,898,5454,3,356,29,106,–,9,313,419,174,5113,612,217,2161,3157,243,3,246,283,227,313,217,4486,1746,50,562,553,1039,134,16,–,–,–,–,–,3,148,1111,1236,1248,1190,967,425,203,123,206,48,300,1179,2101,1650,844,727,4.64,7.98,72.24,97.64,562,48,41,86,388,228,82,16,46,27,160,15082377
20220515,150820430430,"Zerbst/Anhalt, Stadt",Gemeinde,12377,12114,12114,–,266,4791,1115,2583,3171,721,2936,2540,880,1701,1263,1251,1213,388,92,114,1941,7169,1754,1102,186,196,–,25,2747,1465,103,7260,662,142,6443,1896,528,11,140,355,119,2747,142,5433,5714,75,1158,1193,3980,504,28,3,–,–,–,–,3,596,2662,3176,1868,1408,1311,540,293,193,331,330,1199,3446,3109,2192,1047,1057,4.79,9.27,49.06,87.83,1158,132,103,122,802,466,349,82,61,47,150,15082430
20220515,150820440440,"Zörbig, Stadt",Gemeinde,4708,4619,4619,–,87,2796,665,792,378,67,1497,942,373,216,323,206,612,309,84,143,498,3883,15,167,31,63,29,25,111,400,61,3684,348,100,2262,1680,140,–,165,149,100,111,100,3010,1351,15,330,344,773,193,35,3,3,–,–,3,3,86,667,953,857,886,654,269,142,79,114,45,350,860,1328,1058,557,506,5.12,6.99,69.45,97.07,330,26,50,29,227,69,125,10,36,18,73,15082440
20220515,150830040040,Barleben,Gemeinde,4696,4620,4620,–,72,2509,406,848,369,565,726,532,111,156,176,186,1997,458,191,167,1197,3188,234,–,29,43,–,4,300,382,33,3808,137,39,3534,392,66,–,193,148,21,300,39,2640,1819,47,189,167,653,803,176,13,–,3,–,–,3,128,658,861,855,870,739,267,143,76,107,122,364,947,1353,1128,474,306,6.29,3.94,59.66,97.68,189,37,18,23,121,91,40,4,19,9,29,15083040
20220515,150830270270,"Haldensleben, Stadt",Gemeinde,10819,10662,10662,–,159,3319,1120,2650,3147,585,2516,1761,360,593,1660,1254,1361,631,389,301,1379,6055,1332,1664,52,168,31,145,1864,872,820,6862,315,80,7576,644,192,–,160,267,33,1864,80,3942,6070,34,774,726,3969,1174,181,8,3,3,9,–,3,581,3262,2333,1562,1186,935,414,245,144,166,169,924,2754,3520,2014,768,675,5.31,7.03,39.38,82.46,774,118,81,102,472,349,239,8,27,39,107,15083270
20220515,150830298298,Hohe Börde,Gemeinde,9294,9176,9176,–,118,5407,973,1534,1238,137,2076,892,259,252,310,417,3587,689,321,488,1922,7107,82,13,49,86,–,34,385,695,91,7687,369,69,6699,1157,206,–,394,330,55,385,69,5692,3151,17,436,521,1872,693,48,12,–,–,–,–,–,312,1004,1753,1422,1688,1523,745,381,161,299,203,607,1762,2388,2342,1102,890,5.36,4.53,64.65,102.71,436,50,69,41,275,143,144,5,22,31,94,15083298
20220515,150830390390,Niedere Börde,Gemeinde,3449,3398,3398,–,54,2116,464,712,129,27,1143,425,122,125,214,322,597,361,64,82,353,2721,89,262,–,17,–,3,132,168,48,2858,213,32,2445,475,101,–,101,149,16,132,32,2269,1001,17,157,263,610,117,14,–,–,–,–,–,–,95,436,504,640,666,527,284,116,68,116,63,241,621,918,839,382,383,4.88,4.47,69.85,102.73,157,29,21,23,85,37,49,3,27,11,31,15083390
20220515,150830411411,"Oebisfelde-Weferlingen, Stadt",Gemeinde,7187,6915,6827,90,274,3433,1140,1684,773,160,2306,1254,334,396,545,428,1071,438,179,234,1030,5296,697,36,99,31,–,5,259,596,50,5839,344,105,5183,744,382,19,227,210,61,259,105,3913,2670,37,569,470,1334,675,121,49,19,3,3,–,–,243,1182,1482,1038,1040,914,522,283,186,299,140,401,1225,2028,1488,923,975,5.5,7.85,61.69,100.8,569,61,54,62,392,193,146,19,34,47,128,15083411
