Berichtszeitpunkt,_RS,Name,Reg_Ebene,0_Insgesamt_,HH_SIZE_NAT__1,HH_SIZE_NAT__2,HH_SIZE_NAT__3,HH_SIZE_NAT__4,HH_SIZE_NAT__5,HH_SIZE_NAT__6,HHTYP_FAM__1,HHTYP_FAM__2,HHTYP_FAM__3,HHTYP_FAM__4,HHTYP_FAM__5,HHTYP_LEB__1,HHTYP_LEB__2,HHTYP_LEB__3,HHTYP_LEB__4,HHTYP_LEB__5,HHTYP_LEB__6,HHTYP_LEB__7,HHTYP_SENIOR_HH__1,HHTYP_SENIOR_HH__2,HHTYP_SENIOR_HH__3,ags
20220515,150905051245,Hohenberg-Krusemark,Gemeinde,544,184,197,91,45,13,10,184,192,124,40,3,184,257,–,63,35,7,3,140,57,349,15090245
20220515,150905051270,Iden,Gemeinde,386,158,150,43,23,6,6,158,137,58,31,9,158,173,3,17,25,9,9,103,47,234,15090270
20220515,150905051435,Rochau,Gemeinde,445,123,189,74,46,12,3,123,164,105,45,11,123,220,–,54,29,13,11,106,64,276,15090435
20220515,150905051610,"Werben (Elbe), Hansestadt",Gemeinde,509,224,185,60,29,8,6,224,159,83,39,4,224,209,–,34,30,6,4,172,53,283,15090610
20220515,150905052285,Kamern,Gemeinde,537,184,212,76,44,12,7,184,191,118,44,7,184,246,–,56,31,10,7,153,80,301,15090285
20220515,150905052310,Klietz,Gemeinde,709,268,276,83,50,20,12,268,241,135,58,7,268,322,–,51,48,11,7,234,79,399,15090310
20220515,150905052445,"Sandau (Elbe), Stadt",Gemeinde,393,138,167,60,18,3,9,138,149,73,24,8,138,194,–,26,21,6,8,116,39,234,15090445
20220515,150905052485,Schollene,Gemeinde,540,210,209,70,42,3,3,210,170,100,49,6,210,228,–,41,38,9,6,180,57,306,15090485
20220515,150905052500,Schönhausen (Elbe),Gemeinde,1054,380,405,138,96,20,9,380,340,211,110,13,380,451,–,94,91,19,13,307,117,626,15090500
20220515,150905052631,Wust-Fischbeck,Gemeinde,556,169,215,92,52,16,7,169,182,144,51,6,169,277,–,48,35,19,6,151,81,329,15090631
20220515,150905053003,Aland,Gemeinde,628,215,237,87,59,18,10,215,203,144,56,9,215,292,–,58,46,13,9,162,78,388,15090003
20220515,150905053007,Altmärkische Höhe,Gemeinde,771,237,280,145,69,22,16,237,246,203,72,10,237,378,–,72,51,18,10,204,112,454,15090007
20220515,150905053008,Altmärkische Wische,Gemeinde,386,129,151,52,38,12,6,129,130,91,29,10,129,185,–,35,21,10,10,100,44,244,15090008
20220515,150905053520,"Seehausen (Altmark), Hansestadt",Gemeinde,2425,1049,862,279,173,47,19,1049,729,398,199,51,1049,929,–,195,164,38,51,776,231,1420,15090520
20220515,150905053635,Zehrental,Gemeinde,379,110,148,58,45,12,5,110,126,97,37,8,110,198,–,30,37,3,8,104,54,228,15090635
20220515,150910010010,"Annaburg, Stadt",Gemeinde,3173,1212,1187,408,249,71,48,1212,1001,614,287,57,1212,1367,–,247,234,56,57,928,401,1844,15091010
20220515,150910020020,"Bad Schmiedeberg, Stadt",Gemeinde,4119,1711,1468,558,259,83,37,1711,1260,749,341,59,1711,1674,3,334,271,67,59,1394,489,2238,15091020
20220515,150910060060,"Coswig (Anhalt), Stadt",Gemeinde,5808,2366,2245,698,359,96,47,2366,1894,912,516,120,2366,2381,3,420,435,85,120,1854,583,3371,15091060
20220515,150910110110,"Gräfenhainichen, Stadt",Gemeinde,5947,2594,2116,750,365,81,48,2594,1807,964,489,90,2594,2359,3,415,395,90,90,1961,592,3398,15091110
20220515,150910145145,"Jessen (Elster), Stadt",Gemeinde,6678,2590,2414,897,535,153,87,2590,2033,1336,571,153,2590,2818,–,549,467,102,153,1875,772,4030,15091145
20220515,150910160160,"Kemberg, Stadt",Gemeinde,4630,1596,1844,658,381,108,46,1596,1618,966,380,75,1596,2185,–,395,299,83,75,1485,583,2563,15091160
20220515,150910241241,"Oranienbaum-Wörlitz, Stadt",Gemeinde,3968,1506,1535,573,265,72,24,1506,1263,746,378,73,1506,1660,3,349,307,73,73,1215,433,2319,15091241
20220515,150910375375,"Wittenberg, Lutherstadt",Gemeinde,24365,11560,8197,2601,1388,408,208,11560,6617,3418,2224,544,11560,8463,7,1564,1846,376,544,7802,1815,14749,15091375
20220515,150910391391,"Zahna-Elster, Stadt",Gemeinde,4338,1512,1603,677,384,112,51,1512,1376,963,418,69,1512,1961,–,375,357,60,69,1247,558,2532,15091391
