wahlkreisnummer,wahlkreisname,structure_profile_key,structure_profile_label,structure_profile_color,structure_summary,urbanity_score,growth_score,industrial_score,aging_score,commuter_balance_per_1000,area_km2,population_total,population_male,population_female,share_u18_percent,share_18_25_percent,share_25_40_percent,share_40_60_percent,share_60_80_percent,share_80_plus_percent,youth_dependency_ratio,old_age_dependency_ratio,population_density_per_km2,population_growth_2014_2024_percent,population_forecast_2020_2040_percent,foreign_share_percent,evangelical_share_percent,catholic_share_percent,childcare_rate_u3_percent,general_schools_count,general_students_total,general_students_primary_share_percent,general_students_secondary_i_share_percent,general_students_secondary_ii_share_percent,vocational_units_count,vocational_students_total,vocational_berufsschule_share_percent,employment_total,employment_agriculture_share_percent,employment_manufacturing_share_percent,employment_trade_transport_share_percent,employment_services_share_percent,commuter_balance,debt_total_per_capita_eur,debt_public_sector_per_capita_eur
221,Bitburg-Prüm,industrial_space,Industriell geprägte Arbeitsräume,#b45309,"Das Profil ist arbeitsplatz- und industrieorientiert: Produzierendes Gewerbe 39,0 %, Pendlersaldo -19,9 je 1.000 Einwohner.",-1.125,1.381,1.85,-3.198,-19.922235138493605,1626.953774,99788.0,50195.0,49593.0,17.53517457,6.465707299,18.26973183,27.08742534,24.63222031,6.00974065,33.33447667,37.80205457,61.33425644581344,3.505933117583603,4.640447753735444,17.180422495690863,5.865270127682642,66.16748787547311,26.7,48.0,10970.0,37.69371011850502,50.829535095715585,10.091157702825889,6.0,2431.0,64.37679967091732,29319.0,1.0846208943006241,39.03611992223473,22.169923940107097,37.70933524335755,-1988.0,850.6553925333386,959.1337934749
222,Wittlich,industrial_space,Industriell geprägte Arbeitsräume,#b45309,"Das Profil ist arbeitsplatz- und industrieorientiert: Produzierendes Gewerbe 40,4 %, Pendlersaldo 7,7 je 1.000 Einwohner.",-1.048,0.798,2.347,-0.577,7.681285729057417,652.032808,67697.0,33900.0,33797.0,17.00075336,6.778734656,17.52810317,26.62747241,25.14734774,6.917588667,32.9664395,41.12897004,103.82453025277832,3.29742431640625,2.7906976744185954,14.362527143004861,11.315976091581401,51.66070885856116,30.0,34.0,7171.0,37.902663505787196,51.06679682052713,10.04044066378469,3.0,1533.0,67.9712981082844,27554.0,1.2992668940988603,40.3788923568266,22.42142701604123,35.89678449589896,520.0,1131.5603725681221,1319.3959200543206
223,Bernkastel-Kues/ Morbach/Kirchberg (Hunsrück),industrial_space,Industriell geprägte Arbeitsräume,#b45309,"Das Profil ist arbeitsplatz- und industrieorientiert: Produzierendes Gewerbe 39,8 %, Pendlersaldo -78,4 je 1.000 Einwohner.",-2.967,-1.92,2.238,1.677,-78.36423151765646,743.823704,66293.0,33141.0,33152.0,15.98509647,6.303832984,16.81022129,27.17632329,26.81731103,6.90721494,31.08831518,43.73038686,89.12461332369692,1.6763803680981595,-1.7001853355185546,12.912373855459853,21.856517624793,45.66920984149515,31.7,33.0,6893.0,37.023066879442915,53.30044973161178,8.254751196866387,3.0,1025.0,66.04878048780488,22765.0,2.437952998023281,39.77597188666813,25.569953876564906,32.21612123874368,-5195.0,570.5940662546428,644.451752605224
224,Trier / Schweich,urban_services,Verdichtete Dienstleistungsräume,#0f766e,"Dichte (295 EW/km²), Dienstleistungsanteil (55,6 %) und Ausländeranteil (15,3 %) liegen klar ueber dem Landesmittel.",3.437,-1.568,-1.585,-0.176,65.80902842281256,583.471012,172256.0,84706.0,87550.0,16.03659669,8.424670258,21.22132175,26.13668029,21.88603009,6.29470091,29.51880499,34.16351508,295.2263205151313,-1.999761052733386,3.2868625554480815,15.30048300204347,8.76689522223926,52.91791715043046,31.6,72.0,18563.0,36.79900878090826,50.7083984269784,10.94650649140764,10.0,7476.0,57.049224184055646,69917.0,0.7480298067708855,20.84900667934837,22.772716220661643,55.63024729321911,11336.0,3120.208715783106,4118.923434428041
225,Trier,urban_services,Verdichtete Dienstleistungsräume,#0f766e,"Dichte ( EW/km²), Dienstleistungsanteil () und Ausländeranteil () liegen klar ueber dem Landesmittel.",0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Konz / Saarburg,growth_belt,Junge Wachstumsräume,#65a30d,"Bevoelkerung waechst ueberdurchschnittlich (+4,0 % seit 2014, +4,3 % bis 2040) bei hohem U18-Anteil (17,1 %) und solider U3-Betreuung (37,1 %).",-0.659,2.997,0.589,-2.143,-93.621589605005,635.834359,81039.0,40404.0,40635.0,17.10657831,6.452448821,17.90989524,27.81130073,24.22784092,6.491935981,32.45754498,38.28747208,127.45300541394619,3.992146596858639,4.257831236394495,16.939991855773144,7.068530773146449,60.10204444023534,37.1,33.0,8355.0,39.329742669060444,51.02333931777379,9.646918013165768,3.0,1223.0,47.26083401471791,16700.0,2.0778443113772456,34.550898203592816,22.17365269461078,41.19760479041916,-7587.0,1590.5660157495768,1670.3605966194834
327,Mainz I,urban_services,Verdichtete Dienstleistungsräume,#0f766e,"Dichte (1.852 EW/km²), Dienstleistungsanteil (69,6 %) und Ausländeranteil (18,7 %) liegen klar ueber dem Landesmittel.",8.828,1.359,-3.778,-4.233,118.67709058163808,131.89017,244310.0,119173.0,125137.0,15.1852155,10.12811592,25.62604887,24.54627318,18.50476853,6.009577995,26.5500381,28.58712217,1852.3745931937156,7.974207462864669,5.9159518137201275,18.693053906921534,17.277705132396207,26.670889179470414,30.2,54.0,25382.0,34.3353557639272,49.55086281616894,15.526751241036955,9.0,8884.0,56.78748311571364,131385.0,0.13395745328614378,12.25406248810747,17.98759371313316,69.62438634547323,28994.0,2001.821375501967,2404.464134692925
328,Mainz II,urban_services,Verdichtete Dienstleistungsräume,#0f766e,"Dichte ( EW/km²), Dienstleistungsanteil () und Ausländeranteil () liegen klar ueber dem Landesmittel.",0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Mainz III,urban_services,Verdichtete Dienstleistungsräume,#0f766e,"Dichte ( EW/km²), Dienstleistungsanteil () und Ausländeranteil () liegen klar ueber dem Landesmittel.",0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Bingen am Rhein,growth_belt,Junge Wachstumsräume,#65a30d,"Bevoelkerung waechst ueberdurchschnittlich (+0,8 % seit 2014, +4,1 % bis 2040) bei hohem U18-Anteil (17,1 %) und solider U3-Betreuung (31,1 %).",-1.595,0.643,-0.136,-0.017,-146.56769176387417,268.681877,70725.0,35079.0,35646.0,17.05478968,6.49416755,17.18487098,27.72004242,24.69565217,6.8504772,32.8577732,40.51331078,263.229514359839,0.7507336391350181,4.145357034252072,13.459172852598092,21.952380952380953,31.9484126984127,31.1,25.0,7333.0,39.64271103231965,49.461339151779626,8.754943406518478,2.0,1272.0,64.62264150943396,20555.0,3.0892726830454875,25.954755533933348,33.53441984918511,37.42155193383605,-10366.0,711.1853469052143,1173.8736851059004
