official_id,kind,wahlkreis_nummer,ags,suffix,parent_municipality,label,reported_precincts,total_precincts,last_changed
1091110000040,GEMEINDE_TEIL,109,11100000,40,"Koblenz, Kreisfreie Stadt",Koblenz/Lützel,10,10,2026-03-22 19:37:20
1091110000041,GEMEINDE_TEIL,109,11100000,41,"Koblenz, Kreisfreie Stadt",Koblenz/Metternich,11,11,2026-03-22 20:26:16
1091110000043,GEMEINDE_TEIL,109,11100000,43,"Koblenz, Kreisfreie Stadt",Koblenz/Neuendorf,5,5,2026-03-22 19:29:03
1091110000044,GEMEINDE_TEIL,109,11100000,44,"Koblenz, Kreisfreie Stadt",Koblenz/Wallersheim,3,3,2026-03-22 19:13:47
1091110000050,GEMEINDE_TEIL,109,11100000,50,"Koblenz, Kreisfreie Stadt",Koblenz/Kesselheim,3,3,2026-03-22 19:38:36
1091110000051,GEMEINDE_TEIL,109,11100000,51,"Koblenz, Kreisfreie Stadt",Koblenz/Güls,6,6,2026-03-22 20:34:10
1091110000052,GEMEINDE_TEIL,109,11100000,52,"Koblenz, Kreisfreie Stadt",Koblenz/Rübenach,6,6,2026-03-22 20:12:47
1091110000053,GEMEINDE_TEIL,109,11100000,53,"Koblenz, Kreisfreie Stadt",Koblenz/Bubenheim,2,2,2026-03-22 19:19:52
1101370020301,GEMEINDE_TEIL,110,13700203,01,"Bendorf, Verbandsfreie Gemeinde",Bendorf/Stadt,5,5,2026-03-22 19:17:34
1101370020302,GEMEINDE_TEIL,110,13700203,02,"Bendorf, Verbandsfreie Gemeinde",Bendorf/Sayn,3,3,2026-03-22 19:40:40
1101370020303,GEMEINDE_TEIL,110,13700203,03,"Bendorf, Verbandsfreie Gemeinde",Bendorf/Mülhofen,1,1,2026-03-22 18:58:59
1101370020304,GEMEINDE_TEIL,110,13700203,04,"Bendorf, Verbandsfreie Gemeinde",Bendorf/Stromberg,1,1,2026-03-22 19:01:36
1111370000301,GEMEINDE_TEIL,111,13700003,01,"Andernach, Verbandsfreie Gemeinde",Andernach/Kernstadt,11,11,2026-03-22 20:41:18
1111370000302,GEMEINDE_TEIL,111,13700003,02,"Andernach, Verbandsfreie Gemeinde",Andernach/Eich,1,1,2026-03-22 19:32:06
1111370000303,GEMEINDE_TEIL,111,13700003,03,"Andernach, Verbandsfreie Gemeinde",Andernach/Kell,1,1,2026-03-22 19:02:46
1111370000304,GEMEINDE_TEIL,111,13700003,04,"Andernach, Verbandsfreie Gemeinde",Andernach/Miesenheim,2,2,2026-03-22 19:53:47
1111370000305,GEMEINDE_TEIL,111,13700003,05,"Andernach, Verbandsfreie Gemeinde",Andernach/Namedy,1,1,2026-03-22 19:29:54
1121370006801,GEMEINDE_TEIL,112,13700068,01,"Mayen, Verbandsfreie Gemeinde",Mayen/Kernstadt,10,10,2026-03-22 21:41:25
1121370006802,GEMEINDE_TEIL,112,13700068,02,"Mayen, Verbandsfreie Gemeinde",Mayen/Alzheim,1,1,2026-03-22 19:59:06
1121370006803,GEMEINDE_TEIL,112,13700068,03,"Mayen, Verbandsfreie Gemeinde",Mayen/Hausen,1,1,2026-03-22 19:39:55
1121370006804,GEMEINDE_TEIL,112,13700068,04,"Mayen, Verbandsfreie Gemeinde",Mayen/Kürrenberg,1,1,2026-03-22 19:26:47
1121370006805,GEMEINDE_TEIL,112,13700068,05,"Mayen, Verbandsfreie Gemeinde",Mayen/Nitztal,1,1,2026-03-22 19:54:50
1131310007001,GEMEINDE_TEIL,113,13100070,01,"Remagen, Verbandsfreie Gemeinde",Remagen/Kripp,2,2,2026-03-22 21:17:31
1131310007002,GEMEINDE_TEIL,113,13100070,02,"Remagen, Verbandsfreie Gemeinde",Remagen/Stadt,3,3,2026-03-22 22:02:16
1131310007003,GEMEINDE_TEIL,113,13100070,03,"Remagen, Verbandsfreie Gemeinde",Remagen/Oberwinter,2,2,2026-03-22 21:29:57
1131310007004,GEMEINDE_TEIL,113,13100070,04,"Remagen, Verbandsfreie Gemeinde",Remagen/Oedingen,1,1,2026-03-22 19:45:13
1131310007005,GEMEINDE_TEIL,113,13100070,05,"Remagen, Verbandsfreie Gemeinde",Remagen/Rolandswerth,1,1,2026-03-22 18:52:39
1131310007006,GEMEINDE_TEIL,113,13100070,06,"Remagen, Verbandsfreie Gemeinde",Remagen/Unkelbach,1,1,2026-03-22 19:41:46
1131310007710,GEMEINDE_TEIL,113,13100077,10,"Sinzig, Verbandsfreie Gemeinde",Sinzig / Bad Bodendorf,2,2,2026-03-22 20:15:20
1131310007720,GEMEINDE_TEIL,113,13100077,20,"Sinzig, Verbandsfreie Gemeinde",Sinzig / Franken,1,1,2026-03-22 18:58:50
1131310007730,GEMEINDE_TEIL,113,13100077,30,"Sinzig, Verbandsfreie Gemeinde",Sinzig / Koisdorf,1,1,2026-03-22 19:16:34
1131310007740,GEMEINDE_TEIL,113,13100077,40,"Sinzig, Verbandsfreie Gemeinde",Sinzig / Löhndorf,1,1,2026-03-22 20:17:20
1131310007750,GEMEINDE_TEIL,113,13100077,50,"Sinzig, Verbandsfreie Gemeinde",Sinzig,4,4,2026-03-22 20:52:08
1131310007760,GEMEINDE_TEIL,113,13100077,60,"Sinzig, Verbandsfreie Gemeinde",Sinzig / Westum,1,1,2026-03-22 19:57:10
1141310000711,GEMEINDE_TEIL,114,13100007,11,"Bad Neuenahr-Ahrweiler, Verbandsfreie Gemeinde",Ahrweiler,6,6,2026-03-22 21:57:47
1141310000712,GEMEINDE_TEIL,114,13100007,12,"Bad Neuenahr-Ahrweiler, Verbandsfreie Gemeinde",Walporzheim,1,1,2026-03-22 19:38:16
1141310000713,GEMEINDE_TEIL,114,13100007,13,"Bad Neuenahr-Ahrweiler, Verbandsfreie Gemeinde",Bachem,1,1,2026-03-22 20:35:54
1141310000714,GEMEINDE_TEIL,114,13100007,14,"Bad Neuenahr-Ahrweiler, Verbandsfreie Gemeinde",Ramersbach,1,1,2026-03-22 19:15:18
1141310000720,GEMEINDE_TEIL,114,13100007,20,"Bad Neuenahr-Ahrweiler, Verbandsfreie Gemeinde",Bad Neuenahr,9,9,2026-03-22 21:15:41
1141310000730,GEMEINDE_TEIL,114,13100007,30,"Bad Neuenahr-Ahrweiler, Verbandsfreie Gemeinde",Heimersheim,2,2,2026-03-22 20:52:33
1141310000731,GEMEINDE_TEIL,114,13100007,31,"Bad Neuenahr-Ahrweiler, Verbandsfreie Gemeinde",Heppingen,1,1,2026-03-22 20:55:08
1141310000732,GEMEINDE_TEIL,114,13100007,32,"Bad Neuenahr-Ahrweiler, Verbandsfreie Gemeinde",Gimmigen,1,1,2026-03-22 19:39:05
1141310000733,GEMEINDE_TEIL,114,13100007,33,"Bad Neuenahr-Ahrweiler, Verbandsfreie Gemeinde",Lohrsdorf,1,1,2026-03-22 20:03:45
1141310000734,GEMEINDE_TEIL,114,13100007,34,"Bad Neuenahr-Ahrweiler, Verbandsfreie Gemeinde",Kirchdaun,1,1,2026-03-22 19:04:21
2151350102001,GEMEINDE_TEIL,215,13501020,01,"Cochem, St",Cochem,2,2,2026-03-22 20:15:16
2151350102002,GEMEINDE_TEIL,215,13501020,02,"Cochem, St",Cochem/Cond,1,1,2026-03-22 20:08:01
2151350102003,GEMEINDE_TEIL,215,13501020,03,"Cochem, St",Cochem/Sehl,1,1,2026-03-22 20:16:06
2151350102004,GEMEINDE_TEIL,215,13501020,04,"Cochem, St",Cochem/Brauheck,1,1,2026-03-22 20:16:15
2161400050101,GEMEINDE_TEIL,216,14000501,01,"Boppard, Verbandsfreie Gemeinde",Boppard/Boppard,6,6,2026-03-22 20:36:57
2161400050102,GEMEINDE_TEIL,216,14000501,02,"Boppard, Verbandsfreie Gemeinde",Boppard/Bad Salzig,2,2,2026-03-22 20:24:08
2161400050103,GEMEINDE_TEIL,216,14000501,03,"Boppard, Verbandsfreie Gemeinde",Boppard/Buchholz,2,2,2026-03-22 21:01:20
2161400050104,GEMEINDE_TEIL,216,14000501,04,"Boppard, Verbandsfreie Gemeinde",Boppard/Herschwiesen,1,1,2026-03-22 18:53:40
2161400050105,GEMEINDE_TEIL,216,14000501,05,"Boppard, Verbandsfreie Gemeinde",Boppard/Hirzenach,1,1,2026-03-22 20:12:46
2161400050106,GEMEINDE_TEIL,216,14000501,06,"Boppard, Verbandsfreie Gemeinde",Boppard/Holzfeld,1,1,2026-03-22 18:46:29
2161400050107,GEMEINDE_TEIL,216,14000501,07,"Boppard, Verbandsfreie Gemeinde",Boppard/Oppenhausen,1,1,2026-03-22 19:17:13
2161400050108,GEMEINDE_TEIL,216,14000501,08,"Boppard, Verbandsfreie Gemeinde",Boppard/Rheinbay,1,1,2026-03-22 18:36:39
2161400050109,GEMEINDE_TEIL,216,14000501,09,"Boppard, Verbandsfreie Gemeinde",Boppard/Udenhausen,1,1,2026-03-22 19:11:38
2161400050110,GEMEINDE_TEIL,216,14000501,10,"Boppard, Verbandsfreie Gemeinde",Boppard/Weiler,1,1,2026-03-22 19:20:54
2171330000601,GEMEINDE_TEIL,217,13300006,01,"Bad Kreuznach, Verbandsfreie Gemeinde",Bad Kreuznach/Planig,1,1,2026-03-22 19:08:20
2171330000602,GEMEINDE_TEIL,217,13300006,02,"Bad Kreuznach, Verbandsfreie Gemeinde",Bad Kreuznach/Bosenheim,1,1,2026-03-22 19:01:07
2171330000603,GEMEINDE_TEIL,217,13300006,03,"Bad Kreuznach, Verbandsfreie Gemeinde",Bad Kreuznach/Ippesheim,1,1,2026-03-22 18:48:21
2171330000604,GEMEINDE_TEIL,217,13300006,04,"Bad Kreuznach, Verbandsfreie Gemeinde",Bad Kreuznach/Winzenheim,2,2,2026-03-22 20:07:14
2171330000605,GEMEINDE_TEIL,217,13300006,05,"Bad Kreuznach, Verbandsfreie Gemeinde",Bad Kreuznach/Kernstadt,19,19,2026-03-22 20:27:47
2171330000607,GEMEINDE_TEIL,217,13300006,07,"Bad Kreuznach, Verbandsfreie Gemeinde",Bad Münster am Stein Ebernburg,2,2,2026-03-22 19:51:35
2191340004501,GEMEINDE_TEIL,219,13400045,01,"Idar-Oberstein, Verbandsfreie Gemeinde",Idar-Oberstein/Oberstein,4,4,2026-03-22 19:16:30
2191340004502,GEMEINDE_TEIL,219,13400045,02,"Idar-Oberstein, Verbandsfreie Gemeinde",Idar-Oberstein/Idar,5,5,2026-03-22 19:33:50
2191340004503,GEMEINDE_TEIL,219,13400045,03,"Idar-Oberstein, Verbandsfreie Gemeinde",Idar-Oberstein/Tiefenstein,2,2,2026-03-22 18:58:39
2191340004504,GEMEINDE_TEIL,219,13400045,04,"Idar-Oberstein, Verbandsfreie Gemeinde",Idar-Oberstein/Algenrodt,1,1,2026-03-22 19:13:00
2191340004505,GEMEINDE_TEIL,219,13400045,05,"Idar-Oberstein, Verbandsfreie Gemeinde",Idar-Oberstein/Enzweiler,1,1,2026-03-22 18:25:14
2191340004506,GEMEINDE_TEIL,219,13400045,06,"Idar-Oberstein, Verbandsfreie Gemeinde",Idar-Oberstein/Hammerstein,1,1,2026-03-22 18:31:03
2191340004507,GEMEINDE_TEIL,219,13400045,07,"Idar-Oberstein, Verbandsfreie Gemeinde",Idar-Oberstein/Kirchenbollenbach,1,1,2026-03-22 18:36:40
2191340004508,GEMEINDE_TEIL,219,13400045,08,"Idar-Oberstein, Verbandsfreie Gemeinde",Idar-Oberstein/Mittelbollenbach,1,1,2026-03-22 18:52:28
2191340004509,GEMEINDE_TEIL,219,13400045,09,"Idar-Oberstein, Verbandsfreie Gemeinde",Idar-Oberstein/Nahbollenbach,1,1,2026-03-22 19:09:13
2191340004510,GEMEINDE_TEIL,219,13400045,10,"Idar-Oberstein, Verbandsfreie Gemeinde",Idar-Oberstein/Weierbach,2,2,2026-03-22 20:37:18
2191340004511,GEMEINDE_TEIL,219,13400045,11,"Idar-Oberstein, Verbandsfreie Gemeinde",Idar-Oberstein/Georg-Weierbach,1,1,2026-03-22 18:43:35
2191340004512,GEMEINDE_TEIL,219,13400045,12,"Idar-Oberstein, Verbandsfreie Gemeinde",Idar-Oberstein/Göttschied,2,2,2026-03-22 19:50:07
2191340004513,GEMEINDE_TEIL,219,13400045,13,"Idar-Oberstein, Verbandsfreie Gemeinde",Idar-Oberstein/Regulshausen,1,1,2026-03-22 18:47:35
2202330150110,GEMEINDE_TEIL,220,23301501,10,Daun,Daun-Stadt,3,3,2026-03-22 19:59:45
2202330150120,GEMEINDE_TEIL,220,23301501,20,Daun,Daun-Boverath,1,1,2026-03-22 18:35:30
2202330150130,GEMEINDE_TEIL,220,23301501,30,Daun,Daun-Gemünden,1,1,2026-03-22 18:35:43
2202330150140,GEMEINDE_TEIL,220,23301501,40,Daun,Daun-Neunkirchen,1,1,2026-03-22 19:11:29
2202330150150,GEMEINDE_TEIL,220,23301501,50,Daun,Daun-Pützborn,1,1,2026-03-22 19:03:33
2202330150160,GEMEINDE_TEIL,220,23301501,60,Daun,Daun-Rengen,1,1,2026-03-22 18:53:30
2202330150170,GEMEINDE_TEIL,220,23301501,70,Daun,Daun-Steinborn,1,1,2026-03-22 18:54:38
2202330150180,GEMEINDE_TEIL,220,23301501,80,Daun,Daun-Waldkönigen,1,1,2026-03-22 19:55:29
2202330150190,GEMEINDE_TEIL,220,23301501,90,Daun,Daun-Weiersbach,1,1,2026-03-22 18:48:51
2242110000021,GEMEINDE_TEIL,224,21100000,21,"Trier, Kreisfreie Stadt",Trier/Ehrang-Quint,8,8,2026-03-22 20:18:34
2242110000022,GEMEINDE_TEIL,224,21100000,22,"Trier, Kreisfreie Stadt",Trier/Pfalzel,4,4,2026-03-22 21:19:04
2242110000023,GEMEINDE_TEIL,224,21100000,23,"Trier, Kreisfreie Stadt",Trier/Biewer,2,2,2026-03-22 19:47:16
2242110000024,GEMEINDE_TEIL,224,21100000,24,"Trier, Kreisfreie Stadt",Trier/Ruwer-Eitelsbach,4,4,2026-03-22 19:34:21
2252110000011,GEMEINDE_TEIL,225,21100000,11,"Trier, Kreisfreie Stadt",Trier/Mitte-Gartenfeld,13,13,2026-03-22 20:19:19
2252110000012,GEMEINDE_TEIL,225,21100000,12,"Trier, Kreisfreie Stadt",Trier/Nord,16,16,2026-03-22 19:59:22
2252110000013,GEMEINDE_TEIL,225,21100000,13,"Trier, Kreisfreie Stadt",Trier/Süd,9,9,2026-03-22 20:53:53
2252110000031,GEMEINDE_TEIL,225,21100000,31,"Trier, Kreisfreie Stadt",Trier/Trier-West-Pallien,8,8,2026-03-22 20:01:26
2252110000032,GEMEINDE_TEIL,225,21100000,32,"Trier, Kreisfreie Stadt",Trier/Euren,4,4,2026-03-22 20:17:27
2252110000033,GEMEINDE_TEIL,225,21100000,33,"Trier, Kreisfreie Stadt",Trier/Zewen,4,4,2026-03-22 19:44:39
2252110000041,GEMEINDE_TEIL,225,21100000,41,"Trier, Kreisfreie Stadt",Trier/Olewig,4,4,2026-03-22 20:01:11
2252110000042,GEMEINDE_TEIL,225,21100000,42,"Trier, Kreisfreie Stadt",Trier/Kürenz,9,9,2026-03-22 20:07:01
2252110000043,GEMEINDE_TEIL,225,21100000,43,"Trier, Kreisfreie Stadt",Trier/Tarforst,6,6,2026-03-22 19:54:51
2252110000044,GEMEINDE_TEIL,225,21100000,44,"Trier, Kreisfreie Stadt",Trier/Filsch,2,2,2026-03-22 19:42:25
2252110000045,GEMEINDE_TEIL,225,21100000,45,"Trier, Kreisfreie Stadt",Trier/Irsch,2,2,2026-03-22 20:34:57
2252110000046,GEMEINDE_TEIL,225,21100000,46,"Trier, Kreisfreie Stadt",Trier/Kernscheid,2,2,2026-03-22 19:14:49
2252110000051,GEMEINDE_TEIL,225,21100000,51,"Trier, Kreisfreie Stadt",Trier/Feyen-Weismark,8,8,2026-03-22 20:55:56
2252110000052,GEMEINDE_TEIL,225,21100000,52,"Trier, Kreisfreie Stadt",Trier/Heiligkreuz,6,6,2026-03-22 20:53:05
2252110000053,GEMEINDE_TEIL,225,21100000,53,"Trier, Kreisfreie Stadt",Trier/Mariahof,4,4,2026-03-22 19:25:44
3273150000015,GEMEINDE_TEIL,327,31500000,15,"Mainz, Kreisfreie Stadt",Mainz/Altstadt,17,17,2026-03-22 21:07:01
3273150000016,GEMEINDE_TEIL,327,31500000,16,"Mainz, Kreisfreie Stadt",Mainz/Neustadt,26,26,2026-03-22 20:20:22
3273150000024,GEMEINDE_TEIL,327,31500000,24,"Mainz, Kreisfreie Stadt",Mainz/Oberstadt,20,20,2026-03-22 20:47:18
3273150000025,GEMEINDE_TEIL,327,31500000,25,"Mainz, Kreisfreie Stadt",Mainz/Hartenberg/Münchfeld,16,16,2026-03-22 20:12:50
3283150000031,GEMEINDE_TEIL,328,31500000,31,"Mainz, Kreisfreie Stadt",Mainz/Mombach,11,11,2026-03-22 19:53:52
3283150000041,GEMEINDE_TEIL,328,31500000,41,"Mainz, Kreisfreie Stadt",Mainz/Gonsenheim,21,21,2026-03-22 20:41:06
3283150000051,GEMEINDE_TEIL,328,31500000,51,"Mainz, Kreisfreie Stadt",Mainz/Bretzenheim,19,19,2026-03-22 20:10:55
3283150000061,GEMEINDE_TEIL,328,31500000,61,"Mainz, Kreisfreie Stadt",Mainz/Hechtsheim,14,14,2026-03-22 20:17:44
3283150000071,GEMEINDE_TEIL,328,31500000,71,"Mainz, Kreisfreie Stadt",Mainz/Weisenau,13,13,2026-03-22 19:57:46
3293150000042,GEMEINDE_TEIL,329,31500000,42,"Mainz, Kreisfreie Stadt",Mainz/Finthen,13,13,2026-03-22 21:19:56
3293150000052,GEMEINDE_TEIL,329,31500000,52,"Mainz, Kreisfreie Stadt",Mainz/Marienborn,5,5,2026-03-22 19:34:00
3293150000053,GEMEINDE_TEIL,329,31500000,53,"Mainz, Kreisfreie Stadt",Mainz/Lerchenberg,5,5,2026-03-22 20:08:35
3293150000054,GEMEINDE_TEIL,329,31500000,54,"Mainz, Kreisfreie Stadt",Mainz/Drais,3,3,2026-03-22 19:51:54
3293150000062,GEMEINDE_TEIL,329,31500000,62,"Mainz, Kreisfreie Stadt",Mainz/Ebersheim,6,6,2026-03-22 20:07:12
3293150000072,GEMEINDE_TEIL,329,31500000,72,"Mainz, Kreisfreie Stadt",Mainz/Laubenheim,10,10,2026-03-22 20:03:12
3303390000501,GEMEINDE_TEIL,330,33900005,01,"Bingen am Rhein, Verbandsfreie Gemeinde",Bingen/Stadt,4,4,2026-03-22 19:46:59
3303390000502,GEMEINDE_TEIL,330,33900005,02,"Bingen am Rhein, Verbandsfreie Gemeinde",Bingen/Bingerbrück,2,2,2026-03-22 20:28:27
3303390000503,GEMEINDE_TEIL,330,33900005,03,"Bingen am Rhein, Verbandsfreie Gemeinde",Bingen/Büdesheim,4,4,2026-03-22 19:50:46
3303390000504,GEMEINDE_TEIL,330,33900005,04,"Bingen am Rhein, Verbandsfreie Gemeinde",Bingen/Dietersheim,1,1,2026-03-22 18:54:19
3303390000505,GEMEINDE_TEIL,330,33900005,05,"Bingen am Rhein, Verbandsfreie Gemeinde",Bingen/Dromersheim,1,1,2026-03-22 20:23:30
3303390000506,GEMEINDE_TEIL,330,33900005,06,"Bingen am Rhein, Verbandsfreie Gemeinde",Bingen/Gaulsheim,1,1,2026-03-22 18:50:42
3303390000507,GEMEINDE_TEIL,330,33900005,07,"Bingen am Rhein, Verbandsfreie Gemeinde",Bingen/Kempten,1,1,2026-03-22 19:01:37
3303390000508,GEMEINDE_TEIL,330,33900005,08,"Bingen am Rhein, Verbandsfreie Gemeinde",Bingen/Sponsheim,1,1,2026-03-22 20:26:38
3313390003001,GEMEINDE_TEIL,331,33900030,01,"Ingelheim am Rhein, Verbandsfreie Gemeinde",Ingelheim/Mitte,14,14,2026-03-22 20:54:26
3313390003002,GEMEINDE_TEIL,331,33900030,02,"Ingelheim am Rhein, Verbandsfreie Gemeinde",Ingelheim/Süd,8,8,2026-03-22 20:18:07
3313390003003,GEMEINDE_TEIL,331,33900030,03,"Ingelheim am Rhein, Verbandsfreie Gemeinde",Ingelheim/Nord,10,10,2026-03-22 20:24:38
3313390003004,GEMEINDE_TEIL,331,33900030,04,"Ingelheim am Rhein, Verbandsfreie Gemeinde",Ingelheim/West,10,10,2026-03-22 20:23:04
3313390003006,GEMEINDE_TEIL,331,33900030,06,"Ingelheim am Rhein, Verbandsfreie Gemeinde",Ingelheim/Großwinternheim,2,2,2026-03-22 20:00:11
3313390003007,GEMEINDE_TEIL,331,33900030,07,"Ingelheim am Rhein, Verbandsfreie Gemeinde",Heidesheim,10,10,2026-03-22 21:28:33
3313390003008,GEMEINDE_TEIL,331,33900030,08,"Ingelheim am Rhein, Verbandsfreie Gemeinde",Wackernheim,4,4,2026-03-22 21:01:35
3333190000001,GEMEINDE_TEIL,333,31900000,01,"Worms, Kreisfreie Stadt",Worms/Stadtzentrum,5,5,2026-03-22 21:11:01
3333190000011,GEMEINDE_TEIL,333,31900000,11,"Worms, Kreisfreie Stadt",Worms/Süd,3,3,2026-03-22 19:44:48
3333190000012,GEMEINDE_TEIL,333,31900000,12,"Worms, Kreisfreie Stadt",Worms/Karl-Marx-Siedlung,2,2,2026-03-22 19:46:22
3333190000021,GEMEINDE_TEIL,333,31900000,21,"Worms, Kreisfreie Stadt",Worms/Nord,6,6,2026-03-22 19:39:09
3333190000031,GEMEINDE_TEIL,333,31900000,31,"Worms, Kreisfreie Stadt",Worms/West,9,9,2026-03-22 21:18:23
3333190000032,GEMEINDE_TEIL,333,31900000,32,"Worms, Kreisfreie Stadt",Worms/Südwest,2,2,2026-03-22 20:14:11
3333190000041,GEMEINDE_TEIL,333,31900000,41,"Worms, Kreisfreie Stadt",Worms/Pfiffligheim,4,4,2026-03-22 19:51:37
3333190000042,GEMEINDE_TEIL,333,31900000,42,"Worms, Kreisfreie Stadt",Worms/Hochheim,4,4,2026-03-22 21:07:42
3333190000043,GEMEINDE_TEIL,333,31900000,43,"Worms, Kreisfreie Stadt",Worms/Neuhausen,10,10,2026-03-22 19:40:52
3333190000044,GEMEINDE_TEIL,333,31900000,44,"Worms, Kreisfreie Stadt",Worms/Herrnsheim,6,6,2026-03-22 20:30:45
3333190000045,GEMEINDE_TEIL,333,31900000,45,"Worms, Kreisfreie Stadt",Worms/Leiselheim,2,2,2026-03-22 19:37:13
