ags,public_precincts,public_valid_zweit,public_cdu_zweit,official_precincts,official_valid_zweit,official_cdu_zweit,valid_diff,cdu_diff,precinct_diff
23208331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23208501,3.0,471.0,153.0,3.0,471.0,153.0,0.0,0.0,0.0
23208502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23301006,1.0,150.0,71.0,1.0,150.0,71.0,0.0,0.0,0.0
23301008,1.0,198.0,89.0,1.0,198.0,89.0,0.0,0.0,0.0
23301011,1.0,111.0,47.0,1.0,111.0,47.0,0.0,0.0,0.0
23301014,1.0,554.0,240.0,1.0,554.0,240.0,0.0,0.0,0.0
23301016,1.0,138.0,57.0,1.0,138.0,57.0,0.0,0.0,0.0
23301017,1.0,217.0,117.0,1.0,217.0,117.0,0.0,0.0,0.0
23301018,1.0,383.0,179.0,1.0,383.0,179.0,0.0,0.0,0.0
23301020,2.0,540.0,301.0,2.0,540.0,301.0,0.0,0.0,0.0
23301021,1.0,188.0,91.0,1.0,188.0,91.0,0.0,0.0,0.0
23301025,1.0,62.0,29.0,1.0,62.0,29.0,0.0,0.0,0.0
23301027,1.0,861.0,416.0,1.0,861.0,416.0,0.0,0.0,0.0
23301030,1.0,114.0,55.0,1.0,114.0,55.0,0.0,0.0,0.0
23301031,1.0,79.0,40.0,1.0,79.0,40.0,0.0,0.0,0.0
23301034,1.0,152.0,54.0,1.0,152.0,54.0,0.0,0.0,0.0
23301039,1.0,214.0,106.0,1.0,214.0,106.0,0.0,0.0,0.0
23301040,1.0,88.0,55.0,1.0,88.0,55.0,0.0,0.0,0.0
23301042,1.0,695.0,317.0,1.0,695.0,317.0,0.0,0.0,0.0
23301043,1.0,143.0,78.0,1.0,143.0,78.0,0.0,0.0,0.0
23301046,1.0,134.0,72.0,1.0,134.0,72.0,0.0,0.0,0.0
23301049,1.0,148.0,77.0,1.0,148.0,77.0,0.0,0.0,0.0
23301052,1.0,265.0,142.0,1.0,265.0,142.0,0.0,0.0,0.0
23301055,1.0,340.0,193.0,1.0,340.0,193.0,0.0,0.0,0.0
23301061,1.0,125.0,71.0,1.0,125.0,71.0,0.0,0.0,0.0
23301062,1.0,34.0,11.0,1.0,34.0,11.0,0.0,0.0,0.0
23301063,1.0,353.0,189.0,1.0,353.0,189.0,0.0,0.0,0.0
23301064,1.0,148.0,60.0,1.0,148.0,60.0,0.0,0.0,0.0
23301065,1.0,79.0,26.0,1.0,79.0,26.0,0.0,0.0,0.0
23301067,1.0,110.0,53.0,1.0,110.0,53.0,0.0,0.0,0.0
23301068,1.0,125.0,64.0,1.0,125.0,64.0,0.0,0.0,0.0
23301070,1.0,303.0,151.0,1.0,303.0,151.0,0.0,0.0,0.0
23301071,1.0,190.0,90.0,1.0,190.0,90.0,0.0,0.0,0.0
23301074,1.0,203.0,93.0,1.0,203.0,93.0,0.0,0.0,0.0
