capture,time,commit,party,votes,share
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,Losdemokratie,0,0.0
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,MERA25,0,0.0
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,PdF,827,0.30015316158910593
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,Jan Mihm: Bester Mann,0,0.0
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,Demokratische Linke,0,0.0
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,DIE FRAUEN,0,0.0
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,CDU,58394,17.14857951708867
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,SPD,37948,11.144197957229867
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,GRÜNE,44579,13.091525264450043
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,Die Linke,89559,26.300812291861224
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,AfD,66386,19.49559200982033
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,FDP,7615,2.2362988153342847
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,Tierschutzpartei,6950,2.041008111171803
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,Die PARTEI,2585,0.7591375492631814
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,Volt,6398,1.8789021432053519
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,FREIE WÄHLER,0,0.0
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,Mieterpartei,0,0.0
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,Die Urbane.,251,0.07371122818764353
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,DKP,427,0.125397188988541
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,ÖDP,450,0.13215160432047646
2026-09-20-19-45-39,2026-09-20T17:45:42.344831+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,Die Heimat,141,0.04140750268708262
