row_key,level,name,party,votes,valid,share,mode
mv:WAHLBEZIRK:13003000:4:2,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",FDP,5,419,1.1933174224343674,Urnenwahl
mv:WAHLBEZIRK:13003000:4:21,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",AfD,250,669,37.369207772795214,Urnenwahl
mv:WAHLBEZIRK:13003000:4:21,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",SPD,250,669,37.369207772795214,Urnenwahl
mv:WAHLBEZIRK:13003000:4:21,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",Die Linke,28,669,4.185351270553064,Urnenwahl
mv:WAHLBEZIRK:13003000:4:21,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",GRÜNE,45,669,6.726457399103139,Urnenwahl
mv:WAHLBEZIRK:13003000:4:21,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",CDU,32,669,4.783258594917788,Urnenwahl
mv:WAHLBEZIRK:13003000:4:21,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",BSW,40,669,5.9790732436472345,Urnenwahl
mv:WAHLBEZIRK:13003000:4:21,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",Tierschutzpartei,5,669,0.7473841554559043,Urnenwahl
mv:WAHLBEZIRK:13003000:4:21,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",FDP,10,669,1.4947683109118086,Urnenwahl
mv:WAHLBEZIRK:13003000:4:3,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",AfD,237,655,36.18320610687023,Urnenwahl
mv:WAHLBEZIRK:13003000:4:3,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",SPD,235,655,35.87786259541985,Urnenwahl
mv:WAHLBEZIRK:13003000:4:3,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",Die Linke,31,655,4.732824427480916,Urnenwahl
mv:WAHLBEZIRK:13003000:4:3,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",GRÜNE,63,655,9.618320610687023,Urnenwahl
mv:WAHLBEZIRK:13003000:4:3,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",CDU,49,655,7.480916030534351,Urnenwahl
mv:WAHLBEZIRK:13003000:4:3,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",BSW,30,655,4.580152671755725,Urnenwahl
mv:WAHLBEZIRK:13003000:4:3,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",Tierschutzpartei,2,655,0.3053435114503817,Urnenwahl
mv:WAHLBEZIRK:13003000:4:3,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",FDP,2,655,0.3053435114503817,Urnenwahl
mv:WAHLBEZIRK:13003000:4:4,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",AfD,212,659,32.16995447647952,Urnenwahl
mv:WAHLBEZIRK:13003000:4:4,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",SPD,233,659,35.35660091047041,Urnenwahl
mv:WAHLBEZIRK:13003000:4:4,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",Die Linke,35,659,5.311077389984826,Urnenwahl
mv:WAHLBEZIRK:13003000:4:4,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",GRÜNE,40,659,6.0698027314112295,Urnenwahl
mv:WAHLBEZIRK:13003000:4:4,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",CDU,70,659,10.622154779969652,Urnenwahl
mv:WAHLBEZIRK:13003000:4:4,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",BSW,38,659,5.7663125948406675,Urnenwahl
mv:WAHLBEZIRK:13003000:4:4,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",Tierschutzpartei,7,659,1.062215477996965,Urnenwahl
mv:WAHLBEZIRK:13003000:4:4,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",FDP,12,659,1.8209408194233687,Urnenwahl
mv:WAHLBEZIRK:13003000:4:41,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",AfD,248,713,34.78260869565217,Urnenwahl
mv:WAHLBEZIRK:13003000:4:41,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",SPD,286,713,40.11220196353436,Urnenwahl
mv:WAHLBEZIRK:13003000:4:41,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",Die Linke,67,713,9.396914446002805,Urnenwahl
mv:WAHLBEZIRK:13003000:4:41,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",GRÜNE,37,713,5.189340813464236,Urnenwahl
mv:WAHLBEZIRK:13003000:4:41,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",CDU,23,713,3.225806451612903,Urnenwahl
mv:WAHLBEZIRK:13003000:4:41,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",BSW,30,713,4.207573632538569,Urnenwahl
mv:WAHLBEZIRK:13003000:4:41,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",Tierschutzpartei,4,713,0.5610098176718092,Urnenwahl
mv:WAHLBEZIRK:13003000:4:41,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",FDP,7,713,0.9817671809256662,Urnenwahl
mv:WAHLBEZIRK:13003000:4:42,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",AfD,235,678,34.660766961651916,Urnenwahl
mv:WAHLBEZIRK:13003000:4:42,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",SPD,263,678,38.7905604719764,Urnenwahl
mv:WAHLBEZIRK:13003000:4:42,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",Die Linke,51,678,7.522123893805309,Urnenwahl
mv:WAHLBEZIRK:13003000:4:42,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",GRÜNE,32,678,4.71976401179941,Urnenwahl
mv:WAHLBEZIRK:13003000:4:42,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",CDU,38,678,5.6047197640118,Urnenwahl
mv:WAHLBEZIRK:13003000:4:42,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",BSW,36,678,5.3097345132743365,Urnenwahl
mv:WAHLBEZIRK:13003000:4:42,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",Tierschutzpartei,8,678,1.1799410029498525,Urnenwahl
mv:WAHLBEZIRK:13003000:4:42,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",FDP,5,678,0.7374631268436578,Urnenwahl
mv:WAHLBEZIRK:13003000:4:43,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",AfD,283,677,41.802067946824224,Urnenwahl
mv:WAHLBEZIRK:13003000:4:43,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",SPD,216,677,31.90546528803545,Urnenwahl
