party,omitted_block,feature,log_odds_per_full_sd
GRÜNE,13004,age67_share,-0.03182458190642599
GRÜNE,13004,owner_occupancy_share,0.24216789306369943
GRÜNE,13004,foreign_citizenship_share,-0.028382760643461496
GRÜNE,13071,log_population,0.3808587662973187
GRÜNE,13071,age19_24_share,0.236780883196096
GRÜNE,13071,age67_share,-0.03980862883883159
GRÜNE,13071,owner_occupancy_share,0.16551345379793864
GRÜNE,13071,foreign_citizenship_share,-0.017116024822503476
GRÜNE,13072,log_population,0.36995169909313813
GRÜNE,13072,age19_24_share,0.2537975565102128
GRÜNE,13072,age67_share,-0.06741756486611722
GRÜNE,13072,owner_occupancy_share,0.13833759564543519
GRÜNE,13072,foreign_citizenship_share,0.005308978766643796
GRÜNE,13073,log_population,0.4095328286514621
GRÜNE,13073,age19_24_share,0.21582041298998153
GRÜNE,13073,age67_share,-0.10733730969420077
GRÜNE,13073,owner_occupancy_share,0.1623995146644123
GRÜNE,13073,foreign_citizenship_share,-0.0077178709878480585
GRÜNE,13074,log_population,0.4197366611068925
GRÜNE,13074,age19_24_share,0.26156807712110264
GRÜNE,13074,age67_share,-0.023885144721586697
GRÜNE,13074,owner_occupancy_share,0.23050809044891055
GRÜNE,13074,foreign_citizenship_share,0.007209821084491487
GRÜNE,13075,log_population,0.5000258930713186
GRÜNE,13075,age19_24_share,0.05832872409793723
GRÜNE,13075,age67_share,-0.03029162439875486
GRÜNE,13075,owner_occupancy_share,0.19660791156355104
GRÜNE,13075,foreign_citizenship_share,0.049015568557086824
GRÜNE,13076,log_population,0.38719961300208416
GRÜNE,13076,age19_24_share,0.25742752597468826
GRÜNE,13076,age67_share,-0.05566054034905277
GRÜNE,13076,owner_occupancy_share,0.2880448139434263
GRÜNE,13076,foreign_citizenship_share,0.0838998415101614
CDU,13003,log_population,0.1332553410875637
CDU,13003,age19_24_share,-0.0012019297251373965
CDU,13003,age67_share,0.06347725529715398
CDU,13003,owner_occupancy_share,0.15954459857549394
CDU,13003,foreign_citizenship_share,0.04938528888937104
CDU,13004,log_population,0.03375096595549129
CDU,13004,age19_24_share,0.04285877470860814
CDU,13004,age67_share,0.06894007809558828
CDU,13004,owner_occupancy_share,0.1603627497031666
CDU,13004,foreign_citizenship_share,0.03240090512321477
CDU,13071,log_population,0.065912764832846
CDU,13071,age19_24_share,-0.015568615947609651
CDU,13071,age67_share,0.059009201913576184
CDU,13071,owner_occupancy_share,0.12374884420576214
CDU,13071,foreign_citizenship_share,0.0458423614103483
CDU,13072,log_population,0.055468561106770384
CDU,13072,age19_24_share,-0.008267556361063586
CDU,13072,age67_share,0.05425843492436935
CDU,13072,owner_occupancy_share,0.10746267008252783
CDU,13072,foreign_citizenship_share,0.05016894549760593
CDU,13073,log_population,0.09995862412361138
CDU,13073,age19_24_share,-0.025246050534289386
CDU,13073,age67_share,0.05706800990038219
CDU,13073,owner_occupancy_share,0.15226559371835088
CDU,13073,foreign_citizenship_share,0.061558385645257625
CDU,13074,log_population,0.07841385012874842
CDU,13074,age19_24_share,-0.01812259588377736
CDU,13074,age67_share,0.057976097322230254
CDU,13074,owner_occupancy_share,0.13369047385132893
CDU,13074,foreign_citizenship_share,0.05770820870790751
CDU,13075,log_population,0.17639434615816438
CDU,13075,age19_24_share,-0.2019072649015579
CDU,13075,age67_share,0.053407521077011195
CDU,13075,owner_occupancy_share,0.11323309063794508
CDU,13075,foreign_citizenship_share,0.09220834060758304
CDU,13076,log_population,0.054124811611415954
CDU,13076,age19_24_share,-0.001042936756344826
CDU,13076,age67_share,0.05619935857381453
CDU,13076,owner_occupancy_share,0.1409708728890265
CDU,13076,foreign_citizenship_share,0.06526646295966455
BSW,13003,log_population,0.09434490417694333
BSW,13003,age19_24_share,-0.11306301608314878
BSW,13003,age67_share,0.0013128737307022051
BSW,13003,owner_occupancy_share,-0.0009516485688013279
BSW,13003,foreign_citizenship_share,-0.028418130399159997
BSW,13004,log_population,0.09949751008404628
BSW,13004,age19_24_share,-0.12742900392802894
BSW,13004,age67_share,-0.0012609979782494294
BSW,13004,owner_occupancy_share,-0.007436436682668265
BSW,13004,foreign_citizenship_share,-0.022688179666576515
