row_key,ags,municipality_name,gebietsart,gebietsnummer,wahlkreisnummer,wahlbezirk_name,wahllokal,reported_precincts,total_precincts,voters_total,valid_votes_erst,valid_votes_zweit,voters_total_2021,valid_votes_erst_2021,valid_votes_zweit_2021,delta_voters_total_vs_2021,delta_valid_votes_erst_vs_2021,delta_valid_votes_zweit_vs_2021,payload_hash,is_municipality_summary
mv:WAHLBEZIRK:13074023:28:1,13074023,Glasin,WAHLBEZIRK,1,28,,,0,1,0,0,0,,,,,,,6cad86cd2a81ef41f24ebf32463b5e96addde1766a784cc18100491b2ab0cf18,False
mv:WAHLBEZIRK:13074024:28:1,13074024,Gottesgabe,WAHLBEZIRK,1,28,,,0,1,0,0,0,,,,,,,f1c3590ab615d400a77777fdb815fb2840c075d7a5fbac320f16f66333bd5934,False
mv:WAHLBEZIRK:13074025:28:1,13074025,Grambow,WAHLBEZIRK,1,28,,,1,1,363,358,358,,,,,,,69b8813449c8bb3ce0b7b31f8d360a8e12efc31dda688509c6867d3f8d2c95bc,False
mv:WAHLBEZIRK:13074026:27:1,13074026,"Grevesmühlen, Stadt",WAHLBEZIRK,1,27,,,0,1,0,0,0,,,,,,,24d2261a3205c34b4644d8f4b99051b950f680d55f2161b885db2d4a9fa53c36,False
mv:WAHLBEZIRK:13074026:27:2,13074026,"Grevesmühlen, Stadt",WAHLBEZIRK,2,27,,,1,1,646,642,641,,,,,,,0fb1a597744a330a3019bdb2cfc7cf473f7cdd9890e0b9bbf7b5bd6c3b2ebef0,False
mv:WAHLBEZIRK:13074026:27:3,13074026,"Grevesmühlen, Stadt",WAHLBEZIRK,3,27,,,0,1,0,0,0,,,,,,,f09180195b9389c18175f387f3da829b36ad90930b4fd28fb2e8e051d45a02ef,False
mv:WAHLBEZIRK:13074026:27:4,13074026,"Grevesmühlen, Stadt",WAHLBEZIRK,4,27,,,0,1,0,0,0,,,,,,,d30a7f31156c9eb8cc9dd71b756380ed62a1571058c01e4947db6f02445bfda3,False
mv:WAHLBEZIRK:13074026:27:5,13074026,"Grevesmühlen, Stadt",WAHLBEZIRK,5,27,,,0,1,0,0,0,,,,,,,b5fb44144df03433742b807b7725bd0e59285fd83dc01bb57123f47ef93fa56a,False
mv:WAHLBEZIRK:13074026:27:6,13074026,"Grevesmühlen, Stadt",WAHLBEZIRK,6,27,,,0,1,0,0,0,,,,,,,4a51c78a81e92fe9c39511258d163aa934c5c74818c8546c78980e3cc3699f45,False
mv:WAHLBEZIRK:13074026:27:7,13074026,"Grevesmühlen, Stadt",WAHLBEZIRK,7,27,,,0,1,0,0,0,,,,,,,bc33f4726b23d4f74c9a0273c229799eb612b70bc298ae709a3f23736cbe4319,False
mv:WAHLBEZIRK:13074026:27:8,13074026,"Grevesmühlen, Stadt",WAHLBEZIRK,8,27,,,0,1,0,0,0,,,,,,,a3f0aa27d514772ab137566f36094f54e8d46c286cc53fbb774b2606776d2ed0,False
mv:WAHLBEZIRK:13074026:27:901,13074026,"Grevesmühlen, Stadt",WAHLBEZIRK,901,27,,,0,1,0,0,0,,,,,,,d2b3a90a866fc0194b5576a00ec3e00306fa998e30a515b1c7cfdf04ad870c4b,False
mv:WAHLBEZIRK:13074026:27:902,13074026,"Grevesmühlen, Stadt",WAHLBEZIRK,902,27,,,0,1,0,0,0,,,,,,,e7bc2b8884637a61428652f27ca4e3f4b91fe1ad5904db37811baa50e2386b86,False
mv:WAHLBEZIRK:13074026:27:903,13074026,"Grevesmühlen, Stadt",WAHLBEZIRK,903,27,,,0,1,0,0,0,,,,,,,b796ac1360912190ac44716a423acf201444383da294ba02886a1d0a89931ddd,False
mv:WAHLBEZIRK:13074027:27:1,13074027,Grieben,WAHLBEZIRK,1,27,,,1,1,92,92,92,,,,,,,502e01457061da1c10d7f40032739cf69bc688c6b12e1c949c9140af1066f7b5,False
mv:WAHLBEZIRK:13074028:27:1,13074028,Groß Molzahn,WAHLBEZIRK,1,27,,,1,1,211,207,207,,,,,,,a97b4812a89a78c6142f6914795262153a02f14a4956bf9b808411d3980fcca9,False
mv:WAHLBEZIRK:13074030:28:1,13074030,Groß Stieten,WAHLBEZIRK,1,28,,,1,1,307,299,301,,,,,,,665e905f16810e7dba3a170f00d0c21beb34bcb91db1a80b5e603fae90797871,False
mv:WAHLBEZIRK:13074031:28:1,13074031,Hohen Viecheln,WAHLBEZIRK,1,28,,,0,1,0,0,0,,,,,,,6ac61f70b5a641cbb00041a4ebb9dc29e8b1a5822b2f0e588c7322a041c8f101,False
mv:WAHLBEZIRK:13074032:27:1,13074032,Hohenkirchen,WAHLBEZIRK,1,27,,,0,1,0,0,0,,,,,,,a7ae7938bc083e0add3ec5c68f3c3f9534de297134d6c459ead22d5ed11f695b,False
mv:WAHLBEZIRK:13074033:27:1,13074033,Holdorf,WAHLBEZIRK,1,27,,,1,1,248,246,247,,,,,,,f03328783faf2bfbcd3b10446849798984685395a75e613112733374bffaf4fb,False
mv:WAHLBEZIRK:13074034:28:1,13074034,Hornstorf,WAHLBEZIRK,1,28,,,0,1,0,0,0,,,,,,,9cfb639b1f35751507df58ce5d1024f26eac9b55cced3834efda064c894c91f3,False
mv:WAHLBEZIRK:13074035:28:1,13074035,"Insel Poel, Ostseebad",WAHLBEZIRK,1,28,,,0,1,0,0,0,,,,,,,6798f75d7bf259649cd98cda5878d098ce697200b54a68f0c4978bdf0c44952f,False
mv:WAHLBEZIRK:13074035:28:901,13074035,"Insel Poel, Ostseebad",WAHLBEZIRK,901,28,,,0,1,0,0,0,,,,,,,49553f2d40d5800baab512027d8d9e9db4f35c979a5b2387613c7e49cfa72e04,False
mv:WAHLBEZIRK:13074036:28:1,13074036,Jesendorf,WAHLBEZIRK,1,28,,,1,1,268,263,265,,,,,,,1ac3a2c029b26649e28da5c641f6a774f0fb0317606e52799c30a8c76cf8b81c,False
mv:WAHLBEZIRK:13074037:27:1,13074037,Kalkhorst,WAHLBEZIRK,1,27,,,0,1,0,0,0,,,,,,,b7d6ddd24f678a2de2c1f2ef25de1e46be2d9393649435f1e9feb4bd2ec74f35,False
mv:WAHLBEZIRK:13074037:27:2,13074037,Kalkhorst,WAHLBEZIRK,2,27,,,1,1,353,352,352,,,,,,,58762b2380ebb4a98a6850c637fdd8a5e72edc760465ce86290cb30aac11d960,False
mv:WAHLBEZIRK:13074038:28:1,13074038,Klein Trebbow,WAHLBEZIRK,1,28,,,0,1,0,0,0,,,,,,,e5dc54329d21c5723b275701582ec5dd2c6a8dfacfceb6dde224e6847a851fc2,False
