Wahl zum Landtag von Mecklenburg-Vorpommern am 20. September 2026
Zwischenergebnis der Wahlbezirke am 20.09.2026 um 19:05:55 Uhr - Stimmenanzahl der Parteien
Die Partei "Handwerker Partei Deutschland" führt keine Kurzbezeichnung.
(c) Der Landeswahlleiter Mecklenburg-Vorpommern

Berechnungsdatum;Ausgabe;Kreis;Kreisname;Wahlkreis;Wahlkreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirk;Wahlbezirksname;Wahlberechtigte;Wähler;Wahlbeteiligung;Erst-/Zweitstimme;Ungültige Stimmen;Gültige Stimmen;SPD;AfD;CDU;Die Linke;GRÜNE;FDP;Tierschutzpartei;FREIE WÄHLER;Die PARTEI;PIRATEN;ÖDP;Bündnis C;BSW;Handwerker Partei Deutschland;KPD;PdF;Team Freiheit;Volt;WLD;LfK;Einzelbewerber
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;4;4/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;4;4/Rostock;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;5;5/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;5;5/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;5;5/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;5;5/Rostock;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;6;6/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;6;6/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;6;6/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;6;6/Rostock;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;21;21/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;21;21/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;21;21/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;21;21/Rostock;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;41;41/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;41;41/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;41;41/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;41;41/Rostock;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;42;42/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;42;42/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;42;42/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;42;42/Rostock;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;43;43/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;43;43/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;43;43/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;43;43/Rostock;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;44;44/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;44;44/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;44;44/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;44;44/Rostock;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;45;45/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;45;45/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;45;45/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;45;45/Rostock;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;46;46/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;46;46/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;46;46/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;46;46/Rostock;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;47;47/Rostock;1256;584;46,5;1;3;581;186;272;17;54;21;6;x;x;x;x;x;x;25;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;47;47/Rostock;1256;584;46,5;1;0,5;99,5;32,0;46,8;2,9;9,3;3,6;1,0;x;x;x;x;x;x;4,3;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;47;47/Rostock;1256;584;46,5;2;4;580;170;256;12;55;24;1;10;3;2;3;1;0;36;0;2;1;2;2;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;47;47/Rostock;1256;584;46,5;2;0,7;99,3;29,3;44,1;2,1;9,5;4,1;0,2;1,7;0,5;0,3;0,5;0,2;0,0;6,2;0,0;0,3;0,2;0,3;0,3;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;48;48/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;48;48/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;48;48/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;48;48/Rostock;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;49;49/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;49;49/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;49;49/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;49;49/Rostock;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;61;61/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;61;61/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;61;61/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;61;61/Rostock;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;62;62/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;62;62/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;62;62/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;62;62/Rostock;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;63;63/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;63;63/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;63;63/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
