row_key,ags,municipality_name,gebietsart,gebietsnummer,reported_precincts,total_precincts,voters_total,valid_votes_erst,valid_votes_zweit,voters_total_2021,valid_votes_erst_2021,valid_votes_zweit_2021,delta_voters_total_vs_2021,delta_valid_votes_erst_vs_2021,delta_valid_votes_zweit_vs_2021,payload_hash,is_municipality_summary
000065:13101015:-:13101015:GEMEINDE,13101015,Dankerath,GEMEINDE,13101015,1,1,50,50,50,52,,50,-2,,0,47d55b288ba12c33ddeb564dd8ecb07e00d4cb5f796a86ad38415614f2056005,True
000066:13101018:-:13101018:GEMEINDE,13101018,Dorsel,GEMEINDE,13101018,1,1,114,108,112,126,,119,-12,,-7,6398ca6e298834049287749a0eb1ee271d7413b3baab64dec451b6ac6dc77e53,True
000067:13101021:-:13101021:GEMEINDE,13101021,Eichenbach,GEMEINDE,13101021,1,1,41,41,41,41,,41,0,,0,d76b3113c3a8c3901b00f1f0f9fe2566f4149cef2d54ce169f7a82684ef81e94,True
000068:13101022:-:13101022:GEMEINDE,13101022,Fuchshofen,GEMEINDE,13101022,1,1,55,55,55,50,,50,5,,5,3c858754fe435574543fffabeebb4232b596df4d764142e46b951da1c3c2c3eb,True
000069:13101026:-:13101026:GEMEINDE,13101026,Harscheid,GEMEINDE,13101026,1,1,83,82,83,71,,69,12,,14,6c3d5610702deeeb8e05fad1cb436dacb533511683634f6fbaaea54e8e1ffe59,True
000070:13101028:-:13101028:GEMEINDE,13101028,Herschbroich,GEMEINDE,13101028,1,1,145,143,145,152,,149,-7,,-4,d1698175c04dd16783f13fa2ede105722fd2ba05e746d5144cfcdbc6c6c45330,True
000071:13101030:-:13101030:GEMEINDE,13101030,Hoffeld,GEMEINDE,13101030,1,1,201,197,198,176,,172,25,,26,ba9894243d4ccd1f598bc097a96eb66de5294e303181dc47892071218ff331f0,True
000072:13101032:-:13101032:GEMEINDE,13101032,Honerath,GEMEINDE,13101032,1,1,106,105,106,99,,99,7,,7,c7a29c44bebbc6818e9e644ee10c69ec6f733e7e0f14bfa30e045aa785b233c1,True
000073:13101033:-:13101033:GEMEINDE,13101033,Hümmel,GEMEINDE,13101033,1,1,308,304,303,299,,295,9,,8,ad9230f0290c4a7ca78eb8bcbc43fc866e52b515d4fdd3e5329bcf20c3e9d673,True
000074:13101034:-:13101034:GEMEINDE,13101034,Insul,GEMEINDE,13101034,1,1,294,291,290,298,,292,-4,,-2,10bd3f6698bd96278e8a371a589c003e6a952b5121c9a05e5ee1be76df77a390,True
