wahlkreisnummer,wahlkreisname,gemeindekennziffer,gemeindename
23,"Vorpommern-Rügen I",13073067,"Prerow, Ostseebad"
23,"Vorpommern-Rügen I",13073100,"Wieck a. Darß"
23,"Vorpommern-Rügen I",13073103,"Wustrow, Ostseebad"
23,"Vorpommern-Rügen I",13073754,"Briefwahl Darß/Fischland"
23,"Vorpommern-Rügen I",13073007,"Bad Sülze, Stadt"
23,"Vorpommern-Rügen I",13073015,"Dettmannsdorf"
23,"Vorpommern-Rügen I",13073016,"Deyelsdorf"
23,"Vorpommern-Rügen I",13073020,"Drechow"
23,"Vorpommern-Rügen I",13073022,"Eixen"
23,"Vorpommern-Rügen I",13073032,"Grammendorf"
23,"Vorpommern-Rügen I",13073033,"Gransebieth"
23,"Vorpommern-Rügen I",13073039,"Hugoldsdorf"
23,"Vorpommern-Rügen I",13073050,"Lindholz"
23,"Vorpommern-Rügen I",13073093,"Tribsees, Stadt"
23,"Vorpommern-Rügen I",13073760,"Briefwahl Recknitz-Trebeltal"
23,"Vorpommern-Rügen I",13073001,"Ahrenshagen-Daskow"
23,"Vorpommern-Rügen I",13073075,"Ribnitz-Damgarten, Bernsteinstadt"
23,"Vorpommern-Rügen I",13073082,"Schlemmin"
23,"Vorpommern-Rügen I",13073085,"Semlow"
23,"Vorpommern-Rügen I",13073761,"Briefwahl Ribnitz-Damgarten"
24,"Vorpommern-Rügen II - Stralsund III",13073088,"Stralsund, Hansestadt"
24,"Vorpommern-Rügen II - Stralsund III",13073035,"Grimmen, Stadt"
24,"Vorpommern-Rügen II - Stralsund III",13073089,"Süderholz"
24,"Vorpommern-Rügen II - Stralsund III",13073024,"Franzburg, Stadt"
24,"Vorpommern-Rügen II - Stralsund III",13073029,"Glewitz"
24,"Vorpommern-Rügen II - Stralsund III",13073034,"Gremersdorf-Buchholz"
24,"Vorpommern-Rügen II - Stralsund III",13073057,"Millienhagen-Oebelitz"
24,"Vorpommern-Rügen II - Stralsund III",13073062,"Papenhagen"
24,"Vorpommern-Rügen II - Stralsund III",13073076,"Richtenberg, Stadt"
24,"Vorpommern-Rügen II - Stralsund III",13073086,"Splietsdorf"
24,"Vorpommern-Rügen II - Stralsund III",13073096,"Velgast"
24,"Vorpommern-Rügen II - Stralsund III",13073097,"Weitenhagen"
24,"Vorpommern-Rügen II - Stralsund III",13073098,"Wendisch Baggendorf"
24,"Vorpommern-Rügen II - Stralsund III",13073755,"Briefwahl Franzburg-Richtenberg"
24,"Vorpommern-Rügen II - Stralsund III",13073023,"Elmenhorst"
24,"Vorpommern-Rügen II - Stralsund III",13073090,"Sundhagen"
24,"Vorpommern-Rügen II - Stralsund III",13073102,"Wittenhagen"
24,"Vorpommern-Rügen II - Stralsund III",13073756,"Briefwahl Miltzow"
25,"Vorpommern-Rügen III - Stralsund I",13073088,"Stralsund, Hansestadt"
25,"Vorpommern-Rügen III - Stralsund I",13073005,"Altenpleen"
25,"Vorpommern-Rügen III - Stralsund I",13073037,"Groß Mohrdorf"
25,"Vorpommern-Rügen III - Stralsund I",13073044,"Klausdorf"
25,"Vorpommern-Rügen III - Stralsund I",13073046,"Kramerhof"
25,"Vorpommern-Rügen III - Stralsund I",13073066,"Preetz"
25,"Vorpommern-Rügen III - Stralsund I",13073068,"Prohn"
25,"Vorpommern-Rügen III - Stralsund I",13073751,"Briefwahl Altenpleen"
25,"Vorpommern-Rügen III - Stralsund I",13073009,"Barth, Stadt"
25,"Vorpommern-Rügen III - Stralsund I",13073018,"Divitz-Spoldershagen"
25,"Vorpommern-Rügen III - Stralsund I",13073025,"Fuhlendorf"
25,"Vorpommern-Rügen III - Stralsund I",13073042,"Karnin"
25,"Vorpommern-Rügen III - Stralsund I",13073043,"Kenz-Küstrow"
25,"Vorpommern-Rügen III - Stralsund I",13073051,"Löbnitz"
25,"Vorpommern-Rügen III - Stralsund I",13073053,"Lüdershagen"
25,"Vorpommern-Rügen III - Stralsund I",13073069,"Pruchten"
25,"Vorpommern-Rügen III - Stralsund I",13073077,"Saal"
25,"Vorpommern-Rügen III - Stralsund I",13073094,"Trinwillershagen"
25,"Vorpommern-Rügen III - Stralsund I",13073752,"Briefwahl Barth"
